quick_fill_row_id,blocker_id,input_group,input_key,confirmation_status,closure_effect,confirmed_value
QF-001,support_contact,first_owner_input,assigned_human_owner,confirmed,none,张斌
QF-002,support_contact,first_owner_input,owner_contact_reference,confirmed_without_public_contact_disclosure,none,contact reference：负责人邮箱已由本地人工记录保管；发布前单独确认。
QF-003,support_contact,first_owner_input,target_review_date,confirmed,none,2026-07-10
QF-004,support_contact,first_owner_input,owner_acknowledged_scope,confirmed_boundary_safe,none,是：scope review 本人确认只进行支持入口审查；不代表产品正式上线。
QF-005,support_contact,first_owner_input,human_approval_reference,confirmed_local_record_only,none,approval reference：本轮 Codex 对话中用户确认全部按推荐确认；仅授权本地证据输入记录。
QF-006,support_contact,support_contact_decision_metadata,human_reviewer_name,confirmed,none,张斌
QF-007,support_contact,support_contact_decision_metadata,review_date,confirmed,none,2026-07-09
QF-008,support_contact,support_contact_decision_metadata,selected_support_contact_channel,confirmed_candidate_only,none,channel decision：暂定邮箱支持入口；发布前仍需单独人工确认公开地址。
QF-009,support_contact,support_contact_decision_metadata,decision_summary,confirmed_boundary_safe,none,decision summary：暂定使用邮箱作为后续支持入口候选；当前只记录审查决策；不代表已对客户开放。
QF-010,support_contact,support_contact_evidence_review,abuse_handling_path_defined,confirmed_hold,keeps_blocker_open,否：滥用或异常请求处理路径尚未人工确认。
QF-011,support_contact,support_contact_evidence_review,customer_facing_support_contact_configured,confirmed_hold,keeps_blocker_open,否：尚未配置客户可见支持入口；当前只记录候选支持入口。
QF-012,support_contact,support_contact_evidence_review,customer_notice_route_defined,confirmed_hold,keeps_blocker_open,否：客户通知路径尚未定义；发布前需要单独确认。
QF-013,support_contact,support_contact_evidence_review,support_contact_owner_named,confirmed_candidate_only,none,是：支持入口负责人暂定为张斌；发布前仍需最终确认。
QF-014,support_contact,support_contact_evidence_review,support_contact_test_recorded,confirmed_hold,keeps_blocker_open,否：支持入口测试尚未记录；不得关闭 blocker。
QF-015,support_contact,support_contact_candidate_slot,support_contact_candidate_a,confirmed_candidate_only,none,邮箱支持入口候选：由负责人在发布前单独确认公开地址；当前不公开具体邮箱。
QF-016,pricing_page,metadata_fields_to_fill,human_reviewer_name,confirmed,none,张斌
QF-017,pricing_page,metadata_fields_to_fill,review_date,confirmed,none,2026-07-09
QF-018,pricing_page,metadata_fields_to_fill,commercial_owner,confirmed,none,张斌
QF-019,pricing_page,metadata_fields_to_fill,product_owner,confirmed,none,张斌
QF-020,pricing_page,metadata_fields_to_fill,accounting_owner,confirmed_hold,keeps_blocker_open,暂缺：会计负责人待指定；不得视为已完成。
QF-021,pricing_page,metadata_fields_to_fill,legal_owner,confirmed_hold,keeps_blocker_open,暂缺：法律负责人待指定；不得视为已完成。
QF-022,pricing_page,metadata_fields_to_fill,billing_owner,confirmed_hold,keeps_blocker_open,暂缺：计费负责人待指定；不得视为已完成。
QF-023,pricing_page,metadata_fields_to_fill,review_record_reference,confirmed_local_record_only,none,review reference：本轮 Codex 对话中用户确认 10-28 全部按推荐；仅记录本地审查值。
QF-024,pricing_page,metadata_fields_to_fill,decision_summary,confirmed_boundary_safe,none,decision summary：定价页保持非公开草案状态；不发布、不收款、不声称生产可用。
QF-025,pricing_page,pricing_page_keys_to_review,human_approved_pricing_page_copy,confirmed_document_draft_only,none,是：仅批准本地文档草案可继续审查；不批准公开发布页面。
QF-026,pricing_page,pricing_page_keys_to_review,approved_plan_and_usage_terms,confirmed_hold,keeps_blocker_open,暂缓：套餐、用量和计费条款待客户、法律和会计确认。
QF-027,pricing_page,pricing_page_keys_to_review,legal_review_completed,confirmed_hold,keeps_blocker_open,否：法律审查尚未完成。
QF-028,pricing_page,pricing_page_keys_to_review,production_readiness_non_claim_reviewed,confirmed_boundary_safe,none,是：已确认定价材料不得声称生产可用、客户验证完成或正式上线。
