workbook_row_id,blocker_id,owner_review_lane,input_group,input_key,input_kind,human_must_fill,minimum_required,codex_may_fill,human_value_placeholder,source_path,source_prompt,human_filled_input_target,status,notes
WB-001,support_contact,support_operations,first_owner_input,assigned_human_owner,support_contact_bridge_field,True,True,False,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/first_owner_input.template.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,pending_human_input,Required before validator import; does not assign an owner by Codex.
WB-002,support_contact,support_operations,first_owner_input,owner_contact_reference,support_contact_bridge_field,True,True,False,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/first_owner_input.template.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,pending_human_input,Required before validator import; does not assign an owner by Codex.
WB-003,support_contact,support_operations,first_owner_input,target_review_date,support_contact_bridge_field,True,True,False,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/first_owner_input.template.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,pending_human_input,Required before validator import; does not assign an owner by Codex.
WB-004,support_contact,support_operations,first_owner_input,owner_acknowledged_scope,support_contact_bridge_field,True,True,False,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/first_owner_input.template.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,pending_human_input,Required before validator import; does not assign an owner by Codex.
WB-005,support_contact,support_operations,first_owner_input,human_approval_reference,support_contact_bridge_field,True,True,False,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/first_owner_input.template.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,pending_human_input,Required before validator import; does not assign an owner by Codex.
WB-006,support_contact,support_operations,support_contact_decision_metadata,human_reviewer_name,support_contact_bridge_field,True,True,False,,phase_b_product/commercial_readiness/support_evidence/support_contact_decision_input.template.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,pending_human_input,Human review metadata for support contact decision input.
WB-007,support_contact,support_operations,support_contact_decision_metadata,review_date,support_contact_bridge_field,True,True,False,,phase_b_product/commercial_readiness/support_evidence/support_contact_decision_input.template.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,pending_human_input,Human review metadata for support contact decision input.
WB-008,support_contact,support_operations,support_contact_decision_metadata,selected_support_contact_channel,support_contact_bridge_field,True,True,False,,phase_b_product/commercial_readiness/support_evidence/support_contact_decision_input.template.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,pending_human_input,Human review metadata for support contact decision input.
WB-009,support_contact,support_operations,support_contact_decision_metadata,decision_summary,support_contact_bridge_field,True,True,False,,phase_b_product/commercial_readiness/support_evidence/support_contact_decision_input.template.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,pending_human_input,Human review metadata for support contact decision input.
WB-010,support_contact,support_operations,support_contact_evidence_review,abuse_handling_path_defined,support_contact_bridge_field,True,True,False,,phase_b_product/commercial_readiness/support_evidence/support_contact_decision_input.template.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,pending_human_input,Set true only after human source note and review.
