blocker_id,category,phase_id,owner_review_lane,dashboard_status,matrix_status,satisfied,closure_allowed_by_dashboard,closure_allowed_by_matrix,local_evidence_ready_by_matrix,missing_production_evidence_count,closure_status,closure_ready_for_human_final_review,recommended_human_action,blocking_reasons
customer_support,support,phase_3_support_security_legal,support_operations,open,open,False,False,False,False,2,not_ready,False,collect_real_evidence_and_rerun_go_no_go,blocker_status_open;dashboard_closure_not_allowed;dashboard_satisfied_false;matrix_closure_not_allowed;matrix_local_evidence_not_ready;matrix_status_open;missing_production_evidence
customer_validated,validation,phase_5_customer_validation_and_launch_review,customer_validation,open,open,False,False,False,False,6,not_ready,False,collect_real_evidence_and_rerun_go_no_go,blocker_status_open;dashboard_closure_not_allowed;dashboard_satisfied_false;matrix_closure_not_allowed;matrix_local_evidence_not_ready;matrix_status_open;missing_production_evidence
data_processing_agreement,privacy_security,phase_3_support_security_legal,security_legal_privacy,open,open,False,False,False,False,6,not_ready,False,collect_real_evidence_and_rerun_go_no_go,blocker_status_open;dashboard_closure_not_allowed;dashboard_satisfied_false;matrix_closure_not_allowed;matrix_local_evidence_not_ready;matrix_status_open;missing_production_evidence
external_alert_delivery,operations,phase_2_data_and_operations_resilience,operations_engineering,open,open,False,False,False,False,6,not_ready,False,collect_real_evidence_and_rerun_go_no_go,blocker_status_open;dashboard_closure_not_allowed;dashboard_satisfied_false;matrix_closure_not_allowed;matrix_local_evidence_not_ready;matrix_status_open;missing_production_evidence
formal_security_review,privacy_security,phase_3_support_security_legal,security_legal_privacy,open,open,False,False,False,False,3,not_ready,False,collect_real_evidence_and_rerun_go_no_go,blocker_status_open;dashboard_closure_not_allowed;dashboard_satisfied_false;matrix_closure_not_allowed;matrix_local_evidence_not_ready;matrix_status_open;missing_production_evidence
invoice_process,billing,phase_4_commercial_packaging_and_billing,commercial_finance_legal,open,open,False,False,False,False,6,not_ready,False,collect_real_evidence_and_rerun_go_no_go,blocker_status_open;dashboard_closure_not_allowed;dashboard_satisfied_false;matrix_closure_not_allowed;matrix_local_evidence_not_ready;matrix_status_open;missing_production_evidence
oauth_oidc,auth,phase_1_identity_and_tenant_boundary,engineering_security,open,open,False,False,False,False,5,not_ready,False,collect_real_evidence_and_rerun_go_no_go,blocker_status_open;dashboard_closure_not_allowed;dashboard_satisfied_false;matrix_closure_not_allowed;matrix_local_evidence_not_ready;matrix_status_open;missing_production_evidence
on_call_rotation,operations,phase_2_data_and_operations_resilience,operations_engineering,open,open,False,False,False,False,3,not_ready,False,collect_real_evidence_and_rerun_go_no_go,blocker_status_open;dashboard_closure_not_allowed;dashboard_satisfied_false;matrix_closure_not_allowed;matrix_local_evidence_not_ready;matrix_status_open;missing_production_evidence
payment_provider,billing,phase_4_commercial_packaging_and_billing,commercial_finance_legal,open,open,False,False,False,False,5,not_ready,False,collect_real_evidence_and_rerun_go_no_go,blocker_status_open;dashboard_closure_not_allowed;dashboard_satisfied_false;matrix_closure_not_allowed;matrix_local_evidence_not_ready;matrix_status_open;missing_production_evidence
pilot_results,validation,phase_5_customer_validation_and_launch_review,customer_validation,open,open,False,False,False,False,5,not_ready,False,collect_real_evidence_and_rerun_go_no_go,blocker_status_open;dashboard_closure_not_allowed;dashboard_satisfied_false;matrix_closure_not_allowed;matrix_local_evidence_not_ready;matrix_status_open;missing_production_evidence
pricing_page,billing,phase_4_commercial_packaging_and_billing,commercial_finance_legal,open,open,False,False,False,False,4,not_ready,False,collect_real_evidence_and_rerun_go_no_go,blocker_status_open;dashboard_closure_not_allowed;dashboard_satisfied_false;matrix_closure_not_allowed;matrix_local_evidence_not_ready;matrix_status_open;missing_production_evidence
privacy_legal_review,privacy_security,phase_3_support_security_legal,security_legal_privacy,open,open,False,False,False,False,6,not_ready,False,collect_real_evidence_and_rerun_go_no_go,blocker_status_open;dashboard_closure_not_allowed;dashboard_satisfied_false;matrix_closure_not_allowed;matrix_local_evidence_not_ready;matrix_status_open;missing_production_evidence
production_identity_provider,auth,phase_1_identity_and_tenant_boundary,engineering_security,open,open,False,False,False,False,5,not_ready,False,collect_real_evidence_and_rerun_go_no_go,blocker_status_open;dashboard_closure_not_allowed;dashboard_satisfied_false;matrix_closure_not_allowed;matrix_local_evidence_not_ready;matrix_status_open;missing_production_evidence
production_monitoring,operations,phase_2_data_and_operations_resilience,operations_engineering,open,open,False,False,False,False,4,not_ready,False,collect_real_evidence_and_rerun_go_no_go,blocker_status_open;dashboard_closure_not_allowed;dashboard_satisfied_false;matrix_closure_not_allowed;matrix_local_evidence_not_ready;matrix_status_open;missing_production_evidence
production_restore_policy,data_ops,phase_2_data_and_operations_resilience,data_operations,open,open,False,False,False,False,5,not_ready,False,collect_real_evidence_and_rerun_go_no_go,blocker_status_open;dashboard_closure_not_allowed;dashboard_satisfied_false;matrix_closure_not_allowed;matrix_local_evidence_not_ready;matrix_status_open;missing_production_evidence
rbac,auth,phase_1_identity_and_tenant_boundary,engineering_security,open,open,False,False,False,False,3,not_ready,False,collect_real_evidence_and_rerun_go_no_go,blocker_status_open;dashboard_closure_not_allowed;dashboard_satisfied_false;matrix_closure_not_allowed;matrix_local_evidence_not_ready;matrix_status_open;missing_production_evidence
