owner_packet_id,blocker_id,owner_review_lane,worksheet_row_id,quick_fill_row_id,input_group,input_key,input_kind,expected_value_shape,fill_instruction,leave_blank_condition,target_json_pointer,human_value_to_enter,notes_for_human,packet_status,codex_filled_value,workbook_import_performed,validators_run_on_real_input,evidence_collection_authorized,execution_authorized
QFOP-005,support_contact,support_operations,QFW-001,QF-001,first_owner_input,assigned_human_owner,support_contact_bridge_field,first-owner coordination field,"Use human-approved owner, contact-reference, target-date, scope-acknowledgement, or approval-reference text.",Do not assign an owner or contact anyone from this guidance layer.,/first_owner_input/assigned_human_owner,张斌,human-confirmed value copied from complete local preview; pending safety preflight and separate workbook import approval,human_value_present_unvalidated,False,False,False,False,False
QFOP-005,support_contact,support_operations,QFW-002,QF-002,first_owner_input,owner_contact_reference,support_contact_bridge_field,first-owner coordination field,"Use human-approved owner, contact-reference, target-date, scope-acknowledgement, or approval-reference text.",Do not assign an owner or contact anyone from this guidance layer.,/first_owner_input/owner_contact_reference,contact reference：负责人邮箱已由本地人工记录保管；发布前单独确认。,human-confirmed value copied from complete local preview; pending safety preflight and separate workbook import approval,human_value_present_unvalidated,False,False,False,False,False
QFOP-005,support_contact,support_operations,QFW-003,QF-003,first_owner_input,target_review_date,support_contact_bridge_field,first-owner coordination field,"Use human-approved owner, contact-reference, target-date, scope-acknowledgement, or approval-reference text.",Do not assign an owner or contact anyone from this guidance layer.,/first_owner_input/target_review_date,2026-07-10,human-confirmed value copied from complete local preview; pending safety preflight and separate workbook import approval,human_value_present_unvalidated,False,False,False,False,False
QFOP-005,support_contact,support_operations,QFW-004,QF-004,first_owner_input,owner_acknowledged_scope,support_contact_bridge_field,first-owner coordination field,"Use human-approved owner, contact-reference, target-date, scope-acknowledgement, or approval-reference text.",Do not assign an owner or contact anyone from this guidance layer.,/first_owner_input/owner_acknowledged_scope,是：scope review 本人确认只进行支持入口审查；不代表产品正式上线。,human-confirmed value copied from complete local preview; pending safety preflight and separate workbook import approval,human_value_present_unvalidated,False,False,False,False,False
QFOP-005,support_contact,support_operations,QFW-005,QF-005,first_owner_input,human_approval_reference,support_contact_bridge_field,first-owner coordination field,"Use human-approved owner, contact-reference, target-date, scope-acknowledgement, or approval-reference text.",Do not assign an owner or contact anyone from this guidance layer.,/first_owner_input/human_approval_reference,approval reference：本轮 Codex 对话中用户确认全部按推荐确认；仅授权本地证据输入记录。,human-confirmed value copied from complete local preview; pending safety preflight and separate workbook import approval,human_value_present_unvalidated,False,False,False,False,False
QFOP-005,support_contact,support_operations,QFW-006,QF-006,support_contact_decision_metadata,human_reviewer_name,support_contact_bridge_field,support-contact decision metadata,Use human-reviewed support-contact decision metadata.,Do not publish support contact details from this guidance layer.,/support_contact_decision_input/human_reviewer_name,张斌,human-confirmed value copied from complete local preview; pending safety preflight and separate workbook import approval,human_value_present_unvalidated,False,False,False,False,False
QFOP-005,support_contact,support_operations,QFW-007,QF-007,support_contact_decision_metadata,review_date,support_contact_bridge_field,support-contact decision metadata,Use human-reviewed support-contact decision metadata.,Do not publish support contact details from this guidance layer.,/support_contact_decision_input/review_date,2026-07-09,human-confirmed value copied from complete local preview; pending safety preflight and separate workbook import approval,human_value_present_unvalidated,False,False,False,False,False
QFOP-005,support_contact,support_operations,QFW-008,QF-008,support_contact_decision_metadata,selected_support_contact_channel,support_contact_bridge_field,support-contact decision metadata,Use human-reviewed support-contact decision metadata.,Do not publish support contact details from this guidance layer.,/support_contact_decision_input/selected_support_contact_channel,channel decision：暂定邮箱支持入口；发布前仍需单独人工确认公开地址。,human-confirmed value copied from complete local preview; pending safety preflight and separate workbook import approval,human_value_present_unvalidated,False,False,False,False,False
QFOP-005,support_contact,support_operations,QFW-009,QF-009,support_contact_decision_metadata,decision_summary,support_contact_bridge_field,support-contact decision metadata,Use human-reviewed support-contact decision metadata.,Do not publish support contact details from this guidance layer.,/support_contact_decision_input/decision_summary,decision summary：暂定使用邮箱作为后续支持入口候选；当前只记录审查决策；不代表已对客户开放。,human-confirmed value copied from complete local preview; pending safety preflight and separate workbook import approval,human_value_present_unvalidated,False,False,False,False,False
QFOP-005,support_contact,support_operations,QFW-010,QF-010,support_contact_evidence_review,abuse_handling_path_defined,support_contact_bridge_field,support-contact bridge value,Use human-reviewed support-contact bridge input.,Leave blank if the support owner has not approved it.,/support_contact_decision_input/evidence_review/abuse_handling_path_defined,否：滥用或异常请求处理路径尚未人工确认。,human-confirmed value copied from complete local preview; pending safety preflight and separate workbook import approval,human_value_present_unvalidated,False,False,False,False,False
