sequence_rank,blocker_id,selection_bucket,category,owner_review_lane,dependency_state,missing_production_evidence_count,engineering_implementation_required,external_dependency_required,default_decision,execution_allowed_by_sequencer,blocker_closure_allowed_by_sequencer
1,formal_security_review,ready_external_human_review,privacy_security,security_legal_privacy,ready_for_human_review,3,False,True,hold,False,False
2,support_contact,ready_external_human_review,support,support_operations,ready_for_human_review,5,False,True,hold,False,False
3,privacy_legal_review,ready_external_human_review,privacy_security,security_legal_privacy,ready_for_human_review,6,False,True,hold,False,False
4,pricing_page,ready_external_human_review,billing,commercial_finance_legal,ready_for_human_review,4,False,True,hold,False,False
5,tax_review,ready_external_human_review,billing,commercial_finance_legal,ready_for_human_review,5,False,True,hold,False,False
6,refund_policy,ready_external_human_review,billing,commercial_finance_legal,ready_for_human_review,5,False,True,hold,False,False
7,production_identity_provider,ready_engineering_review,auth,engineering_security,ready_for_human_review,5,True,True,hold,False,False
8,production_monitoring,ready_engineering_review,operations,operations_engineering,ready_for_human_review,4,True,True,hold,False,False
9,production_restore_policy,ready_engineering_review,data_ops,data_operations,ready_for_human_review,5,True,False,hold,False,False
10,rbac,blocked_by_dependency,auth,engineering_security,blocked_by_open_dependencies,3,True,False,hold,False,False
11,tenant_storage_isolation,blocked_by_dependency,tenant,engineering_data_security,blocked_by_open_dependencies,4,True,False,hold,False,False
12,oauth_oidc,blocked_by_dependency,auth,engineering_security,blocked_by_open_dependencies,5,True,True,hold,False,False
13,restore_tested,blocked_by_dependency,data_ops,data_operations,blocked_by_open_dependencies,0,True,False,hold,False,False
14,on_call_rotation,blocked_by_dependency,operations,operations_engineering,blocked_by_open_dependencies,3,False,True,hold,False,False
15,external_alert_delivery,blocked_by_dependency,operations,operations_engineering,blocked_by_open_dependencies,6,True,True,hold,False,False
16,customer_support,blocked_by_dependency,support,support_operations,blocked_by_open_dependencies,2,False,True,hold,False,False
17,data_processing_agreement,blocked_by_dependency,privacy_security,security_legal_privacy,blocked_by_open_dependencies,6,False,True,hold,False,False
18,sla,blocked_by_dependency,support,support_operations,blocked_by_open_dependencies,6,False,True,hold,False,False
19,vulnerability_management,blocked_by_dependency,privacy_security,security_legal_privacy,blocked_by_open_dependencies,7,False,True,hold,False,False
20,payment_provider,blocked_by_dependency,billing,commercial_finance_legal,blocked_by_open_dependencies,5,False,True,hold,False,False
21,invoice_process,blocked_by_dependency,billing,commercial_finance_legal,blocked_by_open_dependencies,6,False,True,hold,False,False
22,tenant_billing_isolation,blocked_by_dependency,billing,commercial_finance_legal,blocked_by_open_dependencies,6,True,False,hold,False,False
23,pilot_results,blocked_by_dependency,validation,customer_validation,blocked_by_open_dependencies,5,False,True,hold,False,False
24,customer_validated,blocked_by_dependency,validation,customer_validation,blocked_by_open_dependencies,6,False,True,hold,False,False
