owner_packet_id,blocker_id,owner_review_lane,worksheet_row_id,quick_fill_row_id,input_group,input_key,input_kind,expected_value_shape,fill_instruction,leave_blank_condition,target_json_pointer,human_value_to_enter,notes_for_human,packet_status,codex_filled_value,workbook_import_performed,validators_run_on_real_input,evidence_collection_authorized,execution_authorized
QFOP-001,formal_security_review,security_legal_privacy,QFW-030,QF-030,formal_security_review_keys_to_review,auth_and_tenant_boundary_reviewed,evidence_review_key,human evidence review outcome,"Use a concise human-reviewed outcome such as true, false, hold, or a short evidence reference.",Only mark true when the referenced evidence exists and has been reviewed by a human.,/evidence_review/auth_and_tenant_boundary_reviewed,暂缓：认证与租户边界需要独立安全审查；不得视为已完成。,human-confirmed value copied from complete local preview; pending safety preflight and separate workbook import approval,human_value_present_unvalidated,False,False,False,False,False
QFOP-001,formal_security_review,security_legal_privacy,QFW-031,QF-031,formal_security_review_keys_to_review,dependency_review_completed,evidence_review_key,human evidence review outcome,"Use a concise human-reviewed outcome such as true, false, hold, or a short evidence reference.",Only mark true when the referenced evidence exists and has been reviewed by a human.,/evidence_review/dependency_review_completed,否：依赖安全审查尚未完成。,human-confirmed value copied from complete local preview; pending safety preflight and separate workbook import approval,human_value_present_unvalidated,False,False,False,False,False
QFOP-001,formal_security_review,security_legal_privacy,QFW-032,QF-032,formal_security_review_keys_to_review,formal_security_review_report,evidence_review_key,human evidence review outcome,"Use a concise human-reviewed outcome such as true, false, hold, or a short evidence reference.",Only mark true when the referenced evidence exists and has been reviewed by a human.,/evidence_review/formal_security_review_report,暂缺：正式安全审查报告尚未形成。,human-confirmed value copied from complete local preview; pending safety preflight and separate workbook import approval,human_value_present_unvalidated,False,False,False,False,False
QFOP-001,formal_security_review,security_legal_privacy,QFW-033,QF-033,formal_security_review_keys_to_review,private_core_non_exposure_review_completed,evidence_review_key,human evidence review outcome,"Use a concise human-reviewed outcome such as true, false, hold, or a short evidence reference.",Only mark true when the referenced evidence exists and has been reviewed by a human.,/evidence_review/private_core_non_exposure_review_completed,是（本地边界检查）：当前公开材料未包含私有核心；正式安全审查仍待完成。,human-confirmed value copied from complete local preview; pending safety preflight and separate workbook import approval,human_value_present_unvalidated,False,False,False,False,False
QFOP-001,formal_security_review,security_legal_privacy,QFW-034,QF-034,formal_security_review_keys_to_review,public_shell_threat_model_reviewed,evidence_review_key,human evidence review outcome,"Use a concise human-reviewed outcome such as true, false, hold, or a short evidence reference.",Only mark true when the referenced evidence exists and has been reviewed by a human.,/evidence_review/public_shell_threat_model_reviewed,暂缓：公开壳威胁模型可继续审查，但尚未正式签署完成。,human-confirmed value copied from complete local preview; pending safety preflight and separate workbook import approval,human_value_present_unvalidated,False,False,False,False,False
QFOP-001,formal_security_review,security_legal_privacy,QFW-035,QF-035,formal_security_review_keys_to_review,review_findings_triaged,evidence_review_key,human evidence review outcome,"Use a concise human-reviewed outcome such as true, false, hold, or a short evidence reference.",Only mark true when the referenced evidence exists and has been reviewed by a human.,/evidence_review/review_findings_triaged,否：安全审查发现项尚未形成，也未完成分级处理。,human-confirmed value copied from complete local preview; pending safety preflight and separate workbook import approval,human_value_present_unvalidated,False,False,False,False,False
QFOP-001,formal_security_review,security_legal_privacy,QFW-036,QF-036,formal_security_review_keys_to_review,storage_backup_and_restore_reviewed,evidence_review_key,human evidence review outcome,"Use a concise human-reviewed outcome such as true, false, hold, or a short evidence reference.",Only mark true when the referenced evidence exists and has been reviewed by a human.,/evidence_review/storage_backup_and_restore_reviewed,暂缓：本地备份与恢复检查存在，但生产级安全审查尚未完成。,human-confirmed value copied from complete local preview; pending safety preflight and separate workbook import approval,human_value_present_unvalidated,False,False,False,False,False
QFOP-001,formal_security_review,security_legal_privacy,QFW-037,QF-037,metadata_fields_to_fill,human_reviewer_name,metadata_field,human owner or reviewer identifier,"Use the accountable human role, team, or reviewer reference.","Do not let Codex assign, contact, or infer the owner.",/human_reviewer_name,张斌,human-confirmed value copied from complete local preview; pending safety preflight and separate workbook import approval,human_value_present_unvalidated,False,False,False,False,False
QFOP-001,formal_security_review,security_legal_privacy,QFW-038,QF-038,metadata_fields_to_fill,review_date,metadata_field,ISO date or review date reference,"Use a human-confirmed date such as YYYY-MM-DD, not an inferred date.","If no date exists yet, leave blank and keep the row pending.",/review_date,2026-07-09,human-confirmed value copied from complete local preview; pending safety preflight and separate workbook import approval,human_value_present_unvalidated,False,False,False,False,False
QFOP-001,formal_security_review,security_legal_privacy,QFW-039,QF-039,metadata_fields_to_fill,security_review_owner,metadata_field,human owner or reviewer identifier,"Use the accountable human role, team, or reviewer reference.","Do not let Codex assign, contact, or infer the owner.",/security_review_owner,张斌（临时安全审查负责人；正式生产前仍需独立复核）,human-confirmed value copied from complete local preview; pending safety preflight and separate workbook import approval,human_value_present_unvalidated,False,False,False,False,False
