collection_record_id,phase_number,phase_id,phase_title,source_audit,blocker_id,evidence_file_type,evidence_key,gap_status,local_public_shell_value,production_evidence_missing,accepted_for_blocker_closure,collection_status,allowed_collection_mode,owner_review_lane,external_dependency_required,engineering_implementation_required,human_review_required,manual_collection_required,requires_separate_execution_request,execution_authorized,evidence_collection_authorized,next_human_action,notes
ECP-001,1,phase_1_identity_and_tenant_boundary,"Identity, authorization, and tenant boundary",phase_b_product/commercial_readiness/phase_1_identity_tenant_gap_audit/phase_1_identity_tenant_gap_audit.local.json,production_identity_provider,production_auth_evidence,production_identity_provider_selected,missing_external_or_human_production_evidence,False,True,False,not_started,human_provided_evidence_only,engineering_security,True,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Production evidence is missing and must be supplied by a human owner.
ECP-002,1,phase_1_identity_and_tenant_boundary,"Identity, authorization, and tenant boundary",phase_b_product/commercial_readiness/phase_1_identity_tenant_gap_audit/phase_1_identity_tenant_gap_audit.local.json,production_identity_provider,production_auth_evidence,identity_provider_admin_owner_named,missing_external_or_human_production_evidence,False,True,False,not_started,human_provided_evidence_only,engineering_security,True,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Production evidence is missing and must be supplied by a human owner.
ECP-003,1,phase_1_identity_and_tenant_boundary,"Identity, authorization, and tenant boundary",phase_b_product/commercial_readiness/phase_1_identity_tenant_gap_audit/phase_1_identity_tenant_gap_audit.local.json,production_identity_provider,production_auth_evidence,oidc_issuer_verified,missing_external_or_human_production_evidence,False,True,False,not_started,human_provided_evidence_only,engineering_security,True,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Production evidence is missing and must be supplied by a human owner.
ECP-004,1,phase_1_identity_and_tenant_boundary,"Identity, authorization, and tenant boundary",phase_b_product/commercial_readiness/phase_1_identity_tenant_gap_audit/phase_1_identity_tenant_gap_audit.local.json,production_identity_provider,production_auth_evidence,oidc_audience_approved,missing_external_or_human_production_evidence,False,True,False,not_started,human_provided_evidence_only,engineering_security,True,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Production evidence is missing and must be supplied by a human owner.
ECP-005,1,phase_1_identity_and_tenant_boundary,"Identity, authorization, and tenant boundary",phase_b_product/commercial_readiness/phase_1_identity_tenant_gap_audit/phase_1_identity_tenant_gap_audit.local.json,production_identity_provider,production_auth_evidence,jwks_rotation_policy_reviewed,missing_external_or_human_production_evidence,False,True,False,not_started,human_provided_evidence_only,engineering_security,True,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Production evidence is missing and must be supplied by a human owner.
ECP-006,1,phase_1_identity_and_tenant_boundary,"Identity, authorization, and tenant boundary",phase_b_product/commercial_readiness/phase_1_identity_tenant_gap_audit/phase_1_identity_tenant_gap_audit.local.json,oauth_oidc,production_auth_evidence,oauth_oidc_flow_approved,missing_external_or_human_production_evidence,False,True,False,not_started,human_provided_evidence_only,engineering_security,True,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Production evidence is missing and must be supplied by a human owner.
ECP-007,1,phase_1_identity_and_tenant_boundary,"Identity, authorization, and tenant boundary",phase_b_product/commercial_readiness/phase_1_identity_tenant_gap_audit/phase_1_identity_tenant_gap_audit.local.json,oauth_oidc,production_auth_evidence,token_validation_test_recorded,missing_external_or_human_production_evidence,False,True,False,not_started,human_provided_evidence_only,engineering_security,True,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Production evidence is missing and must be supplied by a human owner.
ECP-008,1,phase_1_identity_and_tenant_boundary,"Identity, authorization, and tenant boundary",phase_b_product/commercial_readiness/phase_1_identity_tenant_gap_audit/phase_1_identity_tenant_gap_audit.local.json,oauth_oidc,production_auth_evidence,claims_mapping_reviewed,missing_external_or_human_production_evidence,False,True,False,not_started,human_provided_evidence_only,engineering_security,True,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Production evidence is missing and must be supplied by a human owner.
ECP-009,1,phase_1_identity_and_tenant_boundary,"Identity, authorization, and tenant boundary",phase_b_product/commercial_readiness/phase_1_identity_tenant_gap_audit/phase_1_identity_tenant_gap_audit.local.json,oauth_oidc,production_auth_evidence,session_expiry_policy_approved,missing_external_or_human_production_evidence,False,True,False,not_started,human_provided_evidence_only,engineering_security,True,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Production evidence is missing and must be supplied by a human owner.
ECP-010,1,phase_1_identity_and_tenant_boundary,"Identity, authorization, and tenant boundary",phase_b_product/commercial_readiness/phase_1_identity_tenant_gap_audit/phase_1_identity_tenant_gap_audit.local.json,oauth_oidc,production_auth_evidence,auth_failure_handling_reviewed,missing_external_or_human_production_evidence,False,True,False,not_started,human_provided_evidence_only,engineering_security,True,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Production evidence is missing and must be supplied by a human owner.
ECP-011,1,phase_1_identity_and_tenant_boundary,"Identity, authorization, and tenant boundary",phase_b_product/commercial_readiness/phase_1_identity_tenant_gap_audit/phase_1_identity_tenant_gap_audit.local.json,rbac,production_auth_evidence,rbac_policy_approved,missing_human_production_evidence,False,True,False,not_started,human_provided_evidence_only,engineering_security,False,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Production evidence is missing and must be supplied by a human owner.
ECP-012,1,phase_1_identity_and_tenant_boundary,"Identity, authorization, and tenant boundary",phase_b_product/commercial_readiness/phase_1_identity_tenant_gap_audit/phase_1_identity_tenant_gap_audit.local.json,rbac,production_auth_evidence,role_matrix_reviewed,local_public_shell_evidence_present_requires_human_production_approval,True,False,False,not_started,human_provided_evidence_only,engineering_security,False,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Local public-shell evidence is review input only; human-approved production evidence is still required.
ECP-013,1,phase_1_identity_and_tenant_boundary,"Identity, authorization, and tenant boundary",phase_b_product/commercial_readiness/phase_1_identity_tenant_gap_audit/phase_1_identity_tenant_gap_audit.local.json,rbac,production_auth_evidence,tenant_role_boundary_reviewed,local_public_shell_evidence_present_requires_human_production_approval,True,False,False,not_started,human_provided_evidence_only,engineering_security,False,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Local public-shell evidence is review input only; human-approved production evidence is still required.
ECP-014,1,phase_1_identity_and_tenant_boundary,"Identity, authorization, and tenant boundary",phase_b_product/commercial_readiness/phase_1_identity_tenant_gap_audit/phase_1_identity_tenant_gap_audit.local.json,rbac,production_auth_evidence,least_privilege_reviewed,missing_human_production_evidence,False,True,False,not_started,human_provided_evidence_only,engineering_security,False,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Production evidence is missing and must be supplied by a human owner.
ECP-015,1,phase_1_identity_and_tenant_boundary,"Identity, authorization, and tenant boundary",phase_b_product/commercial_readiness/phase_1_identity_tenant_gap_audit/phase_1_identity_tenant_gap_audit.local.json,rbac,production_auth_evidence,admin_recovery_policy_reviewed,missing_human_production_evidence,False,True,False,not_started,human_provided_evidence_only,engineering_security,False,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Production evidence is missing and must be supplied by a human owner.
ECP-016,1,phase_1_identity_and_tenant_boundary,"Identity, authorization, and tenant boundary",phase_b_product/commercial_readiness/phase_1_identity_tenant_gap_audit/phase_1_identity_tenant_gap_audit.local.json,tenant_storage_isolation,production_tenant_storage_evidence,production_tenant_data_model_approved,local_public_shell_evidence_present_requires_human_production_approval,True,False,False,not_started,human_provided_evidence_only,engineering_data_security,False,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Local public-shell evidence is review input only; human-approved production evidence is still required.
ECP-017,1,phase_1_identity_and_tenant_boundary,"Identity, authorization, and tenant boundary",phase_b_product/commercial_readiness/phase_1_identity_tenant_gap_audit/phase_1_identity_tenant_gap_audit.local.json,tenant_storage_isolation,production_tenant_storage_evidence,tenant_scoped_primary_keys_or_partitions_reviewed,local_public_shell_evidence_present_requires_human_production_approval,True,False,False,not_started,human_provided_evidence_only,engineering_data_security,False,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Local public-shell evidence is review input only; human-approved production evidence is still required.
ECP-018,1,phase_1_identity_and_tenant_boundary,"Identity, authorization, and tenant boundary",phase_b_product/commercial_readiness/phase_1_identity_tenant_gap_audit/phase_1_identity_tenant_gap_audit.local.json,tenant_storage_isolation,production_tenant_storage_evidence,tenant_query_enforcement_design_reviewed,local_public_shell_evidence_present_requires_human_production_approval,True,False,False,not_started,human_provided_evidence_only,engineering_data_security,False,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Local public-shell evidence is review input only; human-approved production evidence is still required.
ECP-019,1,phase_1_identity_and_tenant_boundary,"Identity, authorization, and tenant boundary",phase_b_product/commercial_readiness/phase_1_identity_tenant_gap_audit/phase_1_identity_tenant_gap_audit.local.json,tenant_storage_isolation,production_tenant_storage_evidence,tenant_storage_migration_plan_reviewed,local_public_shell_evidence_present_requires_human_production_approval,True,False,False,not_started,human_provided_evidence_only,engineering_data_security,False,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Local public-shell evidence is review input only; human-approved production evidence is still required.
ECP-020,1,phase_1_identity_and_tenant_boundary,"Identity, authorization, and tenant boundary",phase_b_product/commercial_readiness/phase_1_identity_tenant_gap_audit/phase_1_identity_tenant_gap_audit.local.json,tenant_storage_isolation,production_tenant_storage_evidence,same_experiment_id_cross_tenant_partition_tests_passed,local_public_shell_evidence_present_requires_human_production_approval,True,False,False,not_started,human_provided_evidence_only,engineering_data_security,False,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Local public-shell evidence is review input only; human-approved production evidence is still required.
ECP-021,1,phase_1_identity_and_tenant_boundary,"Identity, authorization, and tenant boundary",phase_b_product/commercial_readiness/phase_1_identity_tenant_gap_audit/phase_1_identity_tenant_gap_audit.local.json,tenant_storage_isolation,production_tenant_storage_evidence,cross_tenant_read_denial_tests_passed,local_public_shell_evidence_present_requires_human_production_approval,True,False,False,not_started,human_provided_evidence_only,engineering_data_security,False,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Local public-shell evidence is review input only; human-approved production evidence is still required.
ECP-022,1,phase_1_identity_and_tenant_boundary,"Identity, authorization, and tenant boundary",phase_b_product/commercial_readiness/phase_1_identity_tenant_gap_audit/phase_1_identity_tenant_gap_audit.local.json,tenant_storage_isolation,production_tenant_storage_evidence,cross_tenant_write_denial_tests_passed,local_public_shell_evidence_present_requires_human_production_approval,True,False,False,not_started,human_provided_evidence_only,engineering_data_security,False,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Local public-shell evidence is review input only; human-approved production evidence is still required.
ECP-023,1,phase_1_identity_and_tenant_boundary,"Identity, authorization, and tenant boundary",phase_b_product/commercial_readiness/phase_1_identity_tenant_gap_audit/phase_1_identity_tenant_gap_audit.local.json,tenant_storage_isolation,production_tenant_storage_evidence,tenant_scoped_listing_tests_passed,local_public_shell_evidence_present_requires_human_production_approval,True,False,False,not_started,human_provided_evidence_only,engineering_data_security,False,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Local public-shell evidence is review input only; human-approved production evidence is still required.
ECP-024,1,phase_1_identity_and_tenant_boundary,"Identity, authorization, and tenant boundary",phase_b_product/commercial_readiness/phase_1_identity_tenant_gap_audit/phase_1_identity_tenant_gap_audit.local.json,tenant_storage_isolation,production_tenant_storage_evidence,tenant_scoped_report_endpoint_tests_passed,local_public_shell_evidence_present_requires_human_production_approval,True,False,False,not_started,human_provided_evidence_only,engineering_data_security,False,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Local public-shell evidence is review input only; human-approved production evidence is still required.
ECP-025,1,phase_1_identity_and_tenant_boundary,"Identity, authorization, and tenant boundary",phase_b_product/commercial_readiness/phase_1_identity_tenant_gap_audit/phase_1_identity_tenant_gap_audit.local.json,tenant_storage_isolation,production_tenant_storage_evidence,tenant_scoped_audit_metadata_reviewed,local_public_shell_evidence_present_requires_human_production_approval,True,False,False,not_started,human_provided_evidence_only,engineering_data_security,False,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Local public-shell evidence is review input only; human-approved production evidence is still required.
ECP-026,1,phase_1_identity_and_tenant_boundary,"Identity, authorization, and tenant boundary",phase_b_product/commercial_readiness/phase_1_identity_tenant_gap_audit/phase_1_identity_tenant_gap_audit.local.json,tenant_storage_isolation,production_tenant_storage_evidence,tenant_backup_restore_boundary_approved,local_public_shell_evidence_present_requires_human_production_approval,True,False,False,not_started,human_provided_evidence_only,engineering_data_security,False,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Local public-shell evidence is review input only; human-approved production evidence is still required.
ECP-027,1,phase_1_identity_and_tenant_boundary,"Identity, authorization, and tenant boundary",phase_b_product/commercial_readiness/phase_1_identity_tenant_gap_audit/phase_1_identity_tenant_gap_audit.local.json,tenant_storage_isolation,production_tenant_storage_evidence,tenant_deletion_retention_boundary_approved,local_public_shell_evidence_present_requires_human_production_approval,True,False,False,not_started,human_provided_evidence_only,engineering_data_security,False,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Local public-shell evidence is review input only; human-approved production evidence is still required.
ECP-028,1,phase_1_identity_and_tenant_boundary,"Identity, authorization, and tenant boundary",phase_b_product/commercial_readiness/phase_1_identity_tenant_gap_audit/phase_1_identity_tenant_gap_audit.local.json,tenant_storage_isolation,production_tenant_storage_evidence,tenant_storage_observability_plan_reviewed,local_public_shell_evidence_present_requires_human_production_approval,True,False,False,not_started,human_provided_evidence_only,engineering_data_security,False,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Local public-shell evidence is review input only; human-approved production evidence is still required.
ECP-029,1,phase_1_identity_and_tenant_boundary,"Identity, authorization, and tenant boundary",phase_b_product/commercial_readiness/phase_1_identity_tenant_gap_audit/phase_1_identity_tenant_gap_audit.local.json,tenant_storage_isolation,production_tenant_storage_evidence,tenant_authorization_policy_reviewed,missing_human_production_evidence,False,True,False,not_started,human_provided_evidence_only,engineering_data_security,False,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Production evidence is missing and must be supplied by a human owner.
