quick_fill_row_id,blocker_id,input_group,input_key,preview_value_present,unsafe_pattern_count,value_source,row_status
QF-001,support_contact,first_owner_input,assigned_human_owner,True,0,initial_confirmed_ledger,preview_value_present
QF-002,support_contact,first_owner_input,owner_contact_reference,True,0,initial_confirmed_ledger,preview_value_present
QF-003,support_contact,first_owner_input,target_review_date,True,0,initial_confirmed_ledger,preview_value_present
QF-004,support_contact,first_owner_input,owner_acknowledged_scope,True,0,initial_confirmed_ledger,preview_value_present
QF-005,support_contact,first_owner_input,human_approval_reference,True,0,initial_confirmed_ledger,preview_value_present
QF-006,support_contact,support_contact_decision_metadata,human_reviewer_name,True,0,initial_confirmed_ledger,preview_value_present
QF-007,support_contact,support_contact_decision_metadata,review_date,True,0,initial_confirmed_ledger,preview_value_present
QF-008,support_contact,support_contact_decision_metadata,selected_support_contact_channel,True,0,initial_confirmed_ledger,preview_value_present
QF-009,support_contact,support_contact_decision_metadata,decision_summary,True,0,initial_confirmed_ledger,preview_value_present
QF-010,support_contact,support_contact_evidence_review,abuse_handling_path_defined,True,0,initial_confirmed_ledger,preview_value_present
QF-011,support_contact,support_contact_evidence_review,customer_facing_support_contact_configured,True,0,initial_confirmed_ledger,preview_value_present
QF-012,support_contact,support_contact_evidence_review,customer_notice_route_defined,True,0,initial_confirmed_ledger,preview_value_present
QF-013,support_contact,support_contact_evidence_review,support_contact_owner_named,True,0,initial_confirmed_ledger,preview_value_present
QF-014,support_contact,support_contact_evidence_review,support_contact_test_recorded,True,0,initial_confirmed_ledger,preview_value_present
QF-015,support_contact,support_contact_candidate_slot,support_contact_candidate_a,True,0,initial_confirmed_ledger,preview_value_present
QF-016,pricing_page,metadata_fields_to_fill,human_reviewer_name,True,0,initial_confirmed_ledger,preview_value_present
QF-017,pricing_page,metadata_fields_to_fill,review_date,True,0,initial_confirmed_ledger,preview_value_present
QF-018,pricing_page,metadata_fields_to_fill,commercial_owner,True,0,initial_confirmed_ledger,preview_value_present
QF-019,pricing_page,metadata_fields_to_fill,product_owner,True,0,initial_confirmed_ledger,preview_value_present
QF-020,pricing_page,metadata_fields_to_fill,accounting_owner,True,0,initial_confirmed_ledger,preview_value_present
QF-021,pricing_page,metadata_fields_to_fill,legal_owner,True,0,initial_confirmed_ledger,preview_value_present
QF-022,pricing_page,metadata_fields_to_fill,billing_owner,True,0,initial_confirmed_ledger,preview_value_present
QF-023,pricing_page,metadata_fields_to_fill,review_record_reference,True,0,initial_confirmed_ledger,preview_value_present
QF-024,pricing_page,metadata_fields_to_fill,decision_summary,True,0,initial_confirmed_ledger,preview_value_present
QF-025,pricing_page,pricing_page_keys_to_review,human_approved_pricing_page_copy,True,0,initial_confirmed_ledger,preview_value_present
QF-026,pricing_page,pricing_page_keys_to_review,approved_plan_and_usage_terms,True,0,initial_confirmed_ledger,preview_value_present
QF-027,pricing_page,pricing_page_keys_to_review,legal_review_completed,True,0,initial_confirmed_ledger,preview_value_present
