workbook_row_id,blocker_id,human_filled_input_target,template_path,target_json_pointer,pointer_resolved,resolution_status,value_transferred,template_written
WB-001,support_contact,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.template.json,/first_owner_input/assigned_human_owner,True,resolved,False,False
WB-002,support_contact,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.template.json,/first_owner_input/owner_contact_reference,True,resolved,False,False
WB-003,support_contact,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.template.json,/first_owner_input/target_review_date,True,resolved,False,False
WB-004,support_contact,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.template.json,/first_owner_input/owner_acknowledged_scope,True,resolved,False,False
WB-005,support_contact,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.template.json,/first_owner_input/human_approval_reference,True,resolved,False,False
WB-006,support_contact,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.template.json,/support_contact_decision_input/human_reviewer_name,True,resolved,False,False
WB-007,support_contact,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.template.json,/support_contact_decision_input/review_date,True,resolved,False,False
WB-008,support_contact,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.template.json,/support_contact_decision_input/selected_support_contact_channel,True,resolved,False,False
WB-009,support_contact,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.template.json,/support_contact_decision_input/decision_summary,True,resolved,False,False
WB-010,support_contact,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.template.json,/support_contact_decision_input/evidence_review/abuse_handling_path_defined,True,resolved,False,False
WB-011,support_contact,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.template.json,/support_contact_decision_input/evidence_review/customer_facing_support_contact_configured,True,resolved,False,False
WB-012,support_contact,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.template.json,/support_contact_decision_input/evidence_review/customer_notice_route_defined,True,resolved,False,False
WB-013,support_contact,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.template.json,/support_contact_decision_input/evidence_review/support_contact_owner_named,True,resolved,False,False
WB-014,support_contact,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.template.json,/support_contact_decision_input/evidence_review/support_contact_test_recorded,True,resolved,False,False
WB-015,support_contact,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.template.json,/support_contact_decision_input/candidate_contact_slots[slot_id=support_contact_candidate_a],True,resolved,False,False
WB-016,support_contact,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.template.json,/support_contact_decision_input/candidate_contact_slots[slot_id=support_contact_candidate_b],True,resolved,False,False
WB-017,pricing_page,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.template.json,/human_reviewer_name,True,resolved,False,False
WB-018,pricing_page,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.template.json,/review_date,True,resolved,False,False
WB-019,pricing_page,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.template.json,/commercial_owner,True,resolved,False,False
WB-020,pricing_page,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.template.json,/product_owner,True,resolved,False,False
WB-021,pricing_page,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.template.json,/accounting_owner,True,resolved,False,False
WB-022,pricing_page,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.template.json,/legal_owner,True,resolved,False,False
WB-023,pricing_page,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.template.json,/billing_owner,True,resolved,False,False
WB-024,pricing_page,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.template.json,/review_record_reference,True,resolved,False,False
WB-025,pricing_page,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.template.json,/decision_summary,True,resolved,False,False
