blocker_id,evidence_file_type,evidence_key,local_public_shell_value,accepted_for_blocker_closure,gap_status,external_dependency_required,human_review_required,notes
production_monitoring,production_operations_evidence,production_monitoring_plan_approved,False,False,missing_external_or_human_production_evidence,True,True,Production-grade human-approved evidence is still missing.
production_monitoring,production_operations_evidence,metrics_coverage_approved,False,False,missing_external_or_human_production_evidence,True,True,Production-grade human-approved evidence is still missing.
production_monitoring,production_operations_evidence,slo_dashboard_defined,False,False,missing_external_or_human_production_evidence,True,True,Production-grade human-approved evidence is still missing.
production_monitoring,production_operations_evidence,log_retention_reviewed,False,False,missing_external_or_human_production_evidence,True,True,Production-grade human-approved evidence is still missing.
production_monitoring,production_operations_evidence,monitoring_dry_run_recorded,True,False,local_public_shell_evidence_present_requires_human_production_approval,True,True,Local evidence is review input only; it does not close the production blocker.
external_alert_delivery,production_operations_evidence,external_alert_channel_configured,False,False,missing_external_or_human_production_evidence,True,True,Production-grade human-approved evidence is still missing.
external_alert_delivery,production_operations_evidence,alert_routing_policy_approved,False,False,missing_external_or_human_production_evidence,True,True,Production-grade human-approved evidence is still missing.
external_alert_delivery,production_operations_evidence,alert_delivery_test_recorded,False,False,missing_external_or_human_production_evidence,True,True,Production-grade human-approved evidence is still missing.
external_alert_delivery,production_operations_evidence,alert_failure_handling_defined,False,False,missing_external_or_human_production_evidence,True,True,Production-grade human-approved evidence is still missing.
external_alert_delivery,production_operations_evidence,incident_escalation_path_defined,False,False,missing_external_or_human_production_evidence,True,True,Production-grade human-approved evidence is still missing.
external_alert_delivery,production_operations_evidence,alert_acknowledgement_process_defined,False,False,missing_external_or_human_production_evidence,True,True,Production-grade human-approved evidence is still missing.
on_call_rotation,production_operations_evidence,on_call_rotation_defined,False,False,missing_external_or_human_production_evidence,True,True,Production-grade human-approved evidence is still missing.
on_call_rotation,production_operations_evidence,escalation_schedule_defined,False,False,missing_external_or_human_production_evidence,True,True,Production-grade human-approved evidence is still missing.
on_call_rotation,production_operations_evidence,incident_commander_named,False,False,missing_external_or_human_production_evidence,True,True,Production-grade human-approved evidence is still missing.
restore_tested,production_data_operations_evidence,production_like_restore_test_plan_approved,True,False,local_public_shell_evidence_present_requires_human_production_approval,False,True,Local evidence is review input only; it does not close the production blocker.
restore_tested,production_data_operations_evidence,isolated_restore_environment_used,True,False,local_public_shell_evidence_present_requires_human_production_approval,False,True,Local evidence is review input only; it does not close the production blocker.
restore_tested,production_data_operations_evidence,restore_integrity_checks_passed,True,False,local_public_shell_evidence_present_requires_human_production_approval,False,True,Local evidence is review input only; it does not close the production blocker.
restore_tested,production_data_operations_evidence,rto_rpo_observed_and_recorded,True,False,local_public_shell_evidence_present_requires_human_production_approval,False,True,Local evidence is review input only; it does not close the production blocker.
restore_tested,production_data_operations_evidence,tenant_scope_validated_if_customer_data_exists,True,False,local_public_shell_evidence_present_requires_human_production_approval,False,True,Local evidence is review input only; it does not close the production blocker.
restore_tested,production_data_operations_evidence,restore_test_report_reviewed,True,False,local_public_shell_evidence_present_requires_human_production_approval,False,True,Local evidence is review input only; it does not close the production blocker.
production_restore_policy,production_data_operations_evidence,production_restore_policy_approved,False,False,missing_human_production_evidence,False,True,Production-grade human-approved evidence is still missing.
production_restore_policy,production_data_operations_evidence,backup_retention_policy_approved,False,False,missing_human_production_evidence,False,True,Production-grade human-approved evidence is still missing.
production_restore_policy,production_data_operations_evidence,tenant_restore_boundary_approved,False,False,missing_human_production_evidence,False,True,Production-grade human-approved evidence is still missing.
production_restore_policy,production_data_operations_evidence,credential_secret_exclusion_reviewed,True,False,local_public_shell_evidence_present_requires_human_production_approval,False,True,Local evidence is review input only; it does not close the production blocker.
production_restore_policy,production_data_operations_evidence,customer_notification_boundary_approved,False,False,missing_human_production_evidence,False,True,Production-grade human-approved evidence is still missing.
production_restore_policy,production_data_operations_evidence,incident_response_handoff_approved,False,False,missing_human_production_evidence,False,True,Production-grade human-approved evidence is still missing.
