blocker_id,phase_id,category,dependency_state,owner_review_lane,depends_on_blockers,external_dependency_required,engineering_implementation_required,evidence_sample_count,execution_allowed_by_board,closure_allowed_by_board,default_decision
oauth_oidc,phase_1_identity_and_tenant_boundary,auth,blocked_by_open_dependencies,engineering_security,production_identity_provider,True,True,3,False,False,hold
production_identity_provider,phase_1_identity_and_tenant_boundary,auth,ready_for_human_review,engineering_security,,True,True,3,False,False,hold
rbac,phase_1_identity_and_tenant_boundary,auth,blocked_by_open_dependencies,engineering_security,production_identity_provider;oauth_oidc,False,True,3,False,False,hold
tenant_storage_isolation,phase_1_identity_and_tenant_boundary,tenant,blocked_by_open_dependencies,engineering_data_security,rbac,False,True,3,False,False,hold
external_alert_delivery,phase_2_data_and_operations_resilience,operations,blocked_by_open_dependencies,operations_engineering,production_monitoring,True,True,3,False,False,hold
on_call_rotation,phase_2_data_and_operations_resilience,operations,blocked_by_open_dependencies,operations_engineering,production_monitoring;external_alert_delivery,True,False,3,False,False,hold
production_monitoring,phase_2_data_and_operations_resilience,operations,ready_for_human_review,operations_engineering,,True,True,3,False,False,hold
production_restore_policy,phase_2_data_and_operations_resilience,data_ops,ready_for_human_review,data_operations,,False,True,3,False,False,hold
restore_tested,phase_2_data_and_operations_resilience,data_ops,blocked_by_open_dependencies,data_operations,production_restore_policy,False,True,3,False,False,hold
customer_support,phase_3_support_security_legal,support,blocked_by_open_dependencies,support_operations,support_contact,True,False,3,False,False,hold
data_processing_agreement,phase_3_support_security_legal,privacy_security,blocked_by_open_dependencies,security_legal_privacy,privacy_legal_review,True,False,3,False,False,hold
formal_security_review,phase_3_support_security_legal,privacy_security,ready_for_human_review,security_legal_privacy,,True,False,3,False,False,hold
privacy_legal_review,phase_3_support_security_legal,privacy_security,ready_for_human_review,security_legal_privacy,,True,False,3,False,False,hold
sla,phase_3_support_security_legal,support,blocked_by_open_dependencies,support_operations,support_contact;customer_support,True,False,3,False,False,hold
support_contact,phase_3_support_security_legal,support,ready_for_human_review,support_operations,,True,False,3,False,False,hold
vulnerability_management,phase_3_support_security_legal,privacy_security,blocked_by_open_dependencies,security_legal_privacy,formal_security_review,True,False,3,False,False,hold
invoice_process,phase_4_commercial_packaging_and_billing,billing,blocked_by_open_dependencies,commercial_finance_legal,pricing_page;tax_review,True,False,3,False,False,hold
payment_provider,phase_4_commercial_packaging_and_billing,billing,blocked_by_open_dependencies,commercial_finance_legal,pricing_page;tax_review;refund_policy,True,False,3,False,False,hold
pricing_page,phase_4_commercial_packaging_and_billing,billing,ready_for_human_review,commercial_finance_legal,,True,False,3,False,False,hold
refund_policy,phase_4_commercial_packaging_and_billing,billing,ready_for_human_review,commercial_finance_legal,,True,False,3,False,False,hold
tax_review,phase_4_commercial_packaging_and_billing,billing,ready_for_human_review,commercial_finance_legal,,True,False,3,False,False,hold
tenant_billing_isolation,phase_4_commercial_packaging_and_billing,billing,blocked_by_open_dependencies,commercial_finance_legal,tenant_storage_isolation;payment_provider,False,True,3,False,False,hold
customer_validated,phase_5_customer_validation_and_launch_review,validation,blocked_by_open_dependencies,customer_validation,pilot_results,True,False,3,False,False,hold
pilot_results,phase_5_customer_validation_and_launch_review,validation,blocked_by_open_dependencies,customer_validation,support_contact;privacy_legal_review;data_processing_agreement;production_monitoring,True,False,3,False,False,hold
