queue_item_id,workbook_row_id,blocker_id,owner_review_lane,input_group,input_key,input_kind,human_fill_source,human_fill_column,human_filled_input_target,target_json_pointer,source_path,completion_status,value_transferred,template_written
HIQ-001,WB-001,support_contact,support_operations,first_owner_input,assigned_human_owner,support_contact_bridge_field,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,/first_owner_input/assigned_human_owner,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/first_owner_input.template.json,missing_human_input,False,False
HIQ-002,WB-002,support_contact,support_operations,first_owner_input,owner_contact_reference,support_contact_bridge_field,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,/first_owner_input/owner_contact_reference,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/first_owner_input.template.json,missing_human_input,False,False
HIQ-003,WB-003,support_contact,support_operations,first_owner_input,target_review_date,support_contact_bridge_field,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,/first_owner_input/target_review_date,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/first_owner_input.template.json,missing_human_input,False,False
HIQ-004,WB-004,support_contact,support_operations,first_owner_input,owner_acknowledged_scope,support_contact_bridge_field,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,/first_owner_input/owner_acknowledged_scope,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/first_owner_input.template.json,missing_human_input,False,False
HIQ-005,WB-005,support_contact,support_operations,first_owner_input,human_approval_reference,support_contact_bridge_field,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,/first_owner_input/human_approval_reference,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/first_owner_input.template.json,missing_human_input,False,False
HIQ-006,WB-006,support_contact,support_operations,support_contact_decision_metadata,human_reviewer_name,support_contact_bridge_field,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,/support_contact_decision_input/human_reviewer_name,phase_b_product/commercial_readiness/support_evidence/support_contact_decision_input.template.json,missing_human_input,False,False
HIQ-007,WB-007,support_contact,support_operations,support_contact_decision_metadata,review_date,support_contact_bridge_field,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,/support_contact_decision_input/review_date,phase_b_product/commercial_readiness/support_evidence/support_contact_decision_input.template.json,missing_human_input,False,False
HIQ-008,WB-008,support_contact,support_operations,support_contact_decision_metadata,selected_support_contact_channel,support_contact_bridge_field,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,/support_contact_decision_input/selected_support_contact_channel,phase_b_product/commercial_readiness/support_evidence/support_contact_decision_input.template.json,missing_human_input,False,False
HIQ-009,WB-009,support_contact,support_operations,support_contact_decision_metadata,decision_summary,support_contact_bridge_field,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,/support_contact_decision_input/decision_summary,phase_b_product/commercial_readiness/support_evidence/support_contact_decision_input.template.json,missing_human_input,False,False
HIQ-010,WB-010,support_contact,support_operations,support_contact_evidence_review,abuse_handling_path_defined,support_contact_bridge_field,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,/support_contact_decision_input/evidence_review/abuse_handling_path_defined,phase_b_product/commercial_readiness/support_evidence/support_contact_decision_input.template.json,missing_human_input,False,False
HIQ-011,WB-011,support_contact,support_operations,support_contact_evidence_review,customer_facing_support_contact_configured,support_contact_bridge_field,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,/support_contact_decision_input/evidence_review/customer_facing_support_contact_configured,phase_b_product/commercial_readiness/support_evidence/support_contact_decision_input.template.json,missing_human_input,False,False
HIQ-012,WB-012,support_contact,support_operations,support_contact_evidence_review,customer_notice_route_defined,support_contact_bridge_field,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,/support_contact_decision_input/evidence_review/customer_notice_route_defined,phase_b_product/commercial_readiness/support_evidence/support_contact_decision_input.template.json,missing_human_input,False,False
HIQ-013,WB-013,support_contact,support_operations,support_contact_evidence_review,support_contact_owner_named,support_contact_bridge_field,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,/support_contact_decision_input/evidence_review/support_contact_owner_named,phase_b_product/commercial_readiness/support_evidence/support_contact_decision_input.template.json,missing_human_input,False,False
HIQ-014,WB-014,support_contact,support_operations,support_contact_evidence_review,support_contact_test_recorded,support_contact_bridge_field,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,/support_contact_decision_input/evidence_review/support_contact_test_recorded,phase_b_product/commercial_readiness/support_evidence/support_contact_decision_input.template.json,missing_human_input,False,False
HIQ-015,WB-015,support_contact,support_operations,support_contact_candidate_slot,support_contact_candidate_a,support_contact_bridge_field,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,/support_contact_decision_input/candidate_contact_slots[slot_id=support_contact_candidate_a],phase_b_product/commercial_readiness/support_evidence/support_contact_decision_input.template.json,missing_human_input,False,False
HIQ-016,WB-017,pricing_page,commercial_finance_legal,metadata_fields_to_fill,human_reviewer_name,metadata_field,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.human_filled.local.json,/human_reviewer_name,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.template.json,missing_human_input,False,False
HIQ-017,WB-018,pricing_page,commercial_finance_legal,metadata_fields_to_fill,review_date,metadata_field,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.human_filled.local.json,/review_date,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.template.json,missing_human_input,False,False
