quick_fill_row_id,queue_item_id,workbook_row_id,blocker_id,owner_review_lane,input_group,input_key,input_kind,value_present,note_present,value_length,note_length,quality_status,issue_codes,target_workbook_csv,target_workbook_column,target_json_pointer
QF-001,HIQ-001,WB-001,support_contact,support_operations,first_owner_input,assigned_human_owner,support_contact_bridge_field,True,True,2,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/first_owner_input/assigned_human_owner
QF-002,HIQ-002,WB-002,support_contact,support_operations,first_owner_input,owner_contact_reference,support_contact_bridge_field,True,True,42,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/first_owner_input/owner_contact_reference
QF-003,HIQ-003,WB-003,support_contact,support_operations,first_owner_input,target_review_date,support_contact_bridge_field,True,True,10,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/first_owner_input/target_review_date
QF-004,HIQ-004,WB-004,support_contact,support_operations,first_owner_input,owner_acknowledged_scope,support_contact_bridge_field,True,True,39,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/first_owner_input/owner_acknowledged_scope
QF-005,HIQ-005,WB-005,support_contact,support_operations,first_owner_input,human_approval_reference,support_contact_bridge_field,True,True,55,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/first_owner_input/human_approval_reference
QF-006,HIQ-006,WB-006,support_contact,support_operations,support_contact_decision_metadata,human_reviewer_name,support_contact_bridge_field,True,True,2,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/support_contact_decision_input/human_reviewer_name
QF-007,HIQ-007,WB-007,support_contact,support_operations,support_contact_decision_metadata,review_date,support_contact_bridge_field,True,True,10,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/support_contact_decision_input/review_date
QF-008,HIQ-008,WB-008,support_contact,support_operations,support_contact_decision_metadata,selected_support_contact_channel,support_contact_bridge_field,True,True,42,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/support_contact_decision_input/selected_support_contact_channel
QF-009,HIQ-009,WB-009,support_contact,support_operations,support_contact_decision_metadata,decision_summary,support_contact_bridge_field,True,True,54,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/support_contact_decision_input/decision_summary
QF-010,HIQ-010,WB-010,support_contact,support_operations,support_contact_evidence_review,abuse_handling_path_defined,support_contact_bridge_field,True,True,20,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/support_contact_decision_input/evidence_review/abuse_handling_path_defined
QF-011,HIQ-011,WB-011,support_contact,support_operations,support_contact_evidence_review,customer_facing_support_contact_configured,support_contact_bridge_field,True,True,27,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/support_contact_decision_input/evidence_review/customer_facing_support_contact_configured
QF-012,HIQ-012,WB-012,support_contact,support_operations,support_contact_evidence_review,customer_notice_route_defined,support_contact_bridge_field,True,True,23,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/support_contact_decision_input/evidence_review/customer_notice_route_defined
QF-013,HIQ-013,WB-013,support_contact,support_operations,support_contact_evidence_review,support_contact_owner_named,support_contact_bridge_field,True,True,25,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/support_contact_decision_input/evidence_review/support_contact_owner_named
QF-014,HIQ-014,WB-014,support_contact,support_operations,support_contact_evidence_review,support_contact_test_recorded,support_contact_bridge_field,True,True,26,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/support_contact_decision_input/evidence_review/support_contact_test_recorded
QF-015,HIQ-015,WB-015,support_contact,support_operations,support_contact_candidate_slot,support_contact_candidate_a,support_contact_bridge_field,True,True,36,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/support_contact_decision_input/candidate_contact_slots[slot_id=support_contact_candidate_a]
QF-016,HIQ-016,WB-017,pricing_page,commercial_finance_legal,metadata_fields_to_fill,human_reviewer_name,metadata_field,True,True,2,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/human_reviewer_name
