card_row_number,review_batch_row_id,quick_fill_row_id,queue_item_id,workbook_row_id,blocker_id,owner_review_lane,input_group,input_key,input_kind,human_plain_label,human_plain_instruction,human_plain_leave_blank_condition,expected_value_shape,fill_instruction,leave_blank_condition,target_json_pointer,human_value_to_enter,notes_for_human
1,QFRB-001,QF-001,HIQ-001,WB-001,support_contact,support_operations,first_owner_input,assigned_human_owner,support_contact_bridge_field,谁负责确认这个支持入口,填写已由人确认的负责人姓名、角色或内部负责人标识。,如果还没有明确负责人，留空。,first-owner coordination field,"Use human-approved owner, contact-reference, target-date, scope-acknowledgement, or approval-reference text.",Do not assign an owner or contact anyone from this guidance layer.,/first_owner_input/assigned_human_owner,,
2,QFRB-002,QF-002,HIQ-002,WB-002,support_contact,support_operations,first_owner_input,owner_contact_reference,support_contact_bridge_field,负责人或内部记录在哪里,填写内部可追溯记录，例如工单、会议纪要、文档路径或审批编号；不要填未批准的私人联系方式。,如果没有内部记录或审批来源，留空。,first-owner coordination field,"Use human-approved owner, contact-reference, target-date, scope-acknowledgement, or approval-reference text.",Do not assign an owner or contact anyone from this guidance layer.,/first_owner_input/owner_contact_reference,,
3,QFRB-003,QF-003,HIQ-003,WB-003,support_contact,support_operations,first_owner_input,target_review_date,support_contact_bridge_field,计划哪一天完成确认,填写计划完成确认的日期，建议使用 YYYY-MM-DD。,如果还没有目标日期，留空。,first-owner coordination field,"Use human-approved owner, contact-reference, target-date, scope-acknowledgement, or approval-reference text.",Do not assign an owner or contact anyone from this guidance layer.,/first_owner_input/target_review_date,,
4,QFRB-004,QF-004,HIQ-004,WB-004,support_contact,support_operations,first_owner_input,owner_acknowledged_scope,support_contact_bridge_field,负责人是否知道只是在确认支持入口,填写负责人已确认范围的简短说明，例如只确认支持入口，不代表正式上线。,如果负责人还没有确认范围，留空。,first-owner coordination field,"Use human-approved owner, contact-reference, target-date, scope-acknowledgement, or approval-reference text.",Do not assign an owner or contact anyone from this guidance layer.,/first_owner_input/owner_acknowledged_scope,,
5,QFRB-005,QF-005,HIQ-005,WB-005,support_contact,support_operations,first_owner_input,human_approval_reference,support_contact_bridge_field,人工批准记录或会议记录编号,填写人工批准或审查记录的编号、链接名称或文件路径。,如果没有人工批准记录，留空。,first-owner coordination field,"Use human-approved owner, contact-reference, target-date, scope-acknowledgement, or approval-reference text.",Do not assign an owner or contact anyone from this guidance layer.,/first_owner_input/human_approval_reference,,
6,QFRB-006,QF-006,HIQ-006,WB-006,support_contact,support_operations,support_contact_decision_metadata,human_reviewer_name,support_contact_bridge_field,谁做了这次人工审查,填写本次审查人的姓名、角色或内部标识。,如果没有实际审查人，留空。,support-contact decision metadata,Use human-reviewed support-contact decision metadata.,Do not publish support contact details from this guidance layer.,/support_contact_decision_input/human_reviewer_name,,
7,QFRB-007,QF-007,HIQ-007,WB-007,support_contact,support_operations,support_contact_decision_metadata,review_date,support_contact_bridge_field,审查日期,填写实际审查日期，建议使用 YYYY-MM-DD。,如果还没有实际审查日期，留空。,support-contact decision metadata,Use human-reviewed support-contact decision metadata.,Do not publish support contact details from this guidance layer.,/support_contact_decision_input/review_date,,
8,QFRB-008,QF-008,HIQ-008,WB-008,support_contact,support_operations,support_contact_decision_metadata,selected_support_contact_channel,support_contact_bridge_field,以后客户从哪里联系支持,填写已经人工选择的支持入口类型，例如邮箱、表单、工单系统或暂不开放。,如果支持入口尚未人工决定，留空。,support-contact decision metadata,Use human-reviewed support-contact decision metadata.,Do not publish support contact details from this guidance layer.,/support_contact_decision_input/selected_support_contact_channel,,
9,QFRB-009,QF-009,HIQ-009,WB-009,support_contact,support_operations,support_contact_decision_metadata,decision_summary,support_contact_bridge_field,一句话说明为什么选这个支持方式,用一句话说明当前支持入口选择；不要写成已经正式对客户开放。,如果还没有形成决策，留空。,support-contact decision metadata,Use human-reviewed support-contact decision metadata.,Do not publish support contact details from this guidance layer.,/support_contact_decision_input/decision_summary,,
10,QFRB-010,QF-010,HIQ-010,WB-010,support_contact,support_operations,support_contact_evidence_review,abuse_handling_path_defined,support_contact_bridge_field,滥用或异常请求由谁处理,填写是否已有滥用处理路径及负责人；没有人工确认就留空。,如果滥用处理路径还没有人工确认，留空。,support-contact bridge value,Use human-reviewed support-contact bridge input.,Leave blank if the support owner has not approved it.,/support_contact_decision_input/evidence_review/abuse_handling_path_defined,,
