review_batch_row_id,quick_fill_row_id,blocker_id,owner_review_lane,input_group,input_key,expected_value_shape,target_json_pointer,quality_rule,accepted_value_shape,reject_if,example_placeholder,privacy_note,human_required
QFRB-001,QF-001,support_contact,support_operations,first_owner_input,assigned_human_owner,first-owner coordination field,/first_owner_input/assigned_human_owner,Must name who owns the support-contact decision or the approved internal owner reference.,"role, team, or person reference explicitly approved by a human","Reject blank-looking placeholders, guessed owners, or direct personal phone/email not meant for public config.",EXAMPLE_ONLY: support owner role reviewed by human,Prefer internal role or approved owner reference; avoid raw personal contact details.,True
QFRB-002,QF-002,support_contact,support_operations,first_owner_input,owner_contact_reference,first-owner coordination field,/first_owner_input/owner_contact_reference,Must point to a human-reviewable internal source for the owner/contact decision.,"internal ticket, meeting note, document path, or approval reference","Reject unsupported personal contact data, vague memory, or unapproved public contact claims.",EXAMPLE_ONLY: internal approval record reference,Use a reference ID or internal document name instead of private phone/email.,True
QFRB-003,QF-003,support_contact,support_operations,first_owner_input,target_review_date,first-owner coordination field,/first_owner_input/target_review_date,Must be a concrete date or an explicit reviewed date source.,YYYY-MM-DD or explicit reviewed date reference,"Reject vague dates such as soon, later, next week, or guessed current date.",EXAMPLE_ONLY: YYYY-MM-DD,Date only; no personal details required.,True
QFRB-004,QF-004,support_contact,support_operations,first_owner_input,owner_acknowledged_scope,first-owner coordination field,/first_owner_input/owner_acknowledged_scope,"Must say whether the owner acknowledged scope, and point to the human review source.",true/false/hold plus reviewer reference,"Reject unsupported approved claims, production-ready claims, or customer-facing launch claims.",EXAMPLE_ONLY: hold - scope not yet approved by owner,Reference the review record; do not expose private discussion details.,True
QFRB-005,QF-005,support_contact,support_operations,first_owner_input,human_approval_reference,first-owner coordination field,/first_owner_input/human_approval_reference,Must identify the human approval evidence source without claiming execution.,"approval record, meeting note, ticket, or signed-off internal reference","Reject verbal-only claims with no reference, or claims that approval equals launch.",EXAMPLE_ONLY: approval record ID,Use record identifiers; avoid copying private messages.,True
QFRB-006,QF-006,support_contact,support_operations,support_contact_decision_metadata,human_reviewer_name,support-contact decision metadata,/support_contact_decision_input/human_reviewer_name,Must identify who reviewed the entry at a human-readable level.,"reviewer role, team, person name, or internal reviewer reference","Reject anonymous approval, guessed names, or unapproved personal contact details.",EXAMPLE_ONLY: reviewer role or internal reviewer reference,Use role/reference if public names are not approved for config.,True
QFRB-007,QF-007,support_contact,support_operations,support_contact_decision_metadata,review_date,support-contact decision metadata,/support_contact_decision_input/review_date,Must be the actual human review date or a traceable date reference.,YYYY-MM-DD or explicit reviewed date reference,"Reject vague dates such as today, soon, later, or guessed current date.",EXAMPLE_ONLY: YYYY-MM-DD,Date only; no personal details required.,True
QFRB-008,QF-008,support_contact,support_operations,support_contact_decision_metadata,selected_support_contact_channel,support-contact decision metadata,/support_contact_decision_input/selected_support_contact_channel,Must describe the selected support-contact channel type without pretending it is live.,"approved channel type or internal reference, such as support_email_candidate, ticketing_system_candidate, or hold_no_channel_approved","Reject live public contact claims, production support claims, or customer-ready language if not separately approved.",EXAMPLE_ONLY: hold_no_channel_approved,Do not expose real addresses or forms until the channel is approved.,True
QFRB-009,QF-009,support_contact,support_operations,support_contact_decision_metadata,decision_summary,support-contact decision metadata,/support_contact_decision_input/decision_summary,Must summarize the human decision while preserving hold/not-production-ready boundaries.,concise human decision summary with boundary-safe wording,"Reject production-ready, customer-validated, launched, or universal support claims.",EXAMPLE_ONLY: support channel decision remains on hold pending owner approval,"Summarize the decision, not private deliberation.",True
QFRB-010,QF-010,support_contact,support_operations,support_contact_evidence_review,abuse_handling_path_defined,support-contact bridge value,/support_contact_decision_input/evidence_review/abuse_handling_path_defined,Must state whether abuse handling is defined and cite the human-review source.,true/false/hold plus evidence reference,"Reject unsupported live support, incident response, production-ready, or customer-support claims.",EXAMPLE_ONLY: hold - abuse handling path not yet approved,Reference the process record; do not expose private escalation contacts.,True
