blocker_id,source_group,source_status,review_ready_marker_candidate,requested_marker,matrix_current_status,requires_exact_human_execution_approval,closure_allowed_by_catalog
production_identity_provider,phase1,ready_for_human_phase1_identity_tenant_review_no_closure,True,record_review_ready_no_closure,open,True,False
oauth_oidc,phase1,ready_for_human_phase1_identity_tenant_review_no_closure,True,record_review_ready_no_closure,open,True,False
rbac,phase1,ready_for_human_phase1_identity_tenant_review_no_closure,True,record_review_ready_no_closure,open,True,False
tenant_storage_isolation,phase1,ready_for_human_phase1_identity_tenant_review_no_closure,True,record_review_ready_no_closure,open,True,False
support_contact,support,ready_for_separate_matrix_update_request_no_closure,True,record_review_ready_no_closure,open,True,False
customer_support,support,ready_for_separate_matrix_update_request_no_closure,True,record_review_ready_no_closure,open,True,False
sla,support,ready_for_separate_matrix_update_request_no_closure,True,record_review_ready_no_closure,open,True,False
on_call_rotation,support,ready_for_separate_matrix_update_request_no_closure,True,record_review_ready_no_closure,open,True,False
production_monitoring,monitoring,ready_for_human_operations_profile_review_no_closure,True,record_review_ready_no_closure,open,True,False
external_alert_delivery,operations_followup,ready_for_human_operations_followup_review_no_closure,True,record_review_ready_no_closure,open,True,False
formal_security_review,privacy_security_legal,ready_for_human_privacy_security_legal_review_no_closure,True,record_review_ready_no_closure,open,True,False
privacy_legal_review,privacy_security_legal,ready_for_human_privacy_security_legal_review_no_closure,True,record_review_ready_no_closure,open,True,False
data_processing_agreement,privacy_security_legal,ready_for_human_privacy_security_legal_review_no_closure,True,record_review_ready_no_closure,open,True,False
vulnerability_management,privacy_security_legal,ready_for_human_privacy_security_legal_review_no_closure,True,record_review_ready_no_closure,open,True,False
pricing_page,pricing,ready_for_exact_matrix_update_execution_approval_phrase_no_publication_no_auto_closure,True,record_review_ready_no_publication_no_closure,open,True,False
payment_provider,billing_followup,ready_for_human_billing_followup_review_no_closure,True,record_review_ready_no_closure,open,True,False
invoice_process,billing_followup,ready_for_human_billing_followup_review_no_closure,True,record_review_ready_no_closure,open,True,False
tax_review,billing_followup,ready_for_human_billing_followup_review_no_closure,True,record_review_ready_no_closure,open,True,False
refund_policy,billing_followup,ready_for_human_billing_followup_review_no_closure,True,record_review_ready_no_closure,open,True,False
tenant_billing_isolation,billing_followup,ready_for_human_billing_followup_review_no_closure,True,record_review_ready_no_closure,open,True,False
restore_tested,data_operations,ready_for_human_data_operations_profile_review_no_closure,True,record_review_ready_no_closure,open,True,False
production_restore_policy,data_operations,ready_for_human_data_operations_profile_review_no_closure,True,record_review_ready_no_closure,open,True,False
pilot_results,internal_pilot,pass,True,record_internal_pilot_review_ready_no_external_validation_no_closure,open,True,False
