blocker_id,scope_change,source_group,source_status,requested_marker,review_ready_marker_candidate,current_matrix_status,requires_separate_human_scope_confirmation,requires_exact_human_execution_approval_after_scope_confirmation,execution_allowed_by_scope_refresh,closure_allowed_by_scope_refresh
production_identity_provider,add,phase1,ready_for_human_phase1_identity_tenant_review_no_closure,record_review_ready_no_closure,True,open,True,True,False,False
oauth_oidc,add,phase1,ready_for_human_phase1_identity_tenant_review_no_closure,record_review_ready_no_closure,True,open,True,True,False,False
rbac,add,phase1,ready_for_human_phase1_identity_tenant_review_no_closure,record_review_ready_no_closure,True,open,True,True,False,False
tenant_storage_isolation,add,phase1,ready_for_human_phase1_identity_tenant_review_no_closure,record_review_ready_no_closure,True,open,True,True,False,False
support_contact,retain,support,ready_for_separate_matrix_update_request_no_closure,record_review_ready_no_closure,True,open,True,True,False,False
customer_support,retain,support,ready_for_separate_matrix_update_request_no_closure,record_review_ready_no_closure,True,open,True,True,False,False
sla,retain,support,ready_for_separate_matrix_update_request_no_closure,record_review_ready_no_closure,True,open,True,True,False,False
on_call_rotation,retain,support,ready_for_separate_matrix_update_request_no_closure,record_review_ready_no_closure,True,open,True,True,False,False
production_monitoring,add,monitoring,ready_for_human_operations_profile_review_no_closure,record_review_ready_no_closure,True,open,True,True,False,False
external_alert_delivery,add,operations_followup,ready_for_human_operations_followup_review_no_closure,record_review_ready_no_closure,True,open,True,True,False,False
formal_security_review,add,privacy_security_legal,ready_for_human_privacy_security_legal_review_no_closure,record_review_ready_no_closure,True,open,True,True,False,False
privacy_legal_review,add,privacy_security_legal,ready_for_human_privacy_security_legal_review_no_closure,record_review_ready_no_closure,True,open,True,True,False,False
data_processing_agreement,add,privacy_security_legal,ready_for_human_privacy_security_legal_review_no_closure,record_review_ready_no_closure,True,open,True,True,False,False
vulnerability_management,add,privacy_security_legal,ready_for_human_privacy_security_legal_review_no_closure,record_review_ready_no_closure,True,open,True,True,False,False
pricing_page,retain,pricing,ready_for_exact_matrix_update_execution_approval_phrase_no_publication_no_auto_closure,record_review_ready_no_publication_no_closure,True,open,True,True,False,False
payment_provider,add,billing_followup,ready_for_human_billing_followup_review_no_closure,record_review_ready_no_closure,True,open,True,True,False,False
invoice_process,add,billing_followup,ready_for_human_billing_followup_review_no_closure,record_review_ready_no_closure,True,open,True,True,False,False
tax_review,add,billing_followup,ready_for_human_billing_followup_review_no_closure,record_review_ready_no_closure,True,open,True,True,False,False
refund_policy,add,billing_followup,ready_for_human_billing_followup_review_no_closure,record_review_ready_no_closure,True,open,True,True,False,False
tenant_billing_isolation,add,billing_followup,ready_for_human_billing_followup_review_no_closure,record_review_ready_no_closure,True,open,True,True,False,False
restore_tested,add,data_operations,ready_for_human_data_operations_profile_review_no_closure,record_review_ready_no_closure,True,open,True,True,False,False
production_restore_policy,add,data_operations,ready_for_human_data_operations_profile_review_no_closure,record_review_ready_no_closure,True,open,True,True,False,False
pilot_results,add,internal_pilot,pass,record_internal_pilot_review_ready_no_external_validation_no_closure,True,open,True,True,False,False
