input_group,input_key,human_must_fill,codex_may_fill,minimum_required,source_path,notes
first_owner_input,assigned_human_owner,True,False,True,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/first_owner_input.template.json,Required before validator import; does not assign an owner by Codex.
first_owner_input,owner_contact_reference,True,False,True,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/first_owner_input.template.json,Required before validator import; does not assign an owner by Codex.
first_owner_input,target_review_date,True,False,True,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/first_owner_input.template.json,Required before validator import; does not assign an owner by Codex.
first_owner_input,owner_acknowledged_scope,True,False,True,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/first_owner_input.template.json,Required before validator import; does not assign an owner by Codex.
first_owner_input,human_approval_reference,True,False,True,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/first_owner_input.template.json,Required before validator import; does not assign an owner by Codex.
support_contact_decision_metadata,human_reviewer_name,True,False,True,phase_b_product/commercial_readiness/support_evidence/support_contact_decision_input.template.json,Human review metadata for support contact decision input.
support_contact_decision_metadata,review_date,True,False,True,phase_b_product/commercial_readiness/support_evidence/support_contact_decision_input.template.json,Human review metadata for support contact decision input.
support_contact_decision_metadata,selected_support_contact_channel,True,False,True,phase_b_product/commercial_readiness/support_evidence/support_contact_decision_input.template.json,Human review metadata for support contact decision input.
support_contact_decision_metadata,decision_summary,True,False,True,phase_b_product/commercial_readiness/support_evidence/support_contact_decision_input.template.json,Human review metadata for support contact decision input.
support_contact_evidence_review,abuse_handling_path_defined,True,False,True,phase_b_product/commercial_readiness/support_evidence/support_contact_decision_input.template.json,Set true only after human source note and review.
support_contact_evidence_review,customer_facing_support_contact_configured,True,False,True,phase_b_product/commercial_readiness/support_evidence/support_contact_decision_input.template.json,Set true only after human source note and review.
support_contact_evidence_review,customer_notice_route_defined,True,False,True,phase_b_product/commercial_readiness/support_evidence/support_contact_decision_input.template.json,Set true only after human source note and review.
support_contact_evidence_review,support_contact_owner_named,True,False,True,phase_b_product/commercial_readiness/support_evidence/support_contact_decision_input.template.json,Set true only after human source note and review.
support_contact_evidence_review,support_contact_test_recorded,True,False,True,phase_b_product/commercial_readiness/support_evidence/support_contact_decision_input.template.json,Set true only after human source note and review.
support_contact_candidate_slot,support_contact_candidate_a,True,False,True,phase_b_product/commercial_readiness/support_evidence/support_contact_decision_input.template.json,At least one candidate slot must be completed by a human.
support_contact_candidate_slot,support_contact_candidate_b,True,False,False,phase_b_product/commercial_readiness/support_evidence/support_contact_decision_input.template.json,At least one candidate slot must be completed by a human.
