quick_fill_row_id,queue_item_id,workbook_row_id,blocker_id,owner_review_lane,input_group,input_key,input_kind,expected_value_shape,fill_instruction,leave_blank_condition,boundary_warning,actual_value_provided,suggested_value,codex_filled_value,workbook_import_performed,value_transferred,template_written
QF-001,HIQ-001,WB-001,support_contact,support_operations,first_owner_input,assigned_human_owner,support_contact_bridge_field,first-owner coordination field,"Use human-approved owner, contact-reference, target-date, scope-acknowledgement, or approval-reference text.",Do not assign an owner or contact anyone from this guidance layer.,"Do not use this field to claim production readiness, customer validation, launch, private-core exposure, or blocker closure.",False,,False,False,False,False
QF-002,HIQ-002,WB-002,support_contact,support_operations,first_owner_input,owner_contact_reference,support_contact_bridge_field,first-owner coordination field,"Use human-approved owner, contact-reference, target-date, scope-acknowledgement, or approval-reference text.",Do not assign an owner or contact anyone from this guidance layer.,"Do not use this field to claim production readiness, customer validation, launch, private-core exposure, or blocker closure.",False,,False,False,False,False
QF-003,HIQ-003,WB-003,support_contact,support_operations,first_owner_input,target_review_date,support_contact_bridge_field,first-owner coordination field,"Use human-approved owner, contact-reference, target-date, scope-acknowledgement, or approval-reference text.",Do not assign an owner or contact anyone from this guidance layer.,"Do not use this field to claim production readiness, customer validation, launch, private-core exposure, or blocker closure.",False,,False,False,False,False
QF-004,HIQ-004,WB-004,support_contact,support_operations,first_owner_input,owner_acknowledged_scope,support_contact_bridge_field,first-owner coordination field,"Use human-approved owner, contact-reference, target-date, scope-acknowledgement, or approval-reference text.",Do not assign an owner or contact anyone from this guidance layer.,"Do not use this field to claim production readiness, customer validation, launch, private-core exposure, or blocker closure.",False,,False,False,False,False
QF-005,HIQ-005,WB-005,support_contact,support_operations,first_owner_input,human_approval_reference,support_contact_bridge_field,first-owner coordination field,"Use human-approved owner, contact-reference, target-date, scope-acknowledgement, or approval-reference text.",Do not assign an owner or contact anyone from this guidance layer.,"Do not use this field to claim production readiness, customer validation, launch, private-core exposure, or blocker closure.",False,,False,False,False,False
QF-006,HIQ-006,WB-006,support_contact,support_operations,support_contact_decision_metadata,human_reviewer_name,support_contact_bridge_field,support-contact decision metadata,Use human-reviewed support-contact decision metadata.,Do not publish support contact details from this guidance layer.,"Do not use this field to claim production readiness, customer validation, launch, private-core exposure, or blocker closure.",False,,False,False,False,False
QF-007,HIQ-007,WB-007,support_contact,support_operations,support_contact_decision_metadata,review_date,support_contact_bridge_field,support-contact decision metadata,Use human-reviewed support-contact decision metadata.,Do not publish support contact details from this guidance layer.,"Do not use this field to claim production readiness, customer validation, launch, private-core exposure, or blocker closure.",False,,False,False,False,False
QF-008,HIQ-008,WB-008,support_contact,support_operations,support_contact_decision_metadata,selected_support_contact_channel,support_contact_bridge_field,support-contact decision metadata,Use human-reviewed support-contact decision metadata.,Do not publish support contact details from this guidance layer.,"Do not use this field to claim production readiness, customer validation, launch, private-core exposure, or blocker closure.",False,,False,False,False,False
QF-009,HIQ-009,WB-009,support_contact,support_operations,support_contact_decision_metadata,decision_summary,support_contact_bridge_field,support-contact decision metadata,Use human-reviewed support-contact decision metadata.,Do not publish support contact details from this guidance layer.,"Do not use this field to claim production readiness, customer validation, launch, private-core exposure, or blocker closure.",False,,False,False,False,False
QF-010,HIQ-010,WB-010,support_contact,support_operations,support_contact_evidence_review,abuse_handling_path_defined,support_contact_bridge_field,support-contact bridge value,Use human-reviewed support-contact bridge input.,Leave blank if the support owner has not approved it.,"Do not use this field to claim production readiness, customer validation, launch, private-core exposure, or blocker closure.",False,,False,False,False,False
