quick_fill_row_id,blocker_id,value_applied,source_status,value_imported_to_workbook,value_transferred,template_written
QF-001,support_contact,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-002,support_contact,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-003,support_contact,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-004,support_contact,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-005,support_contact,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-006,support_contact,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-007,support_contact,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-008,support_contact,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-009,support_contact,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-010,support_contact,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-011,support_contact,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-012,support_contact,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-013,support_contact,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-014,support_contact,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-015,support_contact,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-016,pricing_page,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-017,pricing_page,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-018,pricing_page,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-019,pricing_page,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-020,pricing_page,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-021,pricing_page,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-022,pricing_page,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-023,pricing_page,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-024,pricing_page,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-025,pricing_page,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-026,pricing_page,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-027,pricing_page,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-028,pricing_page,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-029,pricing_page,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-030,formal_security_review,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-031,formal_security_review,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-032,formal_security_review,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-033,formal_security_review,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-034,formal_security_review,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-035,formal_security_review,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-036,formal_security_review,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-037,formal_security_review,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-038,formal_security_review,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-039,formal_security_review,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-040,formal_security_review,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-041,formal_security_review,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-042,production_restore_policy,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-043,production_restore_policy,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-044,production_restore_policy,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-045,production_restore_policy,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-046,production_restore_policy,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-047,production_restore_policy,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-048,production_restore_policy,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-049,production_restore_policy,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-050,production_restore_policy,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-051,production_restore_policy,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-052,production_restore_policy,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-053,production_restore_policy,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-054,production_restore_policy,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-055,production_monitoring,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-056,production_monitoring,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-057,production_monitoring,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-058,production_monitoring,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-059,production_monitoring,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-060,production_monitoring,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-061,production_monitoring,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-062,production_monitoring,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-063,production_monitoring,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
QF-064,production_monitoring,True,human_confirmed_value_present_pending_safety_preflight,False,False,False
