phase_4_record_id,source_collection_record_id,priority_rank,priority_tier,blocker_id,evidence_file_type,evidence_key,gap_status,local_public_shell_value,production_evidence_missing,owner_review_lane,human_fill_status,human_evidence_value,human_source_note,accepted_for_blocker_closure,execution_authorized,evidence_collection_authorized,required_human_action
P4-ECP-001,ECP-106,1,missing_production_evidence,pricing_page,production_billing_revenue_evidence,approved_plan_and_usage_terms,missing_external_or_human_production_evidence,False,True,commercial_finance_legal,not_started,,,False,False,False,"Provide source-backed commercial, finance, legal, payment, invoice, tax, refund, or tenant-billing evidence and a reviewer note; do not mark accepted for closure without a separate human approval."
P4-ECP-002,ECP-105,2,missing_production_evidence,pricing_page,production_billing_revenue_evidence,human_approved_pricing_page_copy,missing_external_or_human_production_evidence,False,True,commercial_finance_legal,not_started,,,False,False,False,"Provide source-backed commercial, finance, legal, payment, invoice, tax, refund, or tenant-billing evidence and a reviewer note; do not mark accepted for closure without a separate human approval."
P4-ECP-003,ECP-107,3,missing_production_evidence,pricing_page,production_billing_revenue_evidence,legal_review_completed,missing_external_or_human_production_evidence,False,True,commercial_finance_legal,not_started,,,False,False,False,"Provide source-backed commercial, finance, legal, payment, invoice, tax, refund, or tenant-billing evidence and a reviewer note; do not mark accepted for closure without a separate human approval."
P4-ECP-004,ECP-109,4,missing_production_evidence,pricing_page,production_billing_revenue_evidence,pricing_page_publication_approval_recorded,missing_external_or_human_production_evidence,False,True,commercial_finance_legal,not_started,,,False,False,False,"Provide source-backed commercial, finance, legal, payment, invoice, tax, refund, or tenant-billing evidence and a reviewer note; do not mark accepted for closure without a separate human approval."
P4-ECP-005,ECP-108,5,local_public_shell_requires_human_approval,pricing_page,production_billing_revenue_evidence,production_readiness_non_claim_reviewed,local_public_shell_evidence_present_requires_human_production_approval,True,False,commercial_finance_legal,not_started,,,False,False,False,"Provide source-backed commercial, finance, legal, payment, invoice, tax, refund, or tenant-billing evidence and a reviewer note; do not mark accepted for closure without a separate human approval."
P4-ECP-006,ECP-114,6,missing_production_evidence,payment_provider,production_billing_revenue_evidence,payment_event_redaction_reviewed,missing_external_or_human_production_evidence,False,True,commercial_finance_legal,not_started,,,False,False,False,"Provide source-backed commercial, finance, legal, payment, invoice, tax, refund, or tenant-billing evidence and a reviewer note; do not mark accepted for closure without a separate human approval."
P4-ECP-007,ECP-110,7,missing_production_evidence,payment_provider,production_billing_revenue_evidence,payment_provider_selected,missing_external_or_human_production_evidence,False,True,commercial_finance_legal,not_started,,,False,False,False,"Provide source-backed commercial, finance, legal, payment, invoice, tax, refund, or tenant-billing evidence and a reviewer note; do not mark accepted for closure without a separate human approval."
P4-ECP-008,ECP-115,8,missing_production_evidence,payment_provider,production_billing_revenue_evidence,security_review_completed,missing_external_or_human_production_evidence,False,True,commercial_finance_legal,not_started,,,False,False,False,"Provide source-backed commercial, finance, legal, payment, invoice, tax, refund, or tenant-billing evidence and a reviewer note; do not mark accepted for closure without a separate human approval."
P4-ECP-009,ECP-111,9,missing_production_evidence,payment_provider,production_billing_revenue_evidence,test_mode_configuration_reviewed,missing_external_or_human_production_evidence,False,True,commercial_finance_legal,not_started,,,False,False,False,"Provide source-backed commercial, finance, legal, payment, invoice, tax, refund, or tenant-billing evidence and a reviewer note; do not mark accepted for closure without a separate human approval."
P4-ECP-010,ECP-113,10,missing_production_evidence,payment_provider,production_billing_revenue_evidence,webhook_signature_validation_tested,missing_external_or_human_production_evidence,False,True,commercial_finance_legal,not_started,,,False,False,False,"Provide source-backed commercial, finance, legal, payment, invoice, tax, refund, or tenant-billing evidence and a reviewer note; do not mark accepted for closure without a separate human approval."
P4-ECP-011,ECP-112,11,local_public_shell_requires_human_approval,payment_provider,production_billing_revenue_evidence,checkout_enablement_approval_required,local_public_shell_evidence_present_requires_human_production_approval,True,False,commercial_finance_legal,not_started,,,False,False,False,"Provide source-backed commercial, finance, legal, payment, invoice, tax, refund, or tenant-billing evidence and a reviewer note; do not mark accepted for closure without a separate human approval."
P4-ECP-012,ECP-120,12,missing_production_evidence,invoice_process,production_billing_revenue_evidence,billing_support_handoff_defined,missing_external_or_human_production_evidence,False,True,commercial_finance_legal,not_started,,,False,False,False,"Provide source-backed commercial, finance, legal, payment, invoice, tax, refund, or tenant-billing evidence and a reviewer note; do not mark accepted for closure without a separate human approval."
P4-ECP-013,ECP-121,13,missing_production_evidence,invoice_process,production_billing_revenue_evidence,bookkeeping_review_completed,missing_external_or_human_production_evidence,False,True,commercial_finance_legal,not_started,,,False,False,False,"Provide source-backed commercial, finance, legal, payment, invoice, tax, refund, or tenant-billing evidence and a reviewer note; do not mark accepted for closure without a separate human approval."
P4-ECP-014,ECP-118,14,missing_production_evidence,invoice_process,production_billing_revenue_evidence,contract_handoff_defined,missing_external_or_human_production_evidence,False,True,commercial_finance_legal,not_started,,,False,False,False,"Provide source-backed commercial, finance, legal, payment, invoice, tax, refund, or tenant-billing evidence and a reviewer note; do not mark accepted for closure without a separate human approval."
P4-ECP-015,ECP-116,15,missing_production_evidence,invoice_process,production_billing_revenue_evidence,invoice_owner_named,missing_external_or_human_production_evidence,False,True,commercial_finance_legal,not_started,,,False,False,False,"Provide source-backed commercial, finance, legal, payment, invoice, tax, refund, or tenant-billing evidence and a reviewer note; do not mark accepted for closure without a separate human approval."
P4-ECP-016,ECP-117,16,missing_production_evidence,invoice_process,production_billing_revenue_evidence,invoice_workflow_approved,missing_external_or_human_production_evidence,False,True,commercial_finance_legal,not_started,,,False,False,False,"Provide source-backed commercial, finance, legal, payment, invoice, tax, refund, or tenant-billing evidence and a reviewer note; do not mark accepted for closure without a separate human approval."
P4-ECP-017,ECP-119,17,missing_production_evidence,invoice_process,production_billing_revenue_evidence,payment_reconciliation_tested,missing_external_or_human_production_evidence,False,True,commercial_finance_legal,not_started,,,False,False,False,"Provide source-backed commercial, finance, legal, payment, invoice, tax, refund, or tenant-billing evidence and a reviewer note; do not mark accepted for closure without a separate human approval."
P4-ECP-018,ECP-125,18,missing_production_evidence,tax_review,production_billing_revenue_evidence,currency_policy_approved,missing_external_or_human_production_evidence,False,True,commercial_finance_legal,not_started,,,False,False,False,"Provide source-backed commercial, finance, legal, payment, invoice, tax, refund, or tenant-billing evidence and a reviewer note; do not mark accepted for closure without a separate human approval."
P4-ECP-019,ECP-124,19,missing_production_evidence,tax_review,production_billing_revenue_evidence,invoice_wording_approved,missing_external_or_human_production_evidence,False,True,commercial_finance_legal,not_started,,,False,False,False,"Provide source-backed commercial, finance, legal, payment, invoice, tax, refund, or tenant-billing evidence and a reviewer note; do not mark accepted for closure without a separate human approval."
P4-ECP-020,ECP-122,20,missing_production_evidence,tax_review,production_billing_revenue_evidence,target_jurisdictions_reviewed,missing_external_or_human_production_evidence,False,True,commercial_finance_legal,not_started,,,False,False,False,"Provide source-backed commercial, finance, legal, payment, invoice, tax, refund, or tenant-billing evidence and a reviewer note; do not mark accepted for closure without a separate human approval."
P4-ECP-021,ECP-126,21,missing_production_evidence,tax_review,production_billing_revenue_evidence,tax_collection_approval_recorded,missing_external_or_human_production_evidence,False,True,commercial_finance_legal,not_started,,,False,False,False,"Provide source-backed commercial, finance, legal, payment, invoice, tax, refund, or tenant-billing evidence and a reviewer note; do not mark accepted for closure without a separate human approval."
P4-ECP-022,ECP-123,22,missing_production_evidence,tax_review,production_billing_revenue_evidence,tax_obligations_reviewed,missing_external_or_human_production_evidence,False,True,commercial_finance_legal,not_started,,,False,False,False,"Provide source-backed commercial, finance, legal, payment, invoice, tax, refund, or tenant-billing evidence and a reviewer note; do not mark accepted for closure without a separate human approval."
P4-ECP-023,ECP-128,23,missing_production_evidence,refund_policy,production_billing_revenue_evidence,cancellation_process_approved,missing_external_or_human_production_evidence,False,True,commercial_finance_legal,not_started,,,False,False,False,"Provide source-backed commercial, finance, legal, payment, invoice, tax, refund, or tenant-billing evidence and a reviewer note; do not mark accepted for closure without a separate human approval."
P4-ECP-024,ECP-127,24,missing_production_evidence,refund_policy,production_billing_revenue_evidence,refund_policy_approved,missing_external_or_human_production_evidence,False,True,commercial_finance_legal,not_started,,,False,False,False,"Provide source-backed commercial, finance, legal, payment, invoice, tax, refund, or tenant-billing evidence and a reviewer note; do not mark accepted for closure without a separate human approval."
P4-ECP-025,ECP-130,25,missing_production_evidence,refund_policy,production_billing_revenue_evidence,service_failure_remedy_boundary_approved,missing_external_or_human_production_evidence,False,True,commercial_finance_legal,not_started,,,False,False,False,"Provide source-backed commercial, finance, legal, payment, invoice, tax, refund, or tenant-billing evidence and a reviewer note; do not mark accepted for closure without a separate human approval."
P4-ECP-026,ECP-131,26,missing_production_evidence,refund_policy,production_billing_revenue_evidence,support_escalation_route_defined,missing_external_or_human_production_evidence,False,True,commercial_finance_legal,not_started,,,False,False,False,"Provide source-backed commercial, finance, legal, payment, invoice, tax, refund, or tenant-billing evidence and a reviewer note; do not mark accepted for closure without a separate human approval."
P4-ECP-027,ECP-129,27,missing_production_evidence,refund_policy,production_billing_revenue_evidence,trial_conversion_policy_approved,missing_external_or_human_production_evidence,False,True,commercial_finance_legal,not_started,,,False,False,False,"Provide source-backed commercial, finance, legal, payment, invoice, tax, refund, or tenant-billing evidence and a reviewer note; do not mark accepted for closure without a separate human approval."
