worksheet_row_id,quick_fill_row_id,queue_item_id,workbook_row_id,blocker_id,owner_review_lane,input_group,input_key,input_kind,human_fill_prompt,expected_value_shape,fill_instruction,leave_blank_condition,boundary_warning,target_json_pointer,human_value_to_enter,notes_for_human,worksheet_status,codex_filled_value,workbook_import_performed,validators_run_on_real_input,evidence_collection_authorized,execution_authorized
QFW-001,QF-001,HIQ-001,WB-001,support_contact,support_operations,first_owner_input,assigned_human_owner,support_contact_bridge_field,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,first-owner coordination field,"Use human-approved owner, contact-reference, target-date, scope-acknowledgement, or approval-reference text.",Do not assign an owner or contact anyone from this guidance layer.,"Do not use this field to claim production readiness, customer validation, launch, private-core exposure, or blocker closure.",/first_owner_input/assigned_human_owner,张斌,human-confirmed value copied from complete local preview; pending safety preflight and separate workbook import approval,human_value_present_unvalidated,False,False,False,False,False
QFW-002,QF-002,HIQ-002,WB-002,support_contact,support_operations,first_owner_input,owner_contact_reference,support_contact_bridge_field,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,first-owner coordination field,"Use human-approved owner, contact-reference, target-date, scope-acknowledgement, or approval-reference text.",Do not assign an owner or contact anyone from this guidance layer.,"Do not use this field to claim production readiness, customer validation, launch, private-core exposure, or blocker closure.",/first_owner_input/owner_contact_reference,contact reference：负责人邮箱已由本地人工记录保管；发布前单独确认。,human-confirmed value copied from complete local preview; pending safety preflight and separate workbook import approval,human_value_present_unvalidated,False,False,False,False,False
QFW-003,QF-003,HIQ-003,WB-003,support_contact,support_operations,first_owner_input,target_review_date,support_contact_bridge_field,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,first-owner coordination field,"Use human-approved owner, contact-reference, target-date, scope-acknowledgement, or approval-reference text.",Do not assign an owner or contact anyone from this guidance layer.,"Do not use this field to claim production readiness, customer validation, launch, private-core exposure, or blocker closure.",/first_owner_input/target_review_date,2026-07-10,human-confirmed value copied from complete local preview; pending safety preflight and separate workbook import approval,human_value_present_unvalidated,False,False,False,False,False
QFW-004,QF-004,HIQ-004,WB-004,support_contact,support_operations,first_owner_input,owner_acknowledged_scope,support_contact_bridge_field,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,first-owner coordination field,"Use human-approved owner, contact-reference, target-date, scope-acknowledgement, or approval-reference text.",Do not assign an owner or contact anyone from this guidance layer.,"Do not use this field to claim production readiness, customer validation, launch, private-core exposure, or blocker closure.",/first_owner_input/owner_acknowledged_scope,是：scope review 本人确认只进行支持入口审查；不代表产品正式上线。,human-confirmed value copied from complete local preview; pending safety preflight and separate workbook import approval,human_value_present_unvalidated,False,False,False,False,False
QFW-005,QF-005,HIQ-005,WB-005,support_contact,support_operations,first_owner_input,human_approval_reference,support_contact_bridge_field,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,first-owner coordination field,"Use human-approved owner, contact-reference, target-date, scope-acknowledgement, or approval-reference text.",Do not assign an owner or contact anyone from this guidance layer.,"Do not use this field to claim production readiness, customer validation, launch, private-core exposure, or blocker closure.",/first_owner_input/human_approval_reference,approval reference：本轮 Codex 对话中用户确认全部按推荐确认；仅授权本地证据输入记录。,human-confirmed value copied from complete local preview; pending safety preflight and separate workbook import approval,human_value_present_unvalidated,False,False,False,False,False
QFW-006,QF-006,HIQ-006,WB-006,support_contact,support_operations,support_contact_decision_metadata,human_reviewer_name,support_contact_bridge_field,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,support-contact decision metadata,Use human-reviewed support-contact decision metadata.,Do not publish support contact details from this guidance layer.,"Do not use this field to claim production readiness, customer validation, launch, private-core exposure, or blocker closure.",/support_contact_decision_input/human_reviewer_name,张斌,human-confirmed value copied from complete local preview; pending safety preflight and separate workbook import approval,human_value_present_unvalidated,False,False,False,False,False
QFW-007,QF-007,HIQ-007,WB-007,support_contact,support_operations,support_contact_decision_metadata,review_date,support_contact_bridge_field,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,support-contact decision metadata,Use human-reviewed support-contact decision metadata.,Do not publish support contact details from this guidance layer.,"Do not use this field to claim production readiness, customer validation, launch, private-core exposure, or blocker closure.",/support_contact_decision_input/review_date,2026-07-09,human-confirmed value copied from complete local preview; pending safety preflight and separate workbook import approval,human_value_present_unvalidated,False,False,False,False,False
QFW-008,QF-008,HIQ-008,WB-008,support_contact,support_operations,support_contact_decision_metadata,selected_support_contact_channel,support_contact_bridge_field,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,support-contact decision metadata,Use human-reviewed support-contact decision metadata.,Do not publish support contact details from this guidance layer.,"Do not use this field to claim production readiness, customer validation, launch, private-core exposure, or blocker closure.",/support_contact_decision_input/selected_support_contact_channel,channel decision：暂定邮箱支持入口；发布前仍需单独人工确认公开地址。,human-confirmed value copied from complete local preview; pending safety preflight and separate workbook import approval,human_value_present_unvalidated,False,False,False,False,False
QFW-009,QF-009,HIQ-009,WB-009,support_contact,support_operations,support_contact_decision_metadata,decision_summary,support_contact_bridge_field,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,support-contact decision metadata,Use human-reviewed support-contact decision metadata.,Do not publish support contact details from this guidance layer.,"Do not use this field to claim production readiness, customer validation, launch, private-core exposure, or blocker closure.",/support_contact_decision_input/decision_summary,decision summary：暂定使用邮箱作为后续支持入口候选；当前只记录审查决策；不代表已对客户开放。,human-confirmed value copied from complete local preview; pending safety preflight and separate workbook import approval,human_value_present_unvalidated,False,False,False,False,False
QFW-010,QF-010,HIQ-010,WB-010,support_contact,support_operations,support_contact_evidence_review,abuse_handling_path_defined,support_contact_bridge_field,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,support-contact bridge value,Use human-reviewed support-contact bridge input.,Leave blank if the support owner has not approved it.,"Do not use this field to claim production readiness, customer validation, launch, private-core exposure, or blocker closure.",/support_contact_decision_input/evidence_review/abuse_handling_path_defined,否：滥用或异常请求处理路径尚未人工确认。,human-confirmed value copied from complete local preview; pending safety preflight and separate workbook import approval,human_value_present_unvalidated,False,False,False,False,False
