blocker_id,evidence_file_type,evidence_key,local_public_shell_value,accepted_for_blocker_closure,gap_status,external_dependency_required,human_review_required,notes
support_contact,production_support_sla_evidence,customer_facing_support_contact_configured,False,False,missing_external_or_human_production_evidence,True,True,Production-grade external or human-approved evidence is still missing.
support_contact,production_support_sla_evidence,support_contact_owner_named,False,False,missing_external_or_human_production_evidence,True,True,Production-grade external or human-approved evidence is still missing.
support_contact,production_support_sla_evidence,support_contact_test_recorded,False,False,missing_external_or_human_production_evidence,True,True,Production-grade external or human-approved evidence is still missing.
support_contact,production_support_sla_evidence,abuse_handling_path_defined,False,False,missing_external_or_human_production_evidence,True,True,Production-grade external or human-approved evidence is still missing.
support_contact,production_support_sla_evidence,customer_notice_route_defined,False,False,missing_external_or_human_production_evidence,True,True,Production-grade external or human-approved evidence is still missing.
customer_support,production_support_sla_evidence,staffed_support_process_defined,False,False,missing_external_or_human_production_evidence,True,True,Production-grade external or human-approved evidence is still missing.
customer_support,production_support_sla_evidence,case_triage_workflow_defined,True,False,local_public_shell_evidence_present_requires_human_production_approval,True,True,Local evidence is review input only; it does not close the production blocker.
customer_support,production_support_sla_evidence,customer_communication_template_approved,False,False,missing_external_or_human_production_evidence,True,True,Production-grade external or human-approved evidence is still missing.
customer_support,production_support_sla_evidence,support_case_audit_trail_available,True,False,local_public_shell_evidence_present_requires_human_production_approval,True,True,Local evidence is review input only; it does not close the production blocker.
customer_support,production_support_sla_evidence,handoff_to_engineering_defined,True,False,local_public_shell_evidence_present_requires_human_production_approval,True,True,Local evidence is review input only; it does not close the production blocker.
sla,production_support_sla_evidence,human_approved_sla_terms,False,False,missing_external_or_human_production_evidence,True,True,Production-grade external or human-approved evidence is still missing.
sla,production_support_sla_evidence,support_hours_approved,False,False,missing_external_or_human_production_evidence,True,True,Production-grade external or human-approved evidence is still missing.
sla,production_support_sla_evidence,response_targets_approved,False,False,missing_external_or_human_production_evidence,True,True,Production-grade external or human-approved evidence is still missing.
sla,production_support_sla_evidence,severity_definitions_approved,False,False,missing_external_or_human_production_evidence,True,True,Production-grade external or human-approved evidence is still missing.
sla,production_support_sla_evidence,exclusions_approved,False,False,missing_external_or_human_production_evidence,True,True,Production-grade external or human-approved evidence is still missing.
sla,production_support_sla_evidence,legal_review_completed,False,False,missing_external_or_human_production_evidence,True,True,Production-grade external or human-approved evidence is still missing.
formal_security_review,production_privacy_security_legal_evidence,formal_security_review_report,False,False,missing_external_or_human_production_evidence,True,True,Production-grade external or human-approved evidence is still missing.
formal_security_review,production_privacy_security_legal_evidence,public_shell_threat_model_reviewed,True,False,local_public_shell_evidence_present_requires_human_production_approval,True,True,Local evidence is review input only; it does not close the production blocker.
formal_security_review,production_privacy_security_legal_evidence,dependency_review_completed,False,False,missing_external_or_human_production_evidence,True,True,Production-grade external or human-approved evidence is still missing.
formal_security_review,production_privacy_security_legal_evidence,auth_and_tenant_boundary_reviewed,True,False,local_public_shell_evidence_present_requires_human_production_approval,True,True,Local evidence is review input only; it does not close the production blocker.
formal_security_review,production_privacy_security_legal_evidence,storage_backup_and_restore_reviewed,True,False,local_public_shell_evidence_present_requires_human_production_approval,True,True,Local evidence is review input only; it does not close the production blocker.
formal_security_review,production_privacy_security_legal_evidence,review_findings_triaged,False,False,missing_external_or_human_production_evidence,True,True,Production-grade external or human-approved evidence is still missing.
privacy_legal_review,production_privacy_security_legal_evidence,privacy_notice_approved,False,False,missing_external_or_human_production_evidence,True,True,Production-grade external or human-approved evidence is still missing.
privacy_legal_review,production_privacy_security_legal_evidence,privacy_notice_published,False,False,missing_external_or_human_production_evidence,True,True,Production-grade external or human-approved evidence is still missing.
