rank,blocker_id,priority_tier,category,status,owner_review_lane,local_completion_checks_passed,local_completion_checks_total,engineering_implementation_required,external_dependency_required,human_approval_required,requires_separate_execution_request,closure_allowed,execution_allowed,evidence_collection_allowed,required_evidence,recommended_human_action
1,support_contact,validators_passed_pending_evidence_builder_request,support,open,support_operations,0,4,False,True,True,True,False,False,False,"Customer-facing support intake contact, ownership, response procedure, and abuse handling.",Review the passed local validator state and decide whether to authorize a separate documentation/evidence-builder execution request. Do not collect evidence or close blockers automatically.
2,pricing_page,active_sprint_selected,billing,open,commercial_finance_legal,0,6,False,True,True,True,False,False,False,Human-approved public pricing or packaging page with current commercial terms.,Review the pricing-page evidence packet and decide whether a human-approved public pricing draft is appropriate.
3,formal_security_review,active_sprint_selected,privacy_security,open,security_legal_privacy,0,4,False,True,True,True,False,False,False,"Completed security review report covering public shell, deployment, data, and access control.",Assign a human owner to prepare the formal security review scope without contacting external reviewers automatically.
4,production_restore_policy,active_sprint_selected,data_ops,open,data_operations,1,2,True,False,True,True,False,False,False,Approved production restore policy with RPO/RTO targets and drill cadence.,Review the production restore policy evidence requirements and decide whether a separate policy execution request is warranted.
5,production_monitoring,active_sprint_selected,operations,open,operations_engineering,0,3,True,True,True,True,False,False,False,"Production metrics, dashboard, retention, alert review, and incident linkage evidence.",Review production monitoring evidence requirements without configuring external monitoring or alert delivery.
6,production_identity_provider,open_backlog,auth,open,engineering_security,0,3,True,True,True,True,False,False,False,"Production identity-provider configuration, security review, and operator runbook.",Create a separate human-approved evidence task for this blocker; do not close it from the gap matrix.
7,oauth_oidc,open_backlog,auth,open,engineering_security,0,3,True,True,True,True,False,False,False,"OIDC issuer, client, callback, token validation, and logout behavior evidence.",Create a separate human-approved evidence task for this blocker; do not close it from the gap matrix.
8,rbac,open_backlog,auth,open,engineering_security,0,3,True,False,True,True,False,False,False,"Role model, permission matrix, enforcement tests, and admin recovery process.",Create a separate human-approved evidence task for this blocker; do not close it from the gap matrix.
9,tenant_storage_isolation,open_backlog,tenant,open,engineering_data_security,3,4,True,False,True,True,False,False,False,"Tenant-isolated storage design, migration proof, and cross-tenant isolation tests.",Create a separate human-approved evidence task for this blocker; do not close it from the gap matrix.
10,external_alert_delivery,open_backlog,operations,open,operations_engineering,0,3,True,True,True,True,False,False,False,"External alert destination, escalation route, delivery test, and failure handling evidence.",Create a separate human-approved evidence task for this blocker; do not close it from the gap matrix.
11,on_call_rotation,open_backlog,operations,open,operations_engineering,0,3,False,True,True,True,False,False,False,"Named on-call process, escalation schedule, handoff rules, and coverage evidence.",Create a separate human-approved evidence task for this blocker; do not close it from the gap matrix.
12,sla,open_backlog,support,open,support_operations,0,4,False,True,True,True,False,False,False,"Human-approved SLA terms, exclusions, support hours, and response target approval.",Create a separate human-approved evidence task for this blocker; do not close it from the gap matrix.
13,customer_support,open_backlog,support,open,support_operations,0,4,False,True,True,True,False,False,False,"Staffed support process, triage workflow, customer communication template, and audit trail.",Create a separate human-approved evidence task for this blocker; do not close it from the gap matrix.
14,privacy_legal_review,open_backlog,privacy_security,open,security_legal_privacy,0,4,False,True,True,True,False,False,False,"Completed legal privacy review for collected data, processors, notices, and retention.",Create a separate human-approved evidence task for this blocker; do not close it from the gap matrix.
15,data_processing_agreement,open_backlog,privacy_security,open,security_legal_privacy,0,4,False,True,True,True,False,False,False,Approved DPA or equivalent customer data-processing agreement ready for use.,Create a separate human-approved evidence task for this blocker; do not close it from the gap matrix.
16,vulnerability_management,open_backlog,privacy_security,open,security_legal_privacy,0,4,False,True,True,True,False,False,False,"Vulnerability disclosure policy, triage process, remediation targets, and security contact.",Create a separate human-approved evidence task for this blocker; do not close it from the gap matrix.
17,pilot_results,open_backlog,validation,open,customer_validation,0,5,False,True,True,True,False,False,False,"Recorded pilot sessions, user feedback, failure notes, and permission to use evidence.",Create a separate human-approved evidence task for this blocker; do not close it from the gap matrix.
18,customer_validated,open_backlog,validation,open,customer_validation,0,5,False,True,True,True,False,False,False,Real customer validation evidence reviewed and approved for use in product claims.,Create a separate human-approved evidence task for this blocker; do not close it from the gap matrix.
19,payment_provider,open_backlog,billing,open,commercial_finance_legal,0,6,False,True,True,True,False,False,False,Configured payment provider in the intended environment with checkout disabled until approval.,Create a separate human-approved evidence task for this blocker; do not close it from the gap matrix.
20,invoice_process,open_backlog,billing,open,commercial_finance_legal,0,6,False,True,True,True,False,False,False,"Invoice workflow, contract handoff, bookkeeping process, and payment reconciliation evidence.",Create a separate human-approved evidence task for this blocker; do not close it from the gap matrix.
21,tax_review,open_backlog,billing,open,commercial_finance_legal,0,6,False,True,True,True,False,False,False,"Tax review for target jurisdictions, invoice wording, and payment collection process.",Create a separate human-approved evidence task for this blocker; do not close it from the gap matrix.
22,refund_policy,open_backlog,billing,open,commercial_finance_legal,0,6,False,True,True,True,False,False,False,Human-approved refund/cancellation policy connected to payment and support processes.,Create a separate human-approved evidence task for this blocker; do not close it from the gap matrix.
23,tenant_billing_isolation,open_backlog,billing,open,commercial_finance_legal,0,6,True,False,True,True,False,False,False,"Tenant-aware billing records, invoice partitioning, and payment-event isolation evidence.",Create a separate human-approved evidence task for this blocker; do not close it from the gap matrix.
24,restore_tested,open_backlog,data_ops,open,data_operations,1,2,True,False,True,True,False,False,False,"Successful restore test with manifest, scope, non-live path proof, and operator review.",Create a separate human-approved evidence task for this blocker; do not close it from the gap matrix.
