quick_fill_row_id,blocker_id,input_key,draft_status,closure_effect,recommended_value
QF-029,pricing_page,pricing_page_publication_approval_recorded,recommended_hold,keeps_blocker_open,否：定价页面公开发布批准尚未记录；当前保持非公开草案。
QF-030,formal_security_review,auth_and_tenant_boundary_reviewed,recommended_hold,keeps_blocker_open,暂缓：认证与租户边界需要独立安全审查；不得视为已完成。
QF-031,formal_security_review,dependency_review_completed,recommended_hold,keeps_blocker_open,否：依赖安全审查尚未完成。
QF-032,formal_security_review,formal_security_review_report,recommended_hold,keeps_blocker_open,暂缺：正式安全审查报告尚未形成。
QF-033,formal_security_review,private_core_non_exposure_review_completed,recommended_boundary_safe,none,是（本地边界检查）：当前公开材料未包含私有核心；正式安全审查仍待完成。
QF-034,formal_security_review,public_shell_threat_model_reviewed,recommended_hold,keeps_blocker_open,暂缓：公开壳威胁模型可继续审查，但尚未正式签署完成。
QF-035,formal_security_review,review_findings_triaged,recommended_hold,keeps_blocker_open,否：安全审查发现项尚未形成，也未完成分级处理。
QF-036,formal_security_review,storage_backup_and_restore_reviewed,recommended_hold,keeps_blocker_open,暂缓：本地备份与恢复检查存在，但生产级安全审查尚未完成。
QF-037,formal_security_review,human_reviewer_name,recommended_metadata,none,张斌
QF-038,formal_security_review,review_date,recommended_metadata,none,2026-07-09
QF-039,formal_security_review,security_review_owner,recommended_metadata_hold,none,张斌（临时安全审查负责人；正式生产前仍需独立复核）
QF-040,formal_security_review,report_reference,recommended_hold,keeps_blocker_open,暂缺：正式安全审查报告编号待生成。
QF-041,formal_security_review,decision_summary,recommended_boundary_safe,none,decision summary：正式安全审查保持暂缓；当前仅确认公开材料不得暴露私有核心，不能声称生产可用。
QF-042,production_restore_policy,human_reviewer_name,recommended_metadata,none,张斌
QF-043,production_restore_policy,review_date,recommended_metadata,none,2026-07-09
QF-044,production_restore_policy,data_operations_owner,recommended_metadata_hold,none,张斌（临时数据运维负责人；正式生产前仍需确认）
QF-045,production_restore_policy,security_owner,recommended_hold,keeps_blocker_open,暂缺：安全负责人待指定。
QF-046,production_restore_policy,privacy_legal_owner,recommended_hold,keeps_blocker_open,暂缺：隐私/法律负责人待指定。
QF-047,production_restore_policy,incident_response_owner,recommended_hold,keeps_blocker_open,暂缺：事故响应负责人待指定。
QF-048,production_restore_policy,decision_summary,recommended_boundary_safe,none,decision summary：恢复策略保持本地草案；未进行 live restore，未启用生产恢复路径。
QF-049,production_restore_policy,backup_retention_policy_approved,recommended_hold,keeps_blocker_open,暂缓：备份保留策略尚未正式批准。
QF-050,production_restore_policy,credential_secret_exclusion_reviewed,recommended_boundary_safe,none,是（边界要求）：恢复材料不得包含凭证或 secrets；正式审查仍待完成。
QF-051,production_restore_policy,customer_notification_boundary_approved,recommended_hold,keeps_blocker_open,否：客户通知边界尚未批准；当前也未联系客户。
QF-052,production_restore_policy,incident_response_handoff_approved,recommended_hold,keeps_blocker_open,否：事故响应交接尚未批准。
QF-053,production_restore_policy,production_restore_policy_approved,recommended_hold,keeps_blocker_open,否：生产恢复策略尚未批准。
QF-054,production_restore_policy,tenant_restore_boundary_approved,recommended_hold,keeps_blocker_open,暂缓：租户恢复边界尚未批准，需在多租户生产策略确认后复核。
QF-055,production_monitoring,human_reviewer_name,recommended_metadata,none,张斌
QF-056,production_monitoring,review_date,recommended_metadata,none,2026-07-09
QF-057,production_monitoring,monitoring_owner,recommended_metadata_hold,none,张斌（临时监控负责人；正式生产前仍需确认）
QF-058,production_monitoring,operations_reviewer_name,recommended_metadata_hold,none,张斌（临时运维审查人；正式生产前仍需独立复核）
QF-059,production_monitoring,decision_summary,recommended_boundary_safe,none,decision summary：生产监控仍未启用；当前仅保留本地检查与非生产说明。
QF-060,production_monitoring,log_retention_reviewed,recommended_hold,keeps_blocker_open,暂缓：日志保留策略尚未正式审查。
QF-061,production_monitoring,metrics_coverage_approved,recommended_hold,keeps_blocker_open,否：生产指标覆盖尚未批准。
QF-062,production_monitoring,monitoring_dry_run_recorded,recommended_hold,keeps_blocker_open,否：生产监控 dry run 尚未记录；本地 smoke 不等于生产监控。
QF-063,production_monitoring,production_monitoring_plan_approved,recommended_hold,keeps_blocker_open,否：生产监控方案尚未批准。
QF-064,production_monitoring,slo_dashboard_defined,recommended_hold,keeps_blocker_open,否：SLO 仪表盘尚未定义。
