blocker_id,evidence_file_type,evidence_key,local_public_shell_value,accepted_for_blocker_closure,gap_status,external_dependency_required,human_review_required,notes
production_identity_provider,production_auth_evidence,production_identity_provider_selected,False,False,missing_external_or_human_production_evidence,True,True,Production-grade human-approved evidence is still missing.
production_identity_provider,production_auth_evidence,identity_provider_admin_owner_named,False,False,missing_external_or_human_production_evidence,True,True,Production-grade human-approved evidence is still missing.
production_identity_provider,production_auth_evidence,oidc_issuer_verified,False,False,missing_external_or_human_production_evidence,True,True,Production-grade human-approved evidence is still missing.
production_identity_provider,production_auth_evidence,oidc_audience_approved,False,False,missing_external_or_human_production_evidence,True,True,Production-grade human-approved evidence is still missing.
production_identity_provider,production_auth_evidence,jwks_rotation_policy_reviewed,False,False,missing_external_or_human_production_evidence,True,True,Production-grade human-approved evidence is still missing.
oauth_oidc,production_auth_evidence,oauth_oidc_flow_approved,False,False,missing_external_or_human_production_evidence,True,True,Production-grade human-approved evidence is still missing.
oauth_oidc,production_auth_evidence,token_validation_test_recorded,False,False,missing_external_or_human_production_evidence,True,True,Production-grade human-approved evidence is still missing.
oauth_oidc,production_auth_evidence,claims_mapping_reviewed,False,False,missing_external_or_human_production_evidence,True,True,Production-grade human-approved evidence is still missing.
oauth_oidc,production_auth_evidence,session_expiry_policy_approved,False,False,missing_external_or_human_production_evidence,True,True,Production-grade human-approved evidence is still missing.
oauth_oidc,production_auth_evidence,auth_failure_handling_reviewed,False,False,missing_external_or_human_production_evidence,True,True,Production-grade human-approved evidence is still missing.
rbac,production_auth_evidence,rbac_policy_approved,False,False,missing_human_production_evidence,False,True,Production-grade human-approved evidence is still missing.
rbac,production_auth_evidence,role_matrix_reviewed,True,False,local_public_shell_evidence_present_requires_human_production_approval,False,True,Local evidence is review input only; it does not close the production blocker.
rbac,production_auth_evidence,tenant_role_boundary_reviewed,True,False,local_public_shell_evidence_present_requires_human_production_approval,False,True,Local evidence is review input only; it does not close the production blocker.
rbac,production_auth_evidence,least_privilege_reviewed,False,False,missing_human_production_evidence,False,True,Production-grade human-approved evidence is still missing.
rbac,production_auth_evidence,admin_recovery_policy_reviewed,False,False,missing_human_production_evidence,False,True,Production-grade human-approved evidence is still missing.
tenant_storage_isolation,production_tenant_storage_evidence,production_tenant_data_model_approved,True,False,local_public_shell_evidence_present_requires_human_production_approval,False,True,Local evidence is review input only; it does not close the production blocker.
tenant_storage_isolation,production_tenant_storage_evidence,tenant_scoped_primary_keys_or_partitions_reviewed,True,False,local_public_shell_evidence_present_requires_human_production_approval,False,True,Local evidence is review input only; it does not close the production blocker.
tenant_storage_isolation,production_tenant_storage_evidence,tenant_query_enforcement_design_reviewed,True,False,local_public_shell_evidence_present_requires_human_production_approval,False,True,Local evidence is review input only; it does not close the production blocker.
tenant_storage_isolation,production_tenant_storage_evidence,tenant_storage_migration_plan_reviewed,True,False,local_public_shell_evidence_present_requires_human_production_approval,False,True,Local evidence is review input only; it does not close the production blocker.
tenant_storage_isolation,production_tenant_storage_evidence,same_experiment_id_cross_tenant_partition_tests_passed,True,False,local_public_shell_evidence_present_requires_human_production_approval,False,True,Local evidence is review input only; it does not close the production blocker.
tenant_storage_isolation,production_tenant_storage_evidence,cross_tenant_read_denial_tests_passed,True,False,local_public_shell_evidence_present_requires_human_production_approval,False,True,Local evidence is review input only; it does not close the production blocker.
tenant_storage_isolation,production_tenant_storage_evidence,cross_tenant_write_denial_tests_passed,True,False,local_public_shell_evidence_present_requires_human_production_approval,False,True,Local evidence is review input only; it does not close the production blocker.
tenant_storage_isolation,production_tenant_storage_evidence,tenant_scoped_listing_tests_passed,True,False,local_public_shell_evidence_present_requires_human_production_approval,False,True,Local evidence is review input only; it does not close the production blocker.
tenant_storage_isolation,production_tenant_storage_evidence,tenant_scoped_report_endpoint_tests_passed,True,False,local_public_shell_evidence_present_requires_human_production_approval,False,True,Local evidence is review input only; it does not close the production blocker.
tenant_storage_isolation,production_tenant_storage_evidence,tenant_scoped_audit_metadata_reviewed,True,False,local_public_shell_evidence_present_requires_human_production_approval,False,True,Local evidence is review input only; it does not close the production blocker.
tenant_storage_isolation,production_tenant_storage_evidence,tenant_backup_restore_boundary_approved,True,False,local_public_shell_evidence_present_requires_human_production_approval,False,True,Local evidence is review input only; it does not close the production blocker.
tenant_storage_isolation,production_tenant_storage_evidence,tenant_deletion_retention_boundary_approved,True,False,local_public_shell_evidence_present_requires_human_production_approval,False,True,Local evidence is review input only; it does not close the production blocker.
tenant_storage_isolation,production_tenant_storage_evidence,tenant_storage_observability_plan_reviewed,True,False,local_public_shell_evidence_present_requires_human_production_approval,False,True,Local evidence is review input only; it does not close the production blocker.
tenant_storage_isolation,production_tenant_storage_evidence,tenant_authorization_policy_reviewed,True,False,local_public_shell_evidence_present_requires_human_production_approval,False,True,Local evidence is review input only; it does not close the production blocker.
tenant_storage_isolation,production_tenant_storage_evidence,tenant_secret_boundary_reviewed,True,False,local_public_shell_evidence_present_requires_human_production_approval,False,True,Local evidence is review input only; it does not close the production blocker.
tenant_storage_isolation,production_tenant_storage_evidence,security_review_completed,True,False,local_public_shell_evidence_present_requires_human_production_approval,False,True,Local evidence is review input only; it does not close the production blocker.
tenant_storage_isolation,production_tenant_storage_evidence,privacy_legal_review_completed,False,False,missing_human_production_evidence,False,True,Production-grade human-approved evidence is still missing.
tenant_storage_isolation,production_tenant_storage_evidence,customer_data_processing_non_claim_reviewed,True,False,local_public_shell_evidence_present_requires_human_production_approval,False,True,Local evidence is review input only; it does not close the production blocker.
