workbook_row_id,blocker_id,input_group,input_key,minimum_required,human_value_present,human_filled_input_target,template_path,target_json_pointer,target_known,pointer_resolved,transfer_ready,row_status,value_transferred,template_written
WB-001,support_contact,first_owner_input,assigned_human_owner,True,True,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.template.json,/first_owner_input/assigned_human_owner,True,True,True,ready_for_apply,True,True
WB-002,support_contact,first_owner_input,owner_contact_reference,True,True,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.template.json,/first_owner_input/owner_contact_reference,True,True,True,ready_for_apply,True,True
WB-003,support_contact,first_owner_input,target_review_date,True,True,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.template.json,/first_owner_input/target_review_date,True,True,True,ready_for_apply,True,True
WB-004,support_contact,first_owner_input,owner_acknowledged_scope,True,True,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.template.json,/first_owner_input/owner_acknowledged_scope,True,True,True,ready_for_apply,True,True
WB-005,support_contact,first_owner_input,human_approval_reference,True,True,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.template.json,/first_owner_input/human_approval_reference,True,True,True,ready_for_apply,True,True
WB-006,support_contact,support_contact_decision_metadata,human_reviewer_name,True,True,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.template.json,/support_contact_decision_input/human_reviewer_name,True,True,True,ready_for_apply,True,True
WB-007,support_contact,support_contact_decision_metadata,review_date,True,True,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.template.json,/support_contact_decision_input/review_date,True,True,True,ready_for_apply,True,True
WB-008,support_contact,support_contact_decision_metadata,selected_support_contact_channel,True,True,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.template.json,/support_contact_decision_input/selected_support_contact_channel,True,True,True,ready_for_apply,True,True
WB-009,support_contact,support_contact_decision_metadata,decision_summary,True,True,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.template.json,/support_contact_decision_input/decision_summary,True,True,True,ready_for_apply,True,True
WB-010,support_contact,support_contact_evidence_review,abuse_handling_path_defined,True,True,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.template.json,/support_contact_decision_input/evidence_review/abuse_handling_path_defined,True,True,True,ready_for_apply,True,True
WB-011,support_contact,support_contact_evidence_review,customer_facing_support_contact_configured,True,True,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.template.json,/support_contact_decision_input/evidence_review/customer_facing_support_contact_configured,True,True,True,ready_for_apply,True,True
WB-012,support_contact,support_contact_evidence_review,customer_notice_route_defined,True,True,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.template.json,/support_contact_decision_input/evidence_review/customer_notice_route_defined,True,True,True,ready_for_apply,True,True
WB-013,support_contact,support_contact_evidence_review,support_contact_owner_named,True,True,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.template.json,/support_contact_decision_input/evidence_review/support_contact_owner_named,True,True,True,ready_for_apply,True,True
WB-014,support_contact,support_contact_evidence_review,support_contact_test_recorded,True,True,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.template.json,/support_contact_decision_input/evidence_review/support_contact_test_recorded,True,True,True,ready_for_apply,True,True
WB-015,support_contact,support_contact_candidate_slot,support_contact_candidate_a,True,True,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.template.json,/support_contact_decision_input/candidate_contact_slots[slot_id=support_contact_candidate_a],True,True,True,ready_for_apply,True,True
WB-016,support_contact,support_contact_candidate_slot,support_contact_candidate_b,False,False,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.template.json,/support_contact_decision_input/candidate_contact_slots[slot_id=support_contact_candidate_b],True,True,True,ready_optional_blank,False,True
WB-017,pricing_page,metadata_fields_to_fill,human_reviewer_name,True,True,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.template.json,/human_reviewer_name,True,True,True,ready_for_apply,True,True
WB-018,pricing_page,metadata_fields_to_fill,review_date,True,True,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.template.json,/review_date,True,True,True,ready_for_apply,True,True
WB-019,pricing_page,metadata_fields_to_fill,commercial_owner,True,True,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.template.json,/commercial_owner,True,True,True,ready_for_apply,True,True
WB-020,pricing_page,metadata_fields_to_fill,product_owner,True,True,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.template.json,/product_owner,True,True,True,ready_for_apply,True,True
WB-021,pricing_page,metadata_fields_to_fill,accounting_owner,True,True,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.template.json,/accounting_owner,True,True,True,ready_for_apply,True,True
WB-022,pricing_page,metadata_fields_to_fill,legal_owner,True,True,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.template.json,/legal_owner,True,True,True,ready_for_apply,True,True
WB-023,pricing_page,metadata_fields_to_fill,billing_owner,True,True,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.template.json,/billing_owner,True,True,True,ready_for_apply,True,True
WB-024,pricing_page,metadata_fields_to_fill,review_record_reference,True,True,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.template.json,/review_record_reference,True,True,True,ready_for_apply,True,True
WB-025,pricing_page,metadata_fields_to_fill,decision_summary,True,True,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.template.json,/decision_summary,True,True,True,ready_for_apply,True,True
WB-026,pricing_page,pricing_page_keys_to_review,human_approved_pricing_page_copy,True,True,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.template.json,/evidence_review/human_approved_pricing_page_copy,True,True,True,ready_for_apply,True,True
WB-027,pricing_page,pricing_page_keys_to_review,approved_plan_and_usage_terms,True,True,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.template.json,/evidence_review/approved_plan_and_usage_terms,True,True,True,ready_for_apply,True,True
WB-028,pricing_page,pricing_page_keys_to_review,legal_review_completed,True,True,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.template.json,/evidence_review/legal_review_completed,True,True,True,ready_for_apply,True,True
WB-029,pricing_page,pricing_page_keys_to_review,production_readiness_non_claim_reviewed,True,True,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.template.json,/evidence_review/production_readiness_non_claim_reviewed,True,True,True,ready_for_apply,True,True
WB-030,pricing_page,pricing_page_keys_to_review,pricing_page_publication_approval_recorded,True,True,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.template.json,/evidence_review/pricing_page_publication_approval_recorded,True,True,True,ready_for_apply,True,True
