blocker_id,category,status,owner_review_lane,evidence_gap_type,local_evidence_path,local_evidence_ready,local_completion_checks_passed,local_completion_checks_total,external_dependency_required,engineering_implementation_required,closure_allowed_by_matrix,human_approval_required,requires_separate_execution_request,required_evidence
production_identity_provider,auth,open,engineering_security,production_auth_evidence_gap,phase_b_product/commercial_readiness/auth_evidence/auth_evidence.local.json,False,0,3,True,True,False,True,True,"Production identity-provider configuration, security review, and operator runbook."
oauth_oidc,auth,open,engineering_security,production_auth_evidence_gap,phase_b_product/commercial_readiness/auth_evidence/auth_evidence.local.json,False,0,3,True,True,False,True,True,"OIDC issuer, client, callback, token validation, and logout behavior evidence."
rbac,auth,open,engineering_security,production_auth_evidence_gap,phase_b_product/commercial_readiness/auth_evidence/auth_evidence.local.json,False,0,3,False,True,False,True,True,"Role model, permission matrix, enforcement tests, and admin recovery process."
tenant_storage_isolation,tenant,open,engineering_data_security,production_tenant_isolation_evidence_gap,phase_b_product/commercial_readiness/tenant_storage_isolation_evidence/tenant_storage_isolation_evidence.local.json,False,3,4,False,True,False,True,True,"Tenant-isolated storage design, migration proof, and cross-tenant isolation tests."
production_monitoring,operations,open,operations_engineering,production_operations_evidence_gap,phase_b_product/commercial_readiness/operations_evidence/production_operations_evidence.combined_profile.local.json,False,0,3,True,True,False,True,True,"Production metrics, dashboard, retention, alert review, and incident linkage evidence."
external_alert_delivery,operations,open,operations_engineering,production_operations_evidence_gap,phase_b_product/commercial_readiness/operations_evidence/production_operations_evidence.combined_profile.local.json,False,0,3,True,True,False,True,True,"External alert destination, escalation route, delivery test, and failure handling evidence."
on_call_rotation,operations,open,operations_engineering,production_operations_evidence_gap,phase_b_product/commercial_readiness/operations_evidence/production_operations_evidence.combined_profile.local.json,False,0,3,True,False,False,True,True,"Named on-call process, escalation schedule, handoff rules, and coverage evidence."
sla,support,open,support_operations,staffed_support_and_sla_evidence_gap,phase_b_product/commercial_readiness/support_evidence/support_evidence.local.json,False,0,4,True,False,False,True,True,"Human-approved SLA terms, exclusions, support hours, and response target approval."
support_contact,support,open,support_operations,staffed_support_and_sla_evidence_gap,phase_b_product/commercial_readiness/support_evidence/support_evidence.local.json,False,0,4,True,False,False,True,True,"Customer-facing support intake contact, ownership, response procedure, and abuse handling."
customer_support,support,open,support_operations,staffed_support_and_sla_evidence_gap,phase_b_product/commercial_readiness/support_evidence/support_evidence.local.json,False,0,4,True,False,False,True,True,"Staffed support process, triage workflow, customer communication template, and audit trail."
