field_id,group,required,where_to_fill,human_instruction
pricing_page_evidence_input.human_reviewer_name,metadata,True,pricing_page_evidence_input.human_filled.local.json,由人填写真实审批信息；Codex 不能代填。
pricing_page_evidence_input.review_date,metadata,True,pricing_page_evidence_input.human_filled.local.json,由人填写真实审批信息；Codex 不能代填。
pricing_page_evidence_input.commercial_owner,metadata,True,pricing_page_evidence_input.human_filled.local.json,由人填写真实审批信息；Codex 不能代填。
pricing_page_evidence_input.product_owner,metadata,True,pricing_page_evidence_input.human_filled.local.json,由人填写真实审批信息；Codex 不能代填。
pricing_page_evidence_input.accounting_owner,metadata,True,pricing_page_evidence_input.human_filled.local.json,由人填写真实审批信息；Codex 不能代填。
pricing_page_evidence_input.legal_owner,metadata,True,pricing_page_evidence_input.human_filled.local.json,由人填写真实审批信息；Codex 不能代填。
pricing_page_evidence_input.billing_owner,metadata,True,pricing_page_evidence_input.human_filled.local.json,由人填写真实审批信息；Codex 不能代填。
pricing_page_evidence_input.review_record_reference,metadata,True,pricing_page_evidence_input.human_filled.local.json,由人填写真实审批信息；Codex 不能代填。
pricing_page_evidence_input.decision_summary,metadata,True,pricing_page_evidence_input.human_filled.local.json,由人填写真实审批信息；Codex 不能代填。
pricing_page_evidence_input.evidence_review.approved_plan_and_usage_terms,evidence_review,True,pricing_page_evidence_input.human_filled.local.json,只有人工确认真实证据存在时才设为 true。
pricing_page_evidence_input.source_notes_by_key.approved_plan_and_usage_terms,source_note,True,pricing_page_evidence_input.human_filled.local.json,填写可追溯来源说明；不要写密钥、账号或付款凭据。
pricing_page_evidence_input.review_artifacts[approved_plan_and_usage_terms].artifact_reference,review_artifact,True,pricing_page_evidence_input.human_filled.local.json,填写人工审查材料或审批记录引用。
pricing_page_evidence_input.review_artifacts[approved_plan_and_usage_terms].owner_named,review_artifact,True,pricing_page_evidence_input.human_filled.local.json,对应负责人已明确时才设为 true。
pricing_page_evidence_input.review_artifacts[approved_plan_and_usage_terms].reviewed_by_human,review_artifact,True,pricing_page_evidence_input.human_filled.local.json,对应材料已由人审过时才设为 true。
pricing_page_evidence_input.evidence_review.human_approved_pricing_page_copy,evidence_review,True,pricing_page_evidence_input.human_filled.local.json,只有人工确认真实证据存在时才设为 true。
pricing_page_evidence_input.source_notes_by_key.human_approved_pricing_page_copy,source_note,True,pricing_page_evidence_input.human_filled.local.json,填写可追溯来源说明；不要写密钥、账号或付款凭据。
pricing_page_evidence_input.review_artifacts[human_approved_pricing_page_copy].artifact_reference,review_artifact,True,pricing_page_evidence_input.human_filled.local.json,填写人工审查材料或审批记录引用。
pricing_page_evidence_input.review_artifacts[human_approved_pricing_page_copy].owner_named,review_artifact,True,pricing_page_evidence_input.human_filled.local.json,对应负责人已明确时才设为 true。
pricing_page_evidence_input.review_artifacts[human_approved_pricing_page_copy].reviewed_by_human,review_artifact,True,pricing_page_evidence_input.human_filled.local.json,对应材料已由人审过时才设为 true。
pricing_page_evidence_input.evidence_review.legal_review_completed,evidence_review,True,pricing_page_evidence_input.human_filled.local.json,只有人工确认真实证据存在时才设为 true。
pricing_page_evidence_input.source_notes_by_key.legal_review_completed,source_note,True,pricing_page_evidence_input.human_filled.local.json,填写可追溯来源说明；不要写密钥、账号或付款凭据。
pricing_page_evidence_input.review_artifacts[legal_review_completed].artifact_reference,review_artifact,True,pricing_page_evidence_input.human_filled.local.json,填写人工审查材料或审批记录引用。
pricing_page_evidence_input.review_artifacts[legal_review_completed].owner_named,review_artifact,True,pricing_page_evidence_input.human_filled.local.json,对应负责人已明确时才设为 true。
pricing_page_evidence_input.review_artifacts[legal_review_completed].reviewed_by_human,review_artifact,True,pricing_page_evidence_input.human_filled.local.json,对应材料已由人审过时才设为 true。
pricing_page_evidence_input.evidence_review.pricing_page_publication_approval_recorded,evidence_review,True,pricing_page_evidence_input.human_filled.local.json,只有人工确认真实证据存在时才设为 true。
pricing_page_evidence_input.source_notes_by_key.pricing_page_publication_approval_recorded,source_note,True,pricing_page_evidence_input.human_filled.local.json,填写可追溯来源说明；不要写密钥、账号或付款凭据。
pricing_page_evidence_input.review_artifacts[pricing_page_publication_approval_recorded].artifact_reference,review_artifact,True,pricing_page_evidence_input.human_filled.local.json,填写人工审查材料或审批记录引用。
pricing_page_evidence_input.review_artifacts[pricing_page_publication_approval_recorded].owner_named,review_artifact,True,pricing_page_evidence_input.human_filled.local.json,对应负责人已明确时才设为 true。
pricing_page_evidence_input.review_artifacts[pricing_page_publication_approval_recorded].reviewed_by_human,review_artifact,True,pricing_page_evidence_input.human_filled.local.json,对应材料已由人审过时才设为 true。
pricing_page_evidence_input.evidence_review.production_readiness_non_claim_reviewed,evidence_review,True,pricing_page_evidence_input.human_filled.local.json,只有人工确认真实证据存在时才设为 true。
pricing_page_evidence_input.source_notes_by_key.production_readiness_non_claim_reviewed,source_note,True,pricing_page_evidence_input.human_filled.local.json,填写可追溯来源说明；不要写密钥、账号或付款凭据。
pricing_page_evidence_input.review_artifacts[production_readiness_non_claim_reviewed].artifact_reference,review_artifact,True,pricing_page_evidence_input.human_filled.local.json,填写人工审查材料或审批记录引用。
pricing_page_evidence_input.review_artifacts[production_readiness_non_claim_reviewed].owner_named,review_artifact,True,pricing_page_evidence_input.human_filled.local.json,对应负责人已明确时才设为 true。
pricing_page_evidence_input.review_artifacts[production_readiness_non_claim_reviewed].reviewed_by_human,review_artifact,True,pricing_page_evidence_input.human_filled.local.json,对应材料已由人审过时才设为 true。
