item_id,field_path,item_type,required_value,current_value,source,complete,human_instruction
PIDP-TEXT-human_reviewer_name,human_reviewer_name,required_text_field,non_empty_text,,phase_b_product/commercial_readiness/auth_evidence/production_identity_provider_decision_input.template.json,false,Fill `human_reviewer_name` in the identity-provider decision input template.
PIDP-TEXT-review_date,review_date,required_text_field,non_empty_text,,phase_b_product/commercial_readiness/auth_evidence/production_identity_provider_decision_input.template.json,false,Fill `review_date` in the identity-provider decision input template.
PIDP-TEXT-selected_provider_name,selected_provider_name,required_text_field,non_empty_text,,phase_b_product/commercial_readiness/auth_evidence/production_identity_provider_decision_input.template.json,false,Fill `selected_provider_name` in the identity-provider decision input template.
PIDP-TEXT-decision_summary,decision_summary,required_text_field,non_empty_text,,phase_b_product/commercial_readiness/auth_evidence/production_identity_provider_decision_input.template.json,false,Fill `decision_summary` in the identity-provider decision input template.
PIDP-EVIDENCE-production_identity_provider_selected,evidence_review.production_identity_provider_selected,evidence_review_flag,true_after_human_review,false,phase_b_product/commercial_readiness/auth_evidence/production_identity_provider_decision_input.template.json,false,Set this evidence review flag to true only after a human has reviewed supporting identity-provider evidence.
PIDP-EVIDENCE-identity_provider_admin_owner_named,evidence_review.identity_provider_admin_owner_named,evidence_review_flag,true_after_human_review,false,phase_b_product/commercial_readiness/auth_evidence/production_identity_provider_decision_input.template.json,false,Set this evidence review flag to true only after a human has reviewed supporting identity-provider evidence.
PIDP-EVIDENCE-oidc_issuer_verified,evidence_review.oidc_issuer_verified,evidence_review_flag,true_after_human_review,false,phase_b_product/commercial_readiness/auth_evidence/production_identity_provider_decision_input.template.json,false,Set this evidence review flag to true only after a human has reviewed supporting identity-provider evidence.
PIDP-EVIDENCE-oidc_audience_approved,evidence_review.oidc_audience_approved,evidence_review_flag,true_after_human_review,false,phase_b_product/commercial_readiness/auth_evidence/production_identity_provider_decision_input.template.json,false,Set this evidence review flag to true only after a human has reviewed supporting identity-provider evidence.
PIDP-EVIDENCE-jwks_rotation_policy_reviewed,evidence_review.jwks_rotation_policy_reviewed,evidence_review_flag,true_after_human_review,false,phase_b_product/commercial_readiness/auth_evidence/production_identity_provider_decision_input.template.json,false,Set this evidence review flag to true only after a human has reviewed supporting identity-provider evidence.
PIDP-NOTE-production_identity_provider_selected,source_notes_by_key.production_identity_provider_selected,source_note,non_empty_human_source_note,,phase_b_product/commercial_readiness/auth_evidence/production_identity_provider_decision_input.template.json,false,Add a short source note explaining the human-reviewed basis for `production_identity_provider_selected`.
PIDP-NOTE-identity_provider_admin_owner_named,source_notes_by_key.identity_provider_admin_owner_named,source_note,non_empty_human_source_note,,phase_b_product/commercial_readiness/auth_evidence/production_identity_provider_decision_input.template.json,false,Add a short source note explaining the human-reviewed basis for `identity_provider_admin_owner_named`.
PIDP-NOTE-oidc_issuer_verified,source_notes_by_key.oidc_issuer_verified,source_note,non_empty_human_source_note,,phase_b_product/commercial_readiness/auth_evidence/production_identity_provider_decision_input.template.json,false,Add a short source note explaining the human-reviewed basis for `oidc_issuer_verified`.
PIDP-NOTE-oidc_audience_approved,source_notes_by_key.oidc_audience_approved,source_note,non_empty_human_source_note,,phase_b_product/commercial_readiness/auth_evidence/production_identity_provider_decision_input.template.json,false,Add a short source note explaining the human-reviewed basis for `oidc_audience_approved`.
PIDP-NOTE-jwks_rotation_policy_reviewed,source_notes_by_key.jwks_rotation_policy_reviewed,source_note,non_empty_human_source_note,,phase_b_product/commercial_readiness/auth_evidence/production_identity_provider_decision_input.template.json,false,Add a short source note explaining the human-reviewed basis for `jwks_rotation_policy_reviewed`.
PIDP-SLOT-selected_provider_slot,candidate_provider_slots[selected_provider_name],selected_provider_slot,"selected slot has provider name, source note, and OIDC review booleans true",,phase_b_product/commercial_readiness/auth_evidence/production_identity_provider_decision_input.template.json,false,"Fill the candidate slot that matches `selected_provider_name`: provider_name, human_source_note, oidc_supported, admin_owner_named, issuer_reviewed, audience_reviewed, and jwks_rotation_reviewed."
