phase_2_record_id,source_collection_record_id,priority_rank,priority_tier,blocker_id,evidence_file_type,evidence_key,gap_status,local_public_shell_value,production_evidence_missing,owner_review_lane,human_fill_status,human_evidence_value,human_source_note,accepted_for_blocker_closure,execution_authorized,evidence_collection_authorized,required_human_action
P2-ECP-001,ECP-037,1,missing_production_evidence,production_monitoring,production_operations_evidence,log_retention_reviewed,missing_external_or_human_production_evidence,False,True,operations_engineering,not_started,,,False,False,False,Provide source-backed production evidence and a reviewer note; do not mark accepted for closure without a separate human approval.
P2-ECP-002,ECP-035,2,missing_production_evidence,production_monitoring,production_operations_evidence,metrics_coverage_approved,missing_external_or_human_production_evidence,False,True,operations_engineering,not_started,,,False,False,False,Provide source-backed production evidence and a reviewer note; do not mark accepted for closure without a separate human approval.
P2-ECP-003,ECP-034,3,missing_production_evidence,production_monitoring,production_operations_evidence,production_monitoring_plan_approved,missing_external_or_human_production_evidence,False,True,operations_engineering,not_started,,,False,False,False,Provide source-backed production evidence and a reviewer note; do not mark accepted for closure without a separate human approval.
P2-ECP-004,ECP-036,4,missing_production_evidence,production_monitoring,production_operations_evidence,slo_dashboard_defined,missing_external_or_human_production_evidence,False,True,operations_engineering,not_started,,,False,False,False,Provide source-backed production evidence and a reviewer note; do not mark accepted for closure without a separate human approval.
P2-ECP-005,ECP-038,5,local_public_shell_requires_human_approval,production_monitoring,production_operations_evidence,monitoring_dry_run_recorded,local_public_shell_evidence_present_requires_human_production_approval,True,False,operations_engineering,not_started,,,False,False,False,Provide source-backed production evidence and a reviewer note; do not mark accepted for closure without a separate human approval.
P2-ECP-006,ECP-044,6,missing_production_evidence,external_alert_delivery,production_operations_evidence,alert_acknowledgement_process_defined,missing_external_or_human_production_evidence,False,True,operations_engineering,not_started,,,False,False,False,Provide source-backed production evidence and a reviewer note; do not mark accepted for closure without a separate human approval.
P2-ECP-007,ECP-041,7,missing_production_evidence,external_alert_delivery,production_operations_evidence,alert_delivery_test_recorded,missing_external_or_human_production_evidence,False,True,operations_engineering,not_started,,,False,False,False,Provide source-backed production evidence and a reviewer note; do not mark accepted for closure without a separate human approval.
P2-ECP-008,ECP-042,8,missing_production_evidence,external_alert_delivery,production_operations_evidence,alert_failure_handling_defined,missing_external_or_human_production_evidence,False,True,operations_engineering,not_started,,,False,False,False,Provide source-backed production evidence and a reviewer note; do not mark accepted for closure without a separate human approval.
P2-ECP-009,ECP-040,9,missing_production_evidence,external_alert_delivery,production_operations_evidence,alert_routing_policy_approved,missing_external_or_human_production_evidence,False,True,operations_engineering,not_started,,,False,False,False,Provide source-backed production evidence and a reviewer note; do not mark accepted for closure without a separate human approval.
P2-ECP-010,ECP-039,10,missing_production_evidence,external_alert_delivery,production_operations_evidence,external_alert_channel_configured,missing_external_or_human_production_evidence,False,True,operations_engineering,not_started,,,False,False,False,Provide source-backed production evidence and a reviewer note; do not mark accepted for closure without a separate human approval.
P2-ECP-011,ECP-043,11,missing_production_evidence,external_alert_delivery,production_operations_evidence,incident_escalation_path_defined,missing_external_or_human_production_evidence,False,True,operations_engineering,not_started,,,False,False,False,Provide source-backed production evidence and a reviewer note; do not mark accepted for closure without a separate human approval.
P2-ECP-012,ECP-046,12,missing_production_evidence,on_call_rotation,production_operations_evidence,escalation_schedule_defined,missing_external_or_human_production_evidence,False,True,operations_engineering,not_started,,,False,False,False,Provide source-backed production evidence and a reviewer note; do not mark accepted for closure without a separate human approval.
