phase_3_record_id,source_collection_record_id,priority_rank,priority_tier,blocker_id,evidence_file_type,evidence_key,gap_status,local_public_shell_value,production_evidence_missing,owner_review_lane,human_fill_status,human_evidence_value,human_source_note,accepted_for_blocker_closure,execution_authorized,evidence_collection_authorized,required_human_action
P3-ECP-001,ECP-074,1,missing_production_evidence,sla,production_support_sla_evidence,exclusions_approved,missing_external_or_human_production_evidence,False,True,support_operations,not_started,,,False,False,False,Provide source-backed support/security/legal evidence and a reviewer note; do not mark accepted for closure without a separate human approval.
P3-ECP-002,ECP-070,2,missing_production_evidence,sla,production_support_sla_evidence,human_approved_sla_terms,missing_external_or_human_production_evidence,False,True,support_operations,not_started,,,False,False,False,Provide source-backed support/security/legal evidence and a reviewer note; do not mark accepted for closure without a separate human approval.
P3-ECP-003,ECP-075,3,missing_production_evidence,sla,production_support_sla_evidence,legal_review_completed,missing_external_or_human_production_evidence,False,True,support_operations,not_started,,,False,False,False,Provide source-backed support/security/legal evidence and a reviewer note; do not mark accepted for closure without a separate human approval.
P3-ECP-004,ECP-072,4,missing_production_evidence,sla,production_support_sla_evidence,response_targets_approved,missing_external_or_human_production_evidence,False,True,support_operations,not_started,,,False,False,False,Provide source-backed support/security/legal evidence and a reviewer note; do not mark accepted for closure without a separate human approval.
P3-ECP-005,ECP-073,5,missing_production_evidence,sla,production_support_sla_evidence,severity_definitions_approved,missing_external_or_human_production_evidence,False,True,support_operations,not_started,,,False,False,False,Provide source-backed support/security/legal evidence and a reviewer note; do not mark accepted for closure without a separate human approval.
P3-ECP-006,ECP-071,6,missing_production_evidence,sla,production_support_sla_evidence,support_hours_approved,missing_external_or_human_production_evidence,False,True,support_operations,not_started,,,False,False,False,Provide source-backed support/security/legal evidence and a reviewer note; do not mark accepted for closure without a separate human approval.
P3-ECP-007,ECP-063,7,missing_production_evidence,support_contact,production_support_sla_evidence,abuse_handling_path_defined,missing_external_or_human_production_evidence,False,True,support_operations,not_started,,,False,False,False,Provide source-backed support/security/legal evidence and a reviewer note; do not mark accepted for closure without a separate human approval.
P3-ECP-008,ECP-060,8,missing_production_evidence,support_contact,production_support_sla_evidence,customer_facing_support_contact_configured,missing_external_or_human_production_evidence,False,True,support_operations,not_started,,,False,False,False,Provide source-backed support/security/legal evidence and a reviewer note; do not mark accepted for closure without a separate human approval.
P3-ECP-009,ECP-064,9,missing_production_evidence,support_contact,production_support_sla_evidence,customer_notice_route_defined,missing_external_or_human_production_evidence,False,True,support_operations,not_started,,,False,False,False,Provide source-backed support/security/legal evidence and a reviewer note; do not mark accepted for closure without a separate human approval.
P3-ECP-010,ECP-061,10,missing_production_evidence,support_contact,production_support_sla_evidence,support_contact_owner_named,missing_external_or_human_production_evidence,False,True,support_operations,not_started,,,False,False,False,Provide source-backed support/security/legal evidence and a reviewer note; do not mark accepted for closure without a separate human approval.
P3-ECP-011,ECP-062,11,missing_production_evidence,support_contact,production_support_sla_evidence,support_contact_test_recorded,missing_external_or_human_production_evidence,False,True,support_operations,not_started,,,False,False,False,Provide source-backed support/security/legal evidence and a reviewer note; do not mark accepted for closure without a separate human approval.
