quick_fill_row_id,workbook_row_id,blocker_id,input_group,input_key,value_present,unsafe_patterns,benign_warning_patterns,unresolved_warning_patterns,row_status
QF-001,WB-001,support_contact,first_owner_input,assigned_human_owner,True,,,,safe_preview_value
QF-002,WB-002,support_contact,first_owner_input,owner_contact_reference,True,,,,safe_preview_value
QF-003,WB-003,support_contact,first_owner_input,target_review_date,True,,,,safe_preview_value
QF-004,WB-004,support_contact,first_owner_input,owner_acknowledged_scope,True,,,,safe_preview_value
QF-005,WB-005,support_contact,first_owner_input,human_approval_reference,True,,,,safe_preview_value
QF-006,WB-006,support_contact,support_contact_decision_metadata,human_reviewer_name,True,,,,safe_preview_value
QF-007,WB-007,support_contact,support_contact_decision_metadata,review_date,True,,,,safe_preview_value
QF-008,WB-008,support_contact,support_contact_decision_metadata,selected_support_contact_channel,True,,,,safe_preview_value
QF-009,WB-009,support_contact,support_contact_decision_metadata,decision_summary,True,,,,safe_preview_value
QF-010,WB-010,support_contact,support_contact_evidence_review,abuse_handling_path_defined,True,,,,safe_preview_value
QF-011,WB-011,support_contact,support_contact_evidence_review,customer_facing_support_contact_configured,True,,,,safe_preview_value
QF-012,WB-012,support_contact,support_contact_evidence_review,customer_notice_route_defined,True,,,,safe_preview_value
QF-013,WB-013,support_contact,support_contact_evidence_review,support_contact_owner_named,True,,,,safe_preview_value
QF-014,WB-014,support_contact,support_contact_evidence_review,support_contact_test_recorded,True,,,,safe_preview_value
QF-015,WB-015,support_contact,support_contact_candidate_slot,support_contact_candidate_a,True,,,,safe_preview_value
QF-016,WB-017,pricing_page,metadata_fields_to_fill,human_reviewer_name,True,,,,safe_preview_value
QF-017,WB-018,pricing_page,metadata_fields_to_fill,review_date,True,,,,safe_preview_value
QF-018,WB-019,pricing_page,metadata_fields_to_fill,commercial_owner,True,,,,safe_preview_value
QF-019,WB-020,pricing_page,metadata_fields_to_fill,product_owner,True,,,,safe_preview_value
QF-020,WB-021,pricing_page,metadata_fields_to_fill,accounting_owner,True,,,,safe_preview_value
QF-021,WB-022,pricing_page,metadata_fields_to_fill,legal_owner,True,,,,safe_preview_value
QF-022,WB-023,pricing_page,metadata_fields_to_fill,billing_owner,True,,,,safe_preview_value
QF-023,WB-024,pricing_page,metadata_fields_to_fill,review_record_reference,True,,,,safe_preview_value
QF-024,WB-025,pricing_page,metadata_fields_to_fill,decision_summary,True,,,,safe_preview_value
QF-025,WB-026,pricing_page,pricing_page_keys_to_review,human_approved_pricing_page_copy,True,,,,safe_preview_value
QF-026,WB-027,pricing_page,pricing_page_keys_to_review,approved_plan_and_usage_terms,True,,,,safe_preview_value
QF-027,WB-028,pricing_page,pricing_page_keys_to_review,legal_review_completed,True,,,,safe_preview_value
QF-028,WB-029,pricing_page,pricing_page_keys_to_review,production_readiness_non_claim_reviewed,True,,,,safe_preview_value
QF-029,WB-030,pricing_page,pricing_page_keys_to_review,pricing_page_publication_approval_recorded,True,,,,safe_preview_value
