quick_fill_row_id,blocker_id,owner_review_lane,input_group,input_key,input_kind,required_fields_present,human_value_blank,prompt_path_exists,guidance_row_present,worksheet_row_present,target_mapping_present,ready_for_human_input
QF-001,support_contact,support_operations,first_owner_input,assigned_human_owner,support_contact_bridge_field,True,True,True,True,True,True,True
QF-002,support_contact,support_operations,first_owner_input,owner_contact_reference,support_contact_bridge_field,True,True,True,True,True,True,True
QF-003,support_contact,support_operations,first_owner_input,target_review_date,support_contact_bridge_field,True,True,True,True,True,True,True
QF-004,support_contact,support_operations,first_owner_input,owner_acknowledged_scope,support_contact_bridge_field,True,True,True,True,True,True,True
QF-005,support_contact,support_operations,first_owner_input,human_approval_reference,support_contact_bridge_field,True,True,True,True,True,True,True
QF-006,support_contact,support_operations,support_contact_decision_metadata,human_reviewer_name,support_contact_bridge_field,True,True,True,True,True,True,True
QF-007,support_contact,support_operations,support_contact_decision_metadata,review_date,support_contact_bridge_field,True,True,True,True,True,True,True
QF-008,support_contact,support_operations,support_contact_decision_metadata,selected_support_contact_channel,support_contact_bridge_field,True,True,True,True,True,True,True
QF-009,support_contact,support_operations,support_contact_decision_metadata,decision_summary,support_contact_bridge_field,True,True,True,True,True,True,True
QF-010,support_contact,support_operations,support_contact_evidence_review,abuse_handling_path_defined,support_contact_bridge_field,True,True,True,True,True,True,True
QF-011,support_contact,support_operations,support_contact_evidence_review,customer_facing_support_contact_configured,support_contact_bridge_field,True,True,True,True,True,True,True
QF-012,support_contact,support_operations,support_contact_evidence_review,customer_notice_route_defined,support_contact_bridge_field,True,True,True,True,True,True,True
QF-013,support_contact,support_operations,support_contact_evidence_review,support_contact_owner_named,support_contact_bridge_field,True,True,True,True,True,True,True
QF-014,support_contact,support_operations,support_contact_evidence_review,support_contact_test_recorded,support_contact_bridge_field,True,True,True,True,True,True,True
QF-015,support_contact,support_operations,support_contact_candidate_slot,support_contact_candidate_a,support_contact_bridge_field,True,True,True,True,True,True,True
QF-016,pricing_page,commercial_finance_legal,metadata_fields_to_fill,human_reviewer_name,metadata_field,True,True,True,True,True,True,True
QF-017,pricing_page,commercial_finance_legal,metadata_fields_to_fill,review_date,metadata_field,True,True,True,True,True,True,True
QF-018,pricing_page,commercial_finance_legal,metadata_fields_to_fill,commercial_owner,metadata_field,True,True,True,True,True,True,True
QF-019,pricing_page,commercial_finance_legal,metadata_fields_to_fill,product_owner,metadata_field,True,True,True,True,True,True,True
QF-020,pricing_page,commercial_finance_legal,metadata_fields_to_fill,accounting_owner,metadata_field,True,True,True,True,True,True,True
QF-021,pricing_page,commercial_finance_legal,metadata_fields_to_fill,legal_owner,metadata_field,True,True,True,True,True,True,True
QF-022,pricing_page,commercial_finance_legal,metadata_fields_to_fill,billing_owner,metadata_field,True,True,True,True,True,True,True
QF-023,pricing_page,commercial_finance_legal,metadata_fields_to_fill,review_record_reference,metadata_field,True,True,True,True,True,True,True
QF-024,pricing_page,commercial_finance_legal,metadata_fields_to_fill,decision_summary,metadata_field,True,True,True,True,True,True,True
QF-025,pricing_page,commercial_finance_legal,pricing_page_keys_to_review,human_approved_pricing_page_copy,evidence_review_key,True,True,True,True,True,True,True
QF-026,pricing_page,commercial_finance_legal,pricing_page_keys_to_review,approved_plan_and_usage_terms,evidence_review_key,True,True,True,True,True,True,True
QF-027,pricing_page,commercial_finance_legal,pricing_page_keys_to_review,legal_review_completed,evidence_review_key,True,True,True,True,True,True,True
QF-028,pricing_page,commercial_finance_legal,pricing_page_keys_to_review,production_readiness_non_claim_reviewed,evidence_review_key,True,True,True,True,True,True,True
