field_id,group,required,where_to_fill,human_instruction
production_restore_policy_approval_input.human_reviewer_name,metadata,True,production_restore_policy_approval_input.human_filled.local.json,由人填写真实恢复策略审批信息；Codex 不能代填。
production_restore_policy_approval_input.review_date,metadata,True,production_restore_policy_approval_input.human_filled.local.json,由人填写真实恢复策略审批信息；Codex 不能代填。
production_restore_policy_approval_input.data_operations_owner,metadata,True,production_restore_policy_approval_input.human_filled.local.json,由人填写真实恢复策略审批信息；Codex 不能代填。
production_restore_policy_approval_input.security_owner,metadata,True,production_restore_policy_approval_input.human_filled.local.json,由人填写真实恢复策略审批信息；Codex 不能代填。
production_restore_policy_approval_input.privacy_legal_owner,metadata,True,production_restore_policy_approval_input.human_filled.local.json,由人填写真实恢复策略审批信息；Codex 不能代填。
production_restore_policy_approval_input.incident_response_owner,metadata,True,production_restore_policy_approval_input.human_filled.local.json,由人填写真实恢复策略审批信息；Codex 不能代填。
production_restore_policy_approval_input.decision_summary,metadata,True,production_restore_policy_approval_input.human_filled.local.json,由人填写真实恢复策略审批信息；Codex 不能代填。
production_restore_policy_approval_input.policy_evidence_review.backup_retention_policy_approved,policy_evidence_review,True,production_restore_policy_approval_input.human_filled.local.json,只有人工确认真实恢复策略证据存在且已审查时才设为 true。
production_restore_policy_approval_input.source_notes_by_key.backup_retention_policy_approved,source_note,True,production_restore_policy_approval_input.human_filled.local.json,填写可追溯来源说明；不要写密钥、客户数据、账号或私人凭据。
production_restore_policy_approval_input.policy_evidence_slots[backup_retention_policy_approved].evidence_reference,policy_evidence_slot,True,production_restore_policy_approval_input.human_filled.local.json,填写人工审查材料、政策记录或演练记录引用。
production_restore_policy_approval_input.policy_evidence_slots[backup_retention_policy_approved].owner_named,policy_evidence_slot,True,production_restore_policy_approval_input.human_filled.local.json,对应负责人已明确时才设为 true。
production_restore_policy_approval_input.policy_evidence_slots[backup_retention_policy_approved].reviewed_by_human,policy_evidence_slot,True,production_restore_policy_approval_input.human_filled.local.json,对应材料已由人审过时才设为 true。
production_restore_policy_approval_input.policy_evidence_review.credential_secret_exclusion_reviewed,policy_evidence_review,True,production_restore_policy_approval_input.human_filled.local.json,只有人工确认真实恢复策略证据存在且已审查时才设为 true。
production_restore_policy_approval_input.source_notes_by_key.credential_secret_exclusion_reviewed,source_note,True,production_restore_policy_approval_input.human_filled.local.json,填写可追溯来源说明；不要写密钥、客户数据、账号或私人凭据。
production_restore_policy_approval_input.policy_evidence_slots[credential_secret_exclusion_reviewed].evidence_reference,policy_evidence_slot,True,production_restore_policy_approval_input.human_filled.local.json,填写人工审查材料、政策记录或演练记录引用。
production_restore_policy_approval_input.policy_evidence_slots[credential_secret_exclusion_reviewed].owner_named,policy_evidence_slot,True,production_restore_policy_approval_input.human_filled.local.json,对应负责人已明确时才设为 true。
production_restore_policy_approval_input.policy_evidence_slots[credential_secret_exclusion_reviewed].reviewed_by_human,policy_evidence_slot,True,production_restore_policy_approval_input.human_filled.local.json,对应材料已由人审过时才设为 true。
production_restore_policy_approval_input.policy_evidence_review.customer_notification_boundary_approved,policy_evidence_review,True,production_restore_policy_approval_input.human_filled.local.json,只有人工确认真实恢复策略证据存在且已审查时才设为 true。
production_restore_policy_approval_input.source_notes_by_key.customer_notification_boundary_approved,source_note,True,production_restore_policy_approval_input.human_filled.local.json,填写可追溯来源说明；不要写密钥、客户数据、账号或私人凭据。
production_restore_policy_approval_input.policy_evidence_slots[customer_notification_boundary_approved].evidence_reference,policy_evidence_slot,True,production_restore_policy_approval_input.human_filled.local.json,填写人工审查材料、政策记录或演练记录引用。
production_restore_policy_approval_input.policy_evidence_slots[customer_notification_boundary_approved].owner_named,policy_evidence_slot,True,production_restore_policy_approval_input.human_filled.local.json,对应负责人已明确时才设为 true。
production_restore_policy_approval_input.policy_evidence_slots[customer_notification_boundary_approved].reviewed_by_human,policy_evidence_slot,True,production_restore_policy_approval_input.human_filled.local.json,对应材料已由人审过时才设为 true。
production_restore_policy_approval_input.policy_evidence_review.incident_response_handoff_approved,policy_evidence_review,True,production_restore_policy_approval_input.human_filled.local.json,只有人工确认真实恢复策略证据存在且已审查时才设为 true。
production_restore_policy_approval_input.source_notes_by_key.incident_response_handoff_approved,source_note,True,production_restore_policy_approval_input.human_filled.local.json,填写可追溯来源说明；不要写密钥、客户数据、账号或私人凭据。
production_restore_policy_approval_input.policy_evidence_slots[incident_response_handoff_approved].evidence_reference,policy_evidence_slot,True,production_restore_policy_approval_input.human_filled.local.json,填写人工审查材料、政策记录或演练记录引用。
production_restore_policy_approval_input.policy_evidence_slots[incident_response_handoff_approved].owner_named,policy_evidence_slot,True,production_restore_policy_approval_input.human_filled.local.json,对应负责人已明确时才设为 true。
production_restore_policy_approval_input.policy_evidence_slots[incident_response_handoff_approved].reviewed_by_human,policy_evidence_slot,True,production_restore_policy_approval_input.human_filled.local.json,对应材料已由人审过时才设为 true。
production_restore_policy_approval_input.policy_evidence_review.production_restore_policy_approved,policy_evidence_review,True,production_restore_policy_approval_input.human_filled.local.json,只有人工确认真实恢复策略证据存在且已审查时才设为 true。
production_restore_policy_approval_input.source_notes_by_key.production_restore_policy_approved,source_note,True,production_restore_policy_approval_input.human_filled.local.json,填写可追溯来源说明；不要写密钥、客户数据、账号或私人凭据。
production_restore_policy_approval_input.policy_evidence_slots[production_restore_policy_approved].evidence_reference,policy_evidence_slot,True,production_restore_policy_approval_input.human_filled.local.json,填写人工审查材料、政策记录或演练记录引用。
production_restore_policy_approval_input.policy_evidence_slots[production_restore_policy_approved].owner_named,policy_evidence_slot,True,production_restore_policy_approval_input.human_filled.local.json,对应负责人已明确时才设为 true。
production_restore_policy_approval_input.policy_evidence_slots[production_restore_policy_approved].reviewed_by_human,policy_evidence_slot,True,production_restore_policy_approval_input.human_filled.local.json,对应材料已由人审过时才设为 true。
production_restore_policy_approval_input.policy_evidence_review.tenant_restore_boundary_approved,policy_evidence_review,True,production_restore_policy_approval_input.human_filled.local.json,只有人工确认真实恢复策略证据存在且已审查时才设为 true。
production_restore_policy_approval_input.source_notes_by_key.tenant_restore_boundary_approved,source_note,True,production_restore_policy_approval_input.human_filled.local.json,填写可追溯来源说明；不要写密钥、客户数据、账号或私人凭据。
production_restore_policy_approval_input.policy_evidence_slots[tenant_restore_boundary_approved].evidence_reference,policy_evidence_slot,True,production_restore_policy_approval_input.human_filled.local.json,填写人工审查材料、政策记录或演练记录引用。
production_restore_policy_approval_input.policy_evidence_slots[tenant_restore_boundary_approved].owner_named,policy_evidence_slot,True,production_restore_policy_approval_input.human_filled.local.json,对应负责人已明确时才设为 true。
production_restore_policy_approval_input.policy_evidence_slots[tenant_restore_boundary_approved].reviewed_by_human,policy_evidence_slot,True,production_restore_policy_approval_input.human_filled.local.json,对应材料已由人审过时才设为 true。
