blocker_id,category,source_go_no_go_status,source_gap_matrix_status,evidence_or_profile_path_available,human_input_surface_available,requirements_or_review_surface_available,coverage_complete,closure_allowed_by_coverage_audit,blocker_closed_by_coverage_audit,requires_real_human_evidence,requires_separate_execution_request,requires_human_approval,source_gap_matrix_local_evidence_path,required_evidence
production_identity_provider,auth,unsatisfied,open,True,True,True,True,False,False,True,True,True,phase_b_product/commercial_readiness/auth_evidence/auth_evidence.local.json,"Production identity-provider configuration, security review, and operator runbook."
oauth_oidc,auth,unsatisfied,open,True,True,True,True,False,False,True,True,True,phase_b_product/commercial_readiness/auth_evidence/auth_evidence.local.json,"OIDC issuer, client, callback, token validation, and logout behavior evidence."
rbac,auth,unsatisfied,open,True,True,True,True,False,False,True,True,True,phase_b_product/commercial_readiness/auth_evidence/auth_evidence.local.json,"Role model, permission matrix, enforcement tests, and admin recovery process."
tenant_storage_isolation,tenant,unsatisfied,open,True,True,True,True,False,False,True,True,True,phase_b_product/commercial_readiness/tenant_storage_isolation_evidence/tenant_storage_isolation_evidence.local.json,"Tenant-isolated storage design, migration proof, and cross-tenant isolation tests."
production_monitoring,operations,unsatisfied,open,True,True,True,True,False,False,True,True,True,phase_b_product/commercial_readiness/operations_evidence/production_operations_evidence.combined_profile.local.json,"Production metrics, dashboard, retention, alert review, and incident linkage evidence."
external_alert_delivery,operations,unsatisfied,open,True,True,True,True,False,False,True,True,True,phase_b_product/commercial_readiness/operations_evidence/production_operations_evidence.combined_profile.local.json,"External alert destination, escalation route, delivery test, and failure handling evidence."
on_call_rotation,operations,unsatisfied,open,True,True,True,True,False,False,True,True,True,phase_b_product/commercial_readiness/operations_evidence/production_operations_evidence.combined_profile.local.json,"Named on-call process, escalation schedule, handoff rules, and coverage evidence."
sla,support,unsatisfied,open,True,True,True,True,False,False,True,True,True,phase_b_product/commercial_readiness/support_evidence/support_evidence.local.json,"Human-approved SLA terms, exclusions, support hours, and response target approval."
support_contact,support,unsatisfied,open,True,True,True,True,False,False,True,True,True,phase_b_product/commercial_readiness/support_evidence/support_evidence.local.json,"Customer-facing support intake contact, ownership, response procedure, and abuse handling."
customer_support,support,unsatisfied,open,True,True,True,True,False,False,True,True,True,phase_b_product/commercial_readiness/support_evidence/support_evidence.local.json,"Staffed support process, triage workflow, customer communication template, and audit trail."
formal_security_review,privacy_security,unsatisfied,open,True,True,True,True,False,False,True,True,True,phase_b_product/commercial_readiness/privacy_security_legal_evidence/privacy_security_legal_evidence.local.json,"Completed security review report covering public shell, deployment, data, and access control."
privacy_legal_review,privacy_security,unsatisfied,open,True,True,True,True,False,False,True,True,True,phase_b_product/commercial_readiness/privacy_security_legal_evidence/privacy_security_legal_evidence.local.json,"Completed legal privacy review for collected data, processors, notices, and retention."
data_processing_agreement,privacy_security,unsatisfied,open,True,True,True,True,False,False,True,True,True,phase_b_product/commercial_readiness/privacy_security_legal_evidence/privacy_security_legal_evidence.local.json,Approved DPA or equivalent customer data-processing agreement ready for use.
vulnerability_management,privacy_security,unsatisfied,open,True,True,True,True,False,False,True,True,True,phase_b_product/commercial_readiness/privacy_security_legal_evidence/privacy_security_legal_evidence.local.json,"Vulnerability disclosure policy, triage process, remediation targets, and security contact."
pilot_results,validation,unsatisfied,open,True,True,True,True,False,False,True,True,True,phase_b_product/commercial_readiness/customer_validation_evidence/customer_validation_evidence.local.json,"Recorded pilot sessions, user feedback, failure notes, and permission to use evidence."
customer_validated,validation,unsatisfied,open,True,True,True,True,False,False,True,True,True,phase_b_product/commercial_readiness/customer_validation_evidence/customer_validation_evidence.local.json,Real customer validation evidence reviewed and approved for use in product claims.
pricing_page,billing,unsatisfied,open,True,True,True,True,False,False,True,True,True,phase_b_product/commercial_readiness/billing_revenue_evidence/billing_revenue_evidence.local.json,Human-approved public pricing or packaging page with current commercial terms.
payment_provider,billing,unsatisfied,open,True,True,True,True,False,False,True,True,True,phase_b_product/commercial_readiness/billing_revenue_evidence/billing_revenue_evidence.local.json,Configured payment provider in the intended environment with checkout disabled until approval.
invoice_process,billing,unsatisfied,open,True,True,True,True,False,False,True,True,True,phase_b_product/commercial_readiness/billing_revenue_evidence/billing_revenue_evidence.local.json,"Invoice workflow, contract handoff, bookkeeping process, and payment reconciliation evidence."
tax_review,billing,unsatisfied,open,True,True,True,True,False,False,True,True,True,phase_b_product/commercial_readiness/billing_revenue_evidence/billing_revenue_evidence.local.json,"Tax review for target jurisdictions, invoice wording, and payment collection process."
refund_policy,billing,unsatisfied,open,True,True,True,True,False,False,True,True,True,phase_b_product/commercial_readiness/billing_revenue_evidence/billing_revenue_evidence.local.json,Human-approved refund/cancellation policy connected to payment and support processes.
tenant_billing_isolation,billing,unsatisfied,open,True,True,True,True,False,False,True,True,True,phase_b_product/commercial_readiness/billing_revenue_evidence/billing_revenue_evidence.local.json,"Tenant-aware billing records, invoice partitioning, and payment-event isolation evidence."
restore_tested,data_ops,unsatisfied,open,True,True,True,True,False,False,True,True,True,phase_b_product/commercial_readiness/data_operations_evidence/production_data_operations_evidence.combined_profile.local.json,"Successful restore test with manifest, scope, non-live path proof, and operator review."
production_restore_policy,data_ops,unsatisfied,open,True,True,True,True,False,False,True,True,True,phase_b_product/commercial_readiness/data_operations_evidence/production_data_operations_evidence.combined_profile.local.json,Approved production restore policy with RPO/RTO targets and drill cadence.
