quick_fill_row_id,workbook_row_id,blocker_id,owner_review_lane,input_group,input_key,input_kind,expected_value_shape,mapping_resolved,target_csv_ok,target_column_ok,human_value_present,import_ready,row_status,value_imported_to_workbook,value_transferred,template_written
QF-001,WB-001,support_contact,support_operations,first_owner_input,assigned_human_owner,support_contact_bridge_field,human-approved support-contact bridge value,True,True,True,True,True,ready_for_apply,False,False,False
QF-002,WB-002,support_contact,support_operations,first_owner_input,owner_contact_reference,support_contact_bridge_field,human-approved support-contact bridge value,True,True,True,True,True,ready_for_apply,False,False,False
QF-003,WB-003,support_contact,support_operations,first_owner_input,target_review_date,support_contact_bridge_field,human-approved support-contact bridge value,True,True,True,True,True,ready_for_apply,False,False,False
QF-004,WB-004,support_contact,support_operations,first_owner_input,owner_acknowledged_scope,support_contact_bridge_field,human-approved support-contact bridge value,True,True,True,True,True,ready_for_apply,False,False,False
QF-005,WB-005,support_contact,support_operations,first_owner_input,human_approval_reference,support_contact_bridge_field,human-approved support-contact bridge value,True,True,True,True,True,ready_for_apply,False,False,False
QF-006,WB-006,support_contact,support_operations,support_contact_decision_metadata,human_reviewer_name,support_contact_bridge_field,human-approved support-contact bridge value,True,True,True,True,True,ready_for_apply,False,False,False
QF-007,WB-007,support_contact,support_operations,support_contact_decision_metadata,review_date,support_contact_bridge_field,human-approved support-contact bridge value,True,True,True,True,True,ready_for_apply,False,False,False
QF-008,WB-008,support_contact,support_operations,support_contact_decision_metadata,selected_support_contact_channel,support_contact_bridge_field,human-approved support-contact bridge value,True,True,True,True,True,ready_for_apply,False,False,False
QF-009,WB-009,support_contact,support_operations,support_contact_decision_metadata,decision_summary,support_contact_bridge_field,human-approved support-contact bridge value,True,True,True,True,True,ready_for_apply,False,False,False
QF-010,WB-010,support_contact,support_operations,support_contact_evidence_review,abuse_handling_path_defined,support_contact_bridge_field,human-approved support-contact bridge value,True,True,True,True,True,ready_for_apply,False,False,False
QF-011,WB-011,support_contact,support_operations,support_contact_evidence_review,customer_facing_support_contact_configured,support_contact_bridge_field,human-approved support-contact bridge value,True,True,True,True,True,ready_for_apply,False,False,False
QF-012,WB-012,support_contact,support_operations,support_contact_evidence_review,customer_notice_route_defined,support_contact_bridge_field,human-approved support-contact bridge value,True,True,True,True,True,ready_for_apply,False,False,False
QF-013,WB-013,support_contact,support_operations,support_contact_evidence_review,support_contact_owner_named,support_contact_bridge_field,human-approved support-contact bridge value,True,True,True,True,True,ready_for_apply,False,False,False
QF-014,WB-014,support_contact,support_operations,support_contact_evidence_review,support_contact_test_recorded,support_contact_bridge_field,human-approved support-contact bridge value,True,True,True,True,True,ready_for_apply,False,False,False
QF-015,WB-015,support_contact,support_operations,support_contact_candidate_slot,support_contact_candidate_a,support_contact_bridge_field,human-approved support-contact bridge value,True,True,True,True,True,ready_for_apply,False,False,False
QF-016,WB-017,pricing_page,commercial_finance_legal,metadata_fields_to_fill,human_reviewer_name,metadata_field,human-reviewed metadata value,True,True,True,True,True,ready_for_apply,False,False,False
QF-017,WB-018,pricing_page,commercial_finance_legal,metadata_fields_to_fill,review_date,metadata_field,human-reviewed metadata value,True,True,True,True,True,ready_for_apply,False,False,False
QF-018,WB-019,pricing_page,commercial_finance_legal,metadata_fields_to_fill,commercial_owner,metadata_field,human-reviewed metadata value,True,True,True,True,True,ready_for_apply,False,False,False
QF-019,WB-020,pricing_page,commercial_finance_legal,metadata_fields_to_fill,product_owner,metadata_field,human-reviewed metadata value,True,True,True,True,True,ready_for_apply,False,False,False
QF-020,WB-021,pricing_page,commercial_finance_legal,metadata_fields_to_fill,accounting_owner,metadata_field,human-reviewed metadata value,True,True,True,True,True,ready_for_apply,False,False,False
QF-021,WB-022,pricing_page,commercial_finance_legal,metadata_fields_to_fill,legal_owner,metadata_field,human-reviewed metadata value,True,True,True,True,True,ready_for_apply,False,False,False
QF-022,WB-023,pricing_page,commercial_finance_legal,metadata_fields_to_fill,billing_owner,metadata_field,human-reviewed metadata value,True,True,True,True,True,ready_for_apply,False,False,False
QF-023,WB-024,pricing_page,commercial_finance_legal,metadata_fields_to_fill,review_record_reference,metadata_field,human-reviewed metadata value,True,True,True,True,True,ready_for_apply,False,False,False
QF-024,WB-025,pricing_page,commercial_finance_legal,metadata_fields_to_fill,decision_summary,metadata_field,human-reviewed metadata value,True,True,True,True,True,ready_for_apply,False,False,False
QF-025,WB-026,pricing_page,commercial_finance_legal,pricing_page_keys_to_review,human_approved_pricing_page_copy,evidence_review_key,human evidence review outcome,True,True,True,True,True,ready_for_apply,False,False,False
QF-026,WB-027,pricing_page,commercial_finance_legal,pricing_page_keys_to_review,approved_plan_and_usage_terms,evidence_review_key,human evidence review outcome,True,True,True,True,True,ready_for_apply,False,False,False
QF-027,WB-028,pricing_page,commercial_finance_legal,pricing_page_keys_to_review,legal_review_completed,evidence_review_key,human evidence review outcome,True,True,True,True,True,ready_for_apply,False,False,False
QF-028,WB-029,pricing_page,commercial_finance_legal,pricing_page_keys_to_review,production_readiness_non_claim_reviewed,evidence_review_key,human evidence review outcome,True,True,True,True,True,ready_for_apply,False,False,False
