workbook_row_id,blocker_id,owner_review_lane,input_group,input_key,input_kind,human_must_fill,minimum_required,codex_may_fill,human_value_placeholder,source_path,source_prompt,human_filled_input_target,status,notes
WB-001,support_contact,support_operations,first_owner_input,assigned_human_owner,support_contact_bridge_field,True,True,False,张斌,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/first_owner_input.template.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,imported_from_quick_fill_pending_validator,Required before validator import; does not assign an owner by Codex. Imported from human-filled quick-fill CSV by explicit human-approved importer.
WB-002,support_contact,support_operations,first_owner_input,owner_contact_reference,support_contact_bridge_field,True,True,False,contact reference：负责人邮箱已由本地人工记录保管；发布前单独确认。,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/first_owner_input.template.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,imported_from_quick_fill_pending_validator,Required before validator import; does not assign an owner by Codex. Imported from human-filled quick-fill CSV by explicit human-approved importer.
WB-003,support_contact,support_operations,first_owner_input,target_review_date,support_contact_bridge_field,True,True,False,2026-07-10,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/first_owner_input.template.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,imported_from_quick_fill_pending_validator,Required before validator import; does not assign an owner by Codex. Imported from human-filled quick-fill CSV by explicit human-approved importer.
WB-004,support_contact,support_operations,first_owner_input,owner_acknowledged_scope,support_contact_bridge_field,True,True,False,是：scope review 本人确认只进行支持入口审查；不代表产品正式上线。,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/first_owner_input.template.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,imported_from_quick_fill_pending_validator,Required before validator import; does not assign an owner by Codex. Imported from human-filled quick-fill CSV by explicit human-approved importer.
WB-005,support_contact,support_operations,first_owner_input,human_approval_reference,support_contact_bridge_field,True,True,False,approval reference：本轮 Codex 对话中用户确认全部按推荐确认；仅授权本地证据输入记录。,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/first_owner_input.template.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,imported_from_quick_fill_pending_validator,Required before validator import; does not assign an owner by Codex. Imported from human-filled quick-fill CSV by explicit human-approved importer.
WB-006,support_contact,support_operations,support_contact_decision_metadata,human_reviewer_name,support_contact_bridge_field,True,True,False,张斌,phase_b_product/commercial_readiness/support_evidence/support_contact_decision_input.template.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,imported_from_quick_fill_pending_validator,Human review metadata for support contact decision input. Imported from human-filled quick-fill CSV by explicit human-approved importer.
WB-007,support_contact,support_operations,support_contact_decision_metadata,review_date,support_contact_bridge_field,True,True,False,2026-07-09,phase_b_product/commercial_readiness/support_evidence/support_contact_decision_input.template.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,imported_from_quick_fill_pending_validator,Human review metadata for support contact decision input. Imported from human-filled quick-fill CSV by explicit human-approved importer.
WB-008,support_contact,support_operations,support_contact_decision_metadata,selected_support_contact_channel,support_contact_bridge_field,True,True,False,channel decision：暂定邮箱支持入口；发布前仍需单独人工确认公开地址。,phase_b_product/commercial_readiness/support_evidence/support_contact_decision_input.template.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,imported_from_quick_fill_pending_validator,Human review metadata for support contact decision input. Imported from human-filled quick-fill CSV by explicit human-approved importer.
WB-009,support_contact,support_operations,support_contact_decision_metadata,decision_summary,support_contact_bridge_field,True,True,False,decision summary：暂定使用邮箱作为后续支持入口候选；当前只记录审查决策；不代表已对客户开放。,phase_b_product/commercial_readiness/support_evidence/support_contact_decision_input.template.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,imported_from_quick_fill_pending_validator,Human review metadata for support contact decision input. Imported from human-filled quick-fill CSV by explicit human-approved importer.
WB-010,support_contact,support_operations,support_contact_evidence_review,abuse_handling_path_defined,support_contact_bridge_field,True,True,False,否：滥用或异常请求处理路径尚未人工确认。,phase_b_product/commercial_readiness/support_evidence/support_contact_decision_input.template.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,imported_from_quick_fill_pending_validator,Set true only after human source note and review. Imported from human-filled quick-fill CSV by explicit human-approved importer.
WB-011,support_contact,support_operations,support_contact_evidence_review,customer_facing_support_contact_configured,support_contact_bridge_field,True,True,False,否：尚未配置客户可见支持入口；当前只记录候选支持入口。,phase_b_product/commercial_readiness/support_evidence/support_contact_decision_input.template.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,imported_from_quick_fill_pending_validator,Set true only after human source note and review. Imported from human-filled quick-fill CSV by explicit human-approved importer.
WB-012,support_contact,support_operations,support_contact_evidence_review,customer_notice_route_defined,support_contact_bridge_field,True,True,False,否：客户通知路径尚未定义；发布前需要单独确认。,phase_b_product/commercial_readiness/support_evidence/support_contact_decision_input.template.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,imported_from_quick_fill_pending_validator,Set true only after human source note and review. Imported from human-filled quick-fill CSV by explicit human-approved importer.
WB-013,support_contact,support_operations,support_contact_evidence_review,support_contact_owner_named,support_contact_bridge_field,True,True,False,是：支持入口负责人暂定为张斌；发布前仍需最终确认。,phase_b_product/commercial_readiness/support_evidence/support_contact_decision_input.template.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,imported_from_quick_fill_pending_validator,Set true only after human source note and review. Imported from human-filled quick-fill CSV by explicit human-approved importer.
WB-014,support_contact,support_operations,support_contact_evidence_review,support_contact_test_recorded,support_contact_bridge_field,True,True,False,否：支持入口测试尚未记录；不得关闭 blocker。,phase_b_product/commercial_readiness/support_evidence/support_contact_decision_input.template.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,imported_from_quick_fill_pending_validator,Set true only after human source note and review. Imported from human-filled quick-fill CSV by explicit human-approved importer.
WB-015,support_contact,support_operations,support_contact_candidate_slot,support_contact_candidate_a,support_contact_bridge_field,True,True,False,邮箱支持入口候选：由负责人在发布前单独确认公开地址；当前不公开具体邮箱。,phase_b_product/commercial_readiness/support_evidence/support_contact_decision_input.template.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,imported_from_quick_fill_pending_validator,At least one candidate slot must be completed by a human. Imported from human-filled quick-fill CSV by explicit human-approved importer.
WB-016,support_contact,support_operations,support_contact_candidate_slot,support_contact_candidate_b,support_contact_bridge_field,True,False,False,,phase_b_product/commercial_readiness/support_evidence/support_contact_decision_input.template.json,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_human_input_bridge_input.human_filled.local.json,pending_human_input,At least one candidate slot must be completed by a human.
WB-017,pricing_page,commercial_finance_legal,metadata_fields_to_fill,human_reviewer_name,metadata_field,True,True,False,张斌,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.template.json,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_approval_input_prompt.md,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.human_filled.local.json,imported_from_quick_fill_pending_validator,Human must fill or review this item before validator import. Imported from human-filled quick-fill CSV by explicit human-approved importer.
WB-018,pricing_page,commercial_finance_legal,metadata_fields_to_fill,review_date,metadata_field,True,True,False,2026-07-09,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.template.json,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_approval_input_prompt.md,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.human_filled.local.json,imported_from_quick_fill_pending_validator,Human must fill or review this item before validator import. Imported from human-filled quick-fill CSV by explicit human-approved importer.
