quick_fill_row_id,queue_item_id,workbook_row_id,blocker_id,owner_review_lane,input_group,input_key,value_present,note_present,unsafe_pattern_count,warning_pattern_count,unsafe_patterns,warning_patterns,row_status
QF-001,HIQ-001,WB-001,support_contact,support_operations,first_owner_input,assigned_human_owner,True,True,0,0,,,safe_or_blank
QF-002,HIQ-002,WB-002,support_contact,support_operations,first_owner_input,owner_contact_reference,True,True,0,0,,,safe_or_blank
QF-003,HIQ-003,WB-003,support_contact,support_operations,first_owner_input,target_review_date,True,True,0,0,,,safe_or_blank
QF-004,HIQ-004,WB-004,support_contact,support_operations,first_owner_input,owner_acknowledged_scope,True,True,0,0,,,safe_or_blank
QF-005,HIQ-005,WB-005,support_contact,support_operations,first_owner_input,human_approval_reference,True,True,0,0,,,safe_or_blank
QF-006,HIQ-006,WB-006,support_contact,support_operations,support_contact_decision_metadata,human_reviewer_name,True,True,0,0,,,safe_or_blank
QF-007,HIQ-007,WB-007,support_contact,support_operations,support_contact_decision_metadata,review_date,True,True,0,0,,,safe_or_blank
QF-008,HIQ-008,WB-008,support_contact,support_operations,support_contact_decision_metadata,selected_support_contact_channel,True,True,0,0,,,safe_or_blank
QF-009,HIQ-009,WB-009,support_contact,support_operations,support_contact_decision_metadata,decision_summary,True,True,0,0,,,safe_or_blank
QF-010,HIQ-010,WB-010,support_contact,support_operations,support_contact_evidence_review,abuse_handling_path_defined,True,True,0,0,,,safe_or_blank
QF-011,HIQ-011,WB-011,support_contact,support_operations,support_contact_evidence_review,customer_facing_support_contact_configured,True,True,0,0,,,safe_or_blank
QF-012,HIQ-012,WB-012,support_contact,support_operations,support_contact_evidence_review,customer_notice_route_defined,True,True,0,0,,,safe_or_blank
QF-013,HIQ-013,WB-013,support_contact,support_operations,support_contact_evidence_review,support_contact_owner_named,True,True,0,0,,,safe_or_blank
QF-014,HIQ-014,WB-014,support_contact,support_operations,support_contact_evidence_review,support_contact_test_recorded,True,True,0,0,,,safe_or_blank
QF-015,HIQ-015,WB-015,support_contact,support_operations,support_contact_candidate_slot,support_contact_candidate_a,True,True,0,0,,,safe_or_blank
QF-016,HIQ-016,WB-017,pricing_page,commercial_finance_legal,metadata_fields_to_fill,human_reviewer_name,True,True,0,0,,,safe_or_blank
QF-017,HIQ-017,WB-018,pricing_page,commercial_finance_legal,metadata_fields_to_fill,review_date,True,True,0,0,,,safe_or_blank
QF-018,HIQ-018,WB-019,pricing_page,commercial_finance_legal,metadata_fields_to_fill,commercial_owner,True,True,0,0,,,safe_or_blank
QF-019,HIQ-019,WB-020,pricing_page,commercial_finance_legal,metadata_fields_to_fill,product_owner,True,True,0,0,,,safe_or_blank
