phase_1_record_id,source_collection_record_id,priority_rank,priority_tier,blocker_id,evidence_file_type,evidence_key,gap_status,local_public_shell_value,production_evidence_missing,owner_review_lane,builder_flag_path,builder_source_note_path,human_fill_status,accepted_for_blocker_closure,execution_authorized,evidence_collection_authorized,required_human_action
P1-ECP-001,ECP-002,1,missing_production_evidence,production_identity_provider,production_auth_evidence,identity_provider_admin_owner_named,missing_external_or_human_production_evidence,False,True,engineering_security,evidence_review.identity_provider_admin_owner_named,source_notes_by_key.identity_provider_admin_owner_named,not_started,False,False,False,"Provide real source evidence and reviewer note, then set the matching builder evidence_review flag only after human approval."
P1-ECP-002,ECP-005,2,missing_production_evidence,production_identity_provider,production_auth_evidence,jwks_rotation_policy_reviewed,missing_external_or_human_production_evidence,False,True,engineering_security,evidence_review.jwks_rotation_policy_reviewed,source_notes_by_key.jwks_rotation_policy_reviewed,not_started,False,False,False,"Provide real source evidence and reviewer note, then set the matching builder evidence_review flag only after human approval."
P1-ECP-003,ECP-004,3,missing_production_evidence,production_identity_provider,production_auth_evidence,oidc_audience_approved,missing_external_or_human_production_evidence,False,True,engineering_security,evidence_review.oidc_audience_approved,source_notes_by_key.oidc_audience_approved,not_started,False,False,False,"Provide real source evidence and reviewer note, then set the matching builder evidence_review flag only after human approval."
P1-ECP-004,ECP-003,4,missing_production_evidence,production_identity_provider,production_auth_evidence,oidc_issuer_verified,missing_external_or_human_production_evidence,False,True,engineering_security,evidence_review.oidc_issuer_verified,source_notes_by_key.oidc_issuer_verified,not_started,False,False,False,"Provide real source evidence and reviewer note, then set the matching builder evidence_review flag only after human approval."
P1-ECP-005,ECP-001,5,missing_production_evidence,production_identity_provider,production_auth_evidence,production_identity_provider_selected,missing_external_or_human_production_evidence,False,True,engineering_security,evidence_review.production_identity_provider_selected,source_notes_by_key.production_identity_provider_selected,not_started,False,False,False,"Provide real source evidence and reviewer note, then set the matching builder evidence_review flag only after human approval."
P1-ECP-006,ECP-010,6,missing_production_evidence,oauth_oidc,production_auth_evidence,auth_failure_handling_reviewed,missing_external_or_human_production_evidence,False,True,engineering_security,evidence_review.auth_failure_handling_reviewed,source_notes_by_key.auth_failure_handling_reviewed,not_started,False,False,False,"Provide real source evidence and reviewer note, then set the matching builder evidence_review flag only after human approval."
P1-ECP-007,ECP-008,7,missing_production_evidence,oauth_oidc,production_auth_evidence,claims_mapping_reviewed,missing_external_or_human_production_evidence,False,True,engineering_security,evidence_review.claims_mapping_reviewed,source_notes_by_key.claims_mapping_reviewed,not_started,False,False,False,"Provide real source evidence and reviewer note, then set the matching builder evidence_review flag only after human approval."
P1-ECP-008,ECP-006,8,missing_production_evidence,oauth_oidc,production_auth_evidence,oauth_oidc_flow_approved,missing_external_or_human_production_evidence,False,True,engineering_security,evidence_review.oauth_oidc_flow_approved,source_notes_by_key.oauth_oidc_flow_approved,not_started,False,False,False,"Provide real source evidence and reviewer note, then set the matching builder evidence_review flag only after human approval."
P1-ECP-009,ECP-009,9,missing_production_evidence,oauth_oidc,production_auth_evidence,session_expiry_policy_approved,missing_external_or_human_production_evidence,False,True,engineering_security,evidence_review.session_expiry_policy_approved,source_notes_by_key.session_expiry_policy_approved,not_started,False,False,False,"Provide real source evidence and reviewer note, then set the matching builder evidence_review flag only after human approval."
P1-ECP-010,ECP-007,10,missing_production_evidence,oauth_oidc,production_auth_evidence,token_validation_test_recorded,missing_external_or_human_production_evidence,False,True,engineering_security,evidence_review.token_validation_test_recorded,source_notes_by_key.token_validation_test_recorded,not_started,False,False,False,"Provide real source evidence and reviewer note, then set the matching builder evidence_review flag only after human approval."
P1-ECP-011,ECP-015,11,missing_production_evidence,rbac,production_auth_evidence,admin_recovery_policy_reviewed,missing_human_production_evidence,False,True,engineering_security,evidence_review.admin_recovery_policy_reviewed,source_notes_by_key.admin_recovery_policy_reviewed,not_started,False,False,False,"Provide real source evidence and reviewer note, then set the matching builder evidence_review flag only after human approval."
P1-ECP-012,ECP-014,12,missing_production_evidence,rbac,production_auth_evidence,least_privilege_reviewed,missing_human_production_evidence,False,True,engineering_security,evidence_review.least_privilege_reviewed,source_notes_by_key.least_privilege_reviewed,not_started,False,False,False,"Provide real source evidence and reviewer note, then set the matching builder evidence_review flag only after human approval."
P1-ECP-013,ECP-011,13,missing_production_evidence,rbac,production_auth_evidence,rbac_policy_approved,missing_human_production_evidence,False,True,engineering_security,evidence_review.rbac_policy_approved,source_notes_by_key.rbac_policy_approved,not_started,False,False,False,"Provide real source evidence and reviewer note, then set the matching builder evidence_review flag only after human approval."
P1-ECP-014,ECP-012,14,local_public_shell_requires_human_approval,rbac,production_auth_evidence,role_matrix_reviewed,local_public_shell_evidence_present_requires_human_production_approval,True,False,engineering_security,evidence_review.role_matrix_reviewed,source_notes_by_key.role_matrix_reviewed,not_started,False,False,False,"Provide real source evidence and reviewer note, then set the matching builder evidence_review flag only after human approval."
P1-ECP-015,ECP-013,15,local_public_shell_requires_human_approval,rbac,production_auth_evidence,tenant_role_boundary_reviewed,local_public_shell_evidence_present_requires_human_production_approval,True,False,engineering_security,evidence_review.tenant_role_boundary_reviewed,source_notes_by_key.tenant_role_boundary_reviewed,not_started,False,False,False,"Provide real source evidence and reviewer note, then set the matching builder evidence_review flag only after human approval."
P1-ECP-016,ECP-032,16,missing_production_evidence,tenant_storage_isolation,production_tenant_storage_evidence,privacy_legal_review_completed,missing_human_production_evidence,False,True,engineering_data_security,evidence_review.privacy_legal_review_completed,source_notes_by_key.privacy_legal_review_completed,not_started,False,False,False,"Provide real source evidence and reviewer note, then set the matching builder evidence_review flag only after human approval."
