field_id,group,required,where_to_fill,human_instruction
formal_security_review_evidence_input.human_reviewer_name,metadata,True,formal_security_review_evidence_input.human_filled.local.json,由人填写真实安全审查信息；Codex 不能代填。
formal_security_review_evidence_input.review_date,metadata,True,formal_security_review_evidence_input.human_filled.local.json,由人填写真实安全审查信息；Codex 不能代填。
formal_security_review_evidence_input.security_review_owner,metadata,True,formal_security_review_evidence_input.human_filled.local.json,由人填写真实安全审查信息；Codex 不能代填。
formal_security_review_evidence_input.report_reference,metadata,True,formal_security_review_evidence_input.human_filled.local.json,由人填写真实安全审查信息；Codex 不能代填。
formal_security_review_evidence_input.decision_summary,metadata,True,formal_security_review_evidence_input.human_filled.local.json,由人填写真实安全审查信息；Codex 不能代填。
formal_security_review_evidence_input.evidence_review.auth_and_tenant_boundary_reviewed,evidence_review,True,formal_security_review_evidence_input.human_filled.local.json,只有人工确认真实安全审查证据存在时才设为 true。
formal_security_review_evidence_input.source_notes_by_key.auth_and_tenant_boundary_reviewed,source_note,True,formal_security_review_evidence_input.human_filled.local.json,填写可追溯来源说明；不要写密钥、账号、客户数据或私人凭据。
formal_security_review_evidence_input.review_artifacts[auth_and_tenant_boundary_reviewed].artifact_reference,review_artifact,True,formal_security_review_evidence_input.human_filled.local.json,填写人工审查报告、范围记录或审批材料引用。
formal_security_review_evidence_input.review_artifacts[auth_and_tenant_boundary_reviewed].owner_named,review_artifact,True,formal_security_review_evidence_input.human_filled.local.json,对应负责人已明确时才设为 true。
formal_security_review_evidence_input.review_artifacts[auth_and_tenant_boundary_reviewed].reviewed_by_human,review_artifact,True,formal_security_review_evidence_input.human_filled.local.json,对应材料已由人审过时才设为 true。
formal_security_review_evidence_input.evidence_review.dependency_review_completed,evidence_review,True,formal_security_review_evidence_input.human_filled.local.json,只有人工确认真实安全审查证据存在时才设为 true。
formal_security_review_evidence_input.source_notes_by_key.dependency_review_completed,source_note,True,formal_security_review_evidence_input.human_filled.local.json,填写可追溯来源说明；不要写密钥、账号、客户数据或私人凭据。
formal_security_review_evidence_input.review_artifacts[dependency_review_completed].artifact_reference,review_artifact,True,formal_security_review_evidence_input.human_filled.local.json,填写人工审查报告、范围记录或审批材料引用。
formal_security_review_evidence_input.review_artifacts[dependency_review_completed].owner_named,review_artifact,True,formal_security_review_evidence_input.human_filled.local.json,对应负责人已明确时才设为 true。
formal_security_review_evidence_input.review_artifacts[dependency_review_completed].reviewed_by_human,review_artifact,True,formal_security_review_evidence_input.human_filled.local.json,对应材料已由人审过时才设为 true。
formal_security_review_evidence_input.evidence_review.formal_security_review_report,evidence_review,True,formal_security_review_evidence_input.human_filled.local.json,只有人工确认真实安全审查证据存在时才设为 true。
formal_security_review_evidence_input.source_notes_by_key.formal_security_review_report,source_note,True,formal_security_review_evidence_input.human_filled.local.json,填写可追溯来源说明；不要写密钥、账号、客户数据或私人凭据。
formal_security_review_evidence_input.review_artifacts[formal_security_review_report].artifact_reference,review_artifact,True,formal_security_review_evidence_input.human_filled.local.json,填写人工审查报告、范围记录或审批材料引用。
formal_security_review_evidence_input.review_artifacts[formal_security_review_report].owner_named,review_artifact,True,formal_security_review_evidence_input.human_filled.local.json,对应负责人已明确时才设为 true。
formal_security_review_evidence_input.review_artifacts[formal_security_review_report].reviewed_by_human,review_artifact,True,formal_security_review_evidence_input.human_filled.local.json,对应材料已由人审过时才设为 true。
formal_security_review_evidence_input.evidence_review.private_core_non_exposure_review_completed,evidence_review,True,formal_security_review_evidence_input.human_filled.local.json,只有人工确认真实安全审查证据存在时才设为 true。
formal_security_review_evidence_input.source_notes_by_key.private_core_non_exposure_review_completed,source_note,True,formal_security_review_evidence_input.human_filled.local.json,填写可追溯来源说明；不要写密钥、账号、客户数据或私人凭据。
formal_security_review_evidence_input.review_artifacts[private_core_non_exposure_review_completed].artifact_reference,review_artifact,True,formal_security_review_evidence_input.human_filled.local.json,填写人工审查报告、范围记录或审批材料引用。
formal_security_review_evidence_input.review_artifacts[private_core_non_exposure_review_completed].owner_named,review_artifact,True,formal_security_review_evidence_input.human_filled.local.json,对应负责人已明确时才设为 true。
formal_security_review_evidence_input.review_artifacts[private_core_non_exposure_review_completed].reviewed_by_human,review_artifact,True,formal_security_review_evidence_input.human_filled.local.json,对应材料已由人审过时才设为 true。
formal_security_review_evidence_input.evidence_review.public_shell_threat_model_reviewed,evidence_review,True,formal_security_review_evidence_input.human_filled.local.json,只有人工确认真实安全审查证据存在时才设为 true。
formal_security_review_evidence_input.source_notes_by_key.public_shell_threat_model_reviewed,source_note,True,formal_security_review_evidence_input.human_filled.local.json,填写可追溯来源说明；不要写密钥、账号、客户数据或私人凭据。
formal_security_review_evidence_input.review_artifacts[public_shell_threat_model_reviewed].artifact_reference,review_artifact,True,formal_security_review_evidence_input.human_filled.local.json,填写人工审查报告、范围记录或审批材料引用。
formal_security_review_evidence_input.review_artifacts[public_shell_threat_model_reviewed].owner_named,review_artifact,True,formal_security_review_evidence_input.human_filled.local.json,对应负责人已明确时才设为 true。
formal_security_review_evidence_input.review_artifacts[public_shell_threat_model_reviewed].reviewed_by_human,review_artifact,True,formal_security_review_evidence_input.human_filled.local.json,对应材料已由人审过时才设为 true。
formal_security_review_evidence_input.evidence_review.review_findings_triaged,evidence_review,True,formal_security_review_evidence_input.human_filled.local.json,只有人工确认真实安全审查证据存在时才设为 true。
formal_security_review_evidence_input.source_notes_by_key.review_findings_triaged,source_note,True,formal_security_review_evidence_input.human_filled.local.json,填写可追溯来源说明；不要写密钥、账号、客户数据或私人凭据。
formal_security_review_evidence_input.review_artifacts[review_findings_triaged].artifact_reference,review_artifact,True,formal_security_review_evidence_input.human_filled.local.json,填写人工审查报告、范围记录或审批材料引用。
formal_security_review_evidence_input.review_artifacts[review_findings_triaged].owner_named,review_artifact,True,formal_security_review_evidence_input.human_filled.local.json,对应负责人已明确时才设为 true。
formal_security_review_evidence_input.review_artifacts[review_findings_triaged].reviewed_by_human,review_artifact,True,formal_security_review_evidence_input.human_filled.local.json,对应材料已由人审过时才设为 true。
formal_security_review_evidence_input.evidence_review.storage_backup_and_restore_reviewed,evidence_review,True,formal_security_review_evidence_input.human_filled.local.json,只有人工确认真实安全审查证据存在时才设为 true。
formal_security_review_evidence_input.source_notes_by_key.storage_backup_and_restore_reviewed,source_note,True,formal_security_review_evidence_input.human_filled.local.json,填写可追溯来源说明；不要写密钥、账号、客户数据或私人凭据。
formal_security_review_evidence_input.review_artifacts[storage_backup_and_restore_reviewed].artifact_reference,review_artifact,True,formal_security_review_evidence_input.human_filled.local.json,填写人工审查报告、范围记录或审批材料引用。
formal_security_review_evidence_input.review_artifacts[storage_backup_and_restore_reviewed].owner_named,review_artifact,True,formal_security_review_evidence_input.human_filled.local.json,对应负责人已明确时才设为 true。
formal_security_review_evidence_input.review_artifacts[storage_backup_and_restore_reviewed].reviewed_by_human,review_artifact,True,formal_security_review_evidence_input.human_filled.local.json,对应材料已由人审过时才设为 true。
