path,exists,size_bytes,safe_to_upload,reason
README.md,True,307780,True,agent-readable documentation or local readiness evidence
PROJECT_STATUS.md,True,234748,True,agent-readable documentation or local readiness evidence
ROADMAP.md,True,230127,True,agent-readable documentation or local readiness evidence
CHANGELOG.md,True,317013,True,agent-readable documentation or local readiness evidence
agent-readable.md,True,373963,True,agent-readable documentation or local readiness evidence
llms.txt,True,251231,True,agent-readable documentation or local readiness evidence
agent-index.json,True,973390,True,agent-readable documentation or local readiness evidence
agent_recommendation/PRODUCT_FACTS.md,True,3385,True,agent-readable documentation or local readiness evidence
agent_recommendation/PRODUCT_FACTS.json,True,2108,True,agent-readable documentation or local readiness evidence
agent_recommendation/WHEN_TO_RECOMMEND_SAEE.md,True,3746,True,agent-readable documentation or local readiness evidence
agent_recommendation/WHEN_NOT_TO_RECOMMEND_SAEE.md,True,3057,True,agent-readable documentation or local readiness evidence
agent_recommendation/RECOMMENDATION_DECISION_TREE.md,True,2641,True,agent-readable documentation or local readiness evidence
agent_recommendation/BUYER_QUESTIONS_AND_ANSWERS.md,True,3834,True,agent-readable documentation or local readiness evidence
agent_recommendation/VALIDATION_RESULTS.md,True,2849,True,agent-readable documentation or local readiness evidence
agent_recommendation/internal_self_play/SELF_PLAY_RESULTS.md,True,1667,True,agent-readable documentation or local readiness evidence
phase_b_product/landing/for-ai-assistants.html,True,13012,True,agent-readable documentation or local readiness evidence
phase_b_product/commercial_readiness/commercial_readiness_status.md,True,5141,True,agent-readable documentation or local readiness evidence
phase_b_product/commercial_readiness/commercial_readiness_status.local.json,True,8900,True,agent-readable documentation or local readiness evidence
phase_b_product/commercial_readiness/commercial_readiness_status.csv,True,329,True,agent-readable documentation or local readiness evidence
phase_b_product/commercial_readiness/commercial_next_action_summary/commercial_next_action_summary.md,True,5066,True,agent-readable documentation or local readiness evidence
phase_b_product/commercial_readiness/commercial_next_action_summary/commercial_next_action_summary.local.json,True,11874,True,agent-readable documentation or local readiness evidence
phase_b_product/commercial_readiness/CONTROLLED_TRIAL_QUICKSTART_V0_1.md,True,3321,True,agent-readable documentation or local readiness evidence
phase_b_product/commercial_readiness/LOCAL_TRIAL_SESSION_MANAGER_V0_1.md,True,4309,True,agent-readable documentation or local readiness evidence
phase_b_product/commercial_readiness/LOCAL_TRIAL_MAKE_TARGETS_V0_1.md,True,3397,True,agent-readable documentation or local readiness evidence
phase_b_product/validation/LOCAL_TRIAL_PREFLIGHT_SNAPSHOT_V0_1.md,True,1856,True,agent-readable documentation or local readiness evidence
phase_b_product/validation/local_trial_preflight_snapshot.local.json,True,1876,True,agent-readable documentation or local readiness evidence
phase_b_product/validation/LOCAL_TRIAL_COLD_START_PREFLIGHT_V0_1.md,True,1762,True,agent-readable documentation or local readiness evidence
phase_b_product/validation/local_trial_cold_start_preflight.local.json,True,2090,True,agent-readable documentation or local readiness evidence
phase_b_product/validation/local_trial_cold_start_preflight.md,True,2065,True,agent-readable documentation or local readiness evidence
phase_b_product/validation/LOCAL_TRIAL_HTTP_E2E_V0_1.md,True,1169,True,agent-readable documentation or local readiness evidence
phase_b_product/validation/local_trial_http_e2e/local_trial_http_e2e.local.json,True,1803,True,agent-readable documentation or local readiness evidence
phase_b_product/validation/local_trial_http_e2e/local_trial_http_e2e.md,True,1770,True,agent-readable documentation or local readiness evidence
phase_b_product/validation/LOCAL_TRIAL_LIFECYCLE_PROOF_V0_1.md,True,1244,True,agent-readable documentation or local readiness evidence
phase_b_product/validation/local_trial_lifecycle_proof/local_trial_lifecycle_proof.local.json,True,4124,True,agent-readable documentation or local readiness evidence
phase_b_product/validation/local_trial_lifecycle_proof/local_trial_lifecycle_proof.md,True,2354,True,agent-readable documentation or local readiness evidence
phase_b_product/validation/LOCAL_TRIAL_HANDOFF_PACKET_V0_1.md,True,1258,True,agent-readable documentation or local readiness evidence
phase_b_product/validation/local_trial_handoff_packet.local.json,True,2703,True,agent-readable documentation or local readiness evidence
phase_b_product/validation/local_trial_handoff_packet.md,True,2331,True,agent-readable documentation or local readiness evidence
