workbook_row_id,blocker_id,owner_review_lane,input_group,input_key,human_value_present,imported_from_quick_fill,status
WB-001,support_contact,support_operations,first_owner_input,assigned_human_owner,True,True,imported_from_quick_fill_pending_validator
WB-002,support_contact,support_operations,first_owner_input,owner_contact_reference,True,True,imported_from_quick_fill_pending_validator
WB-003,support_contact,support_operations,first_owner_input,target_review_date,True,True,imported_from_quick_fill_pending_validator
WB-004,support_contact,support_operations,first_owner_input,owner_acknowledged_scope,True,True,imported_from_quick_fill_pending_validator
WB-005,support_contact,support_operations,first_owner_input,human_approval_reference,True,True,imported_from_quick_fill_pending_validator
WB-006,support_contact,support_operations,support_contact_decision_metadata,human_reviewer_name,True,True,imported_from_quick_fill_pending_validator
WB-007,support_contact,support_operations,support_contact_decision_metadata,review_date,True,True,imported_from_quick_fill_pending_validator
WB-008,support_contact,support_operations,support_contact_decision_metadata,selected_support_contact_channel,True,True,imported_from_quick_fill_pending_validator
WB-009,support_contact,support_operations,support_contact_decision_metadata,decision_summary,True,True,imported_from_quick_fill_pending_validator
WB-010,support_contact,support_operations,support_contact_evidence_review,abuse_handling_path_defined,True,True,imported_from_quick_fill_pending_validator
WB-011,support_contact,support_operations,support_contact_evidence_review,customer_facing_support_contact_configured,True,True,imported_from_quick_fill_pending_validator
WB-012,support_contact,support_operations,support_contact_evidence_review,customer_notice_route_defined,True,True,imported_from_quick_fill_pending_validator
WB-013,support_contact,support_operations,support_contact_evidence_review,support_contact_owner_named,True,True,imported_from_quick_fill_pending_validator
WB-014,support_contact,support_operations,support_contact_evidence_review,support_contact_test_recorded,True,True,imported_from_quick_fill_pending_validator
WB-015,support_contact,support_operations,support_contact_candidate_slot,support_contact_candidate_a,True,True,imported_from_quick_fill_pending_validator
WB-016,support_contact,support_operations,support_contact_candidate_slot,support_contact_candidate_b,False,False,pending_human_input
WB-017,pricing_page,commercial_finance_legal,metadata_fields_to_fill,human_reviewer_name,True,True,imported_from_quick_fill_pending_validator
WB-018,pricing_page,commercial_finance_legal,metadata_fields_to_fill,review_date,True,True,imported_from_quick_fill_pending_validator
WB-019,pricing_page,commercial_finance_legal,metadata_fields_to_fill,commercial_owner,True,True,imported_from_quick_fill_pending_validator
WB-020,pricing_page,commercial_finance_legal,metadata_fields_to_fill,product_owner,True,True,imported_from_quick_fill_pending_validator
WB-021,pricing_page,commercial_finance_legal,metadata_fields_to_fill,accounting_owner,True,True,imported_from_quick_fill_pending_validator
WB-022,pricing_page,commercial_finance_legal,metadata_fields_to_fill,legal_owner,True,True,imported_from_quick_fill_pending_validator
WB-023,pricing_page,commercial_finance_legal,metadata_fields_to_fill,billing_owner,True,True,imported_from_quick_fill_pending_validator
WB-024,pricing_page,commercial_finance_legal,metadata_fields_to_fill,review_record_reference,True,True,imported_from_quick_fill_pending_validator
WB-025,pricing_page,commercial_finance_legal,metadata_fields_to_fill,decision_summary,True,True,imported_from_quick_fill_pending_validator
WB-026,pricing_page,commercial_finance_legal,pricing_page_keys_to_review,human_approved_pricing_page_copy,True,True,imported_from_quick_fill_pending_validator
WB-027,pricing_page,commercial_finance_legal,pricing_page_keys_to_review,approved_plan_and_usage_terms,True,True,imported_from_quick_fill_pending_validator
WB-028,pricing_page,commercial_finance_legal,pricing_page_keys_to_review,legal_review_completed,True,True,imported_from_quick_fill_pending_validator
WB-029,pricing_page,commercial_finance_legal,pricing_page_keys_to_review,production_readiness_non_claim_reviewed,True,True,imported_from_quick_fill_pending_validator
WB-030,pricing_page,commercial_finance_legal,pricing_page_keys_to_review,pricing_page_publication_approval_recorded,True,True,imported_from_quick_fill_pending_validator
WB-031,formal_security_review,security_legal_privacy,formal_security_review_keys_to_review,auth_and_tenant_boundary_reviewed,True,True,imported_from_quick_fill_pending_validator
WB-032,formal_security_review,security_legal_privacy,formal_security_review_keys_to_review,dependency_review_completed,True,True,imported_from_quick_fill_pending_validator
WB-033,formal_security_review,security_legal_privacy,formal_security_review_keys_to_review,formal_security_review_report,True,True,imported_from_quick_fill_pending_validator
WB-034,formal_security_review,security_legal_privacy,formal_security_review_keys_to_review,private_core_non_exposure_review_completed,True,True,imported_from_quick_fill_pending_validator
WB-035,formal_security_review,security_legal_privacy,formal_security_review_keys_to_review,public_shell_threat_model_reviewed,True,True,imported_from_quick_fill_pending_validator
WB-036,formal_security_review,security_legal_privacy,formal_security_review_keys_to_review,review_findings_triaged,True,True,imported_from_quick_fill_pending_validator
WB-037,formal_security_review,security_legal_privacy,formal_security_review_keys_to_review,storage_backup_and_restore_reviewed,True,True,imported_from_quick_fill_pending_validator
WB-038,formal_security_review,security_legal_privacy,metadata_fields_to_fill,human_reviewer_name,True,True,imported_from_quick_fill_pending_validator
WB-039,formal_security_review,security_legal_privacy,metadata_fields_to_fill,review_date,True,True,imported_from_quick_fill_pending_validator
WB-040,formal_security_review,security_legal_privacy,metadata_fields_to_fill,security_review_owner,True,True,imported_from_quick_fill_pending_validator
WB-041,formal_security_review,security_legal_privacy,metadata_fields_to_fill,report_reference,True,True,imported_from_quick_fill_pending_validator
WB-042,formal_security_review,security_legal_privacy,metadata_fields_to_fill,decision_summary,True,True,imported_from_quick_fill_pending_validator
WB-043,production_restore_policy,data_operations,metadata_fields_to_fill,human_reviewer_name,True,True,imported_from_quick_fill_pending_validator
WB-044,production_restore_policy,data_operations,metadata_fields_to_fill,review_date,True,True,imported_from_quick_fill_pending_validator
WB-045,production_restore_policy,data_operations,metadata_fields_to_fill,data_operations_owner,True,True,imported_from_quick_fill_pending_validator
WB-046,production_restore_policy,data_operations,metadata_fields_to_fill,security_owner,True,True,imported_from_quick_fill_pending_validator
WB-047,production_restore_policy,data_operations,metadata_fields_to_fill,privacy_legal_owner,True,True,imported_from_quick_fill_pending_validator
WB-048,production_restore_policy,data_operations,metadata_fields_to_fill,incident_response_owner,True,True,imported_from_quick_fill_pending_validator
WB-049,production_restore_policy,data_operations,metadata_fields_to_fill,decision_summary,True,True,imported_from_quick_fill_pending_validator
WB-050,production_restore_policy,data_operations,policy_evidence_keys_to_review,backup_retention_policy_approved,True,True,imported_from_quick_fill_pending_validator
WB-051,production_restore_policy,data_operations,policy_evidence_keys_to_review,credential_secret_exclusion_reviewed,True,True,imported_from_quick_fill_pending_validator
WB-052,production_restore_policy,data_operations,policy_evidence_keys_to_review,customer_notification_boundary_approved,True,True,imported_from_quick_fill_pending_validator
WB-053,production_restore_policy,data_operations,policy_evidence_keys_to_review,incident_response_handoff_approved,True,True,imported_from_quick_fill_pending_validator
WB-054,production_restore_policy,data_operations,policy_evidence_keys_to_review,production_restore_policy_approved,True,True,imported_from_quick_fill_pending_validator
WB-055,production_restore_policy,data_operations,policy_evidence_keys_to_review,tenant_restore_boundary_approved,True,True,imported_from_quick_fill_pending_validator
WB-056,production_monitoring,operations_engineering,metadata_fields_to_fill,human_reviewer_name,True,True,imported_from_quick_fill_pending_validator
WB-057,production_monitoring,operations_engineering,metadata_fields_to_fill,review_date,True,True,imported_from_quick_fill_pending_validator
WB-058,production_monitoring,operations_engineering,metadata_fields_to_fill,monitoring_owner,True,True,imported_from_quick_fill_pending_validator
