quick_fill_row_id,queue_item_id,workbook_row_id,blocker_id,owner_review_lane,input_group,input_key,input_kind,human_fill_prompt,human_value_to_enter,notes_for_human,target_workbook_csv,target_workbook_column,target_json_pointer,quick_fill_status,value_imported_to_workbook,value_transferred,template_written
QF-001,HIQ-001,WB-001,support_contact,support_operations,first_owner_input,assigned_human_owner,support_contact_bridge_field,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,张斌,local preview from confirmed values; this artifact is superseded by the complete 64-row confirmed source when present and does not authorize workbook import,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/first_owner_input/assigned_human_owner,preview_value_present_from_initial_confirmed_ledger,False,False,False
QF-002,HIQ-002,WB-002,support_contact,support_operations,first_owner_input,owner_contact_reference,support_contact_bridge_field,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,contact reference：负责人邮箱已由本地人工记录保管；发布前单独确认。,local preview from confirmed values; this artifact is superseded by the complete 64-row confirmed source when present and does not authorize workbook import,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/first_owner_input/owner_contact_reference,preview_value_present_from_initial_confirmed_ledger,False,False,False
QF-003,HIQ-003,WB-003,support_contact,support_operations,first_owner_input,target_review_date,support_contact_bridge_field,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,2026-07-10,local preview from confirmed values; this artifact is superseded by the complete 64-row confirmed source when present and does not authorize workbook import,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/first_owner_input/target_review_date,preview_value_present_from_initial_confirmed_ledger,False,False,False
QF-004,HIQ-004,WB-004,support_contact,support_operations,first_owner_input,owner_acknowledged_scope,support_contact_bridge_field,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,是：scope review 本人确认只进行支持入口审查；不代表产品正式上线。,local preview from confirmed values; this artifact is superseded by the complete 64-row confirmed source when present and does not authorize workbook import,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/first_owner_input/owner_acknowledged_scope,preview_value_present_from_initial_confirmed_ledger,False,False,False
QF-005,HIQ-005,WB-005,support_contact,support_operations,first_owner_input,human_approval_reference,support_contact_bridge_field,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,approval reference：本轮 Codex 对话中用户确认全部按推荐确认；仅授权本地证据输入记录。,local preview from confirmed values; this artifact is superseded by the complete 64-row confirmed source when present and does not authorize workbook import,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/first_owner_input/human_approval_reference,preview_value_present_from_initial_confirmed_ledger,False,False,False
QF-006,HIQ-006,WB-006,support_contact,support_operations,support_contact_decision_metadata,human_reviewer_name,support_contact_bridge_field,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,张斌,local preview from confirmed values; this artifact is superseded by the complete 64-row confirmed source when present and does not authorize workbook import,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/support_contact_decision_input/human_reviewer_name,preview_value_present_from_initial_confirmed_ledger,False,False,False
QF-007,HIQ-007,WB-007,support_contact,support_operations,support_contact_decision_metadata,review_date,support_contact_bridge_field,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,2026-07-09,local preview from confirmed values; this artifact is superseded by the complete 64-row confirmed source when present and does not authorize workbook import,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/support_contact_decision_input/review_date,preview_value_present_from_initial_confirmed_ledger,False,False,False
QF-008,HIQ-008,WB-008,support_contact,support_operations,support_contact_decision_metadata,selected_support_contact_channel,support_contact_bridge_field,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,channel decision：暂定邮箱支持入口；发布前仍需单独人工确认公开地址。,local preview from confirmed values; this artifact is superseded by the complete 64-row confirmed source when present and does not authorize workbook import,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/support_contact_decision_input/selected_support_contact_channel,preview_value_present_from_initial_confirmed_ledger,False,False,False
QF-009,HIQ-009,WB-009,support_contact,support_operations,support_contact_decision_metadata,decision_summary,support_contact_bridge_field,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,decision summary：暂定使用邮箱作为后续支持入口候选；当前只记录审查决策；不代表已对客户开放。,local preview from confirmed values; this artifact is superseded by the complete 64-row confirmed source when present and does not authorize workbook import,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/support_contact_decision_input/decision_summary,preview_value_present_from_initial_confirmed_ledger,False,False,False
QF-010,HIQ-010,WB-010,support_contact,support_operations,support_contact_evidence_review,abuse_handling_path_defined,support_contact_bridge_field,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,否：滥用或异常请求处理路径尚未人工确认。,local preview from confirmed values; this artifact is superseded by the complete 64-row confirmed source when present and does not authorize workbook import,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/support_contact_decision_input/evidence_review/abuse_handling_path_defined,preview_value_present_from_initial_confirmed_ledger,False,False,False
