owner_packet_id,blocker_id,owner_review_lane,worksheet_row_id,quick_fill_row_id,input_group,input_key,input_kind,expected_value_shape,fill_instruction,leave_blank_condition,target_json_pointer,human_value_to_enter,notes_for_human,packet_status,codex_filled_value,workbook_import_performed,validators_run_on_real_input,evidence_collection_authorized,execution_authorized
QFOP-003,production_monitoring,operations_engineering,QFW-055,QF-055,metadata_fields_to_fill,human_reviewer_name,metadata_field,human owner or reviewer identifier,"Use the accountable human role, team, or reviewer reference.","Do not let Codex assign, contact, or infer the owner.",/human_reviewer_name,张斌,human-confirmed value copied from complete local preview; pending safety preflight and separate workbook import approval,human_value_present_unvalidated,False,False,False,False,False
QFOP-003,production_monitoring,operations_engineering,QFW-056,QF-056,metadata_fields_to_fill,review_date,metadata_field,ISO date or review date reference,"Use a human-confirmed date such as YYYY-MM-DD, not an inferred date.","If no date exists yet, leave blank and keep the row pending.",/review_date,2026-07-09,human-confirmed value copied from complete local preview; pending safety preflight and separate workbook import approval,human_value_present_unvalidated,False,False,False,False,False
QFOP-003,production_monitoring,operations_engineering,QFW-057,QF-057,metadata_fields_to_fill,monitoring_owner,metadata_field,human owner or reviewer identifier,"Use the accountable human role, team, or reviewer reference.","Do not let Codex assign, contact, or infer the owner.",/monitoring_owner,张斌（临时监控负责人；正式生产前仍需确认）,human-confirmed value copied from complete local preview; pending safety preflight and separate workbook import approval,human_value_present_unvalidated,False,False,False,False,False
QFOP-003,production_monitoring,operations_engineering,QFW-058,QF-058,metadata_fields_to_fill,operations_reviewer_name,metadata_field,human owner or reviewer identifier,"Use the accountable human role, team, or reviewer reference.","Do not let Codex assign, contact, or infer the owner.",/operations_reviewer_name,张斌（临时运维审查人；正式生产前仍需独立复核）,human-confirmed value copied from complete local preview; pending safety preflight and separate workbook import approval,human_value_present_unvalidated,False,False,False,False,False
QFOP-003,production_monitoring,operations_engineering,QFW-059,QF-059,metadata_fields_to_fill,decision_summary,metadata_field,human-reviewed metadata value,Use the exact value approved by the human reviewer.,Leave blank if the value is not approved.,/decision_summary,decision summary：生产监控仍未启用；当前仅保留本地检查与非生产说明。,human-confirmed value copied from complete local preview; pending safety preflight and separate workbook import approval,human_value_present_unvalidated,False,False,False,False,False
QFOP-003,production_monitoring,operations_engineering,QFW-060,QF-060,monitoring_evidence_keys_to_review,log_retention_reviewed,evidence_review_key,human evidence review outcome,"Use a concise human-reviewed outcome such as true, false, hold, or a short evidence reference.",Only mark true when the referenced evidence exists and has been reviewed by a human.,/evidence_review/log_retention_reviewed,暂缓：日志保留策略尚未正式审查。,human-confirmed value copied from complete local preview; pending safety preflight and separate workbook import approval,human_value_present_unvalidated,False,False,False,False,False
QFOP-003,production_monitoring,operations_engineering,QFW-061,QF-061,monitoring_evidence_keys_to_review,metrics_coverage_approved,evidence_review_key,human evidence review outcome,"Use a concise human-reviewed outcome such as true, false, hold, or a short evidence reference.",Only mark true when the referenced evidence exists and has been reviewed by a human.,/evidence_review/metrics_coverage_approved,否：生产指标覆盖尚未批准。,human-confirmed value copied from complete local preview; pending safety preflight and separate workbook import approval,human_value_present_unvalidated,False,False,False,False,False
QFOP-003,production_monitoring,operations_engineering,QFW-062,QF-062,monitoring_evidence_keys_to_review,monitoring_dry_run_recorded,evidence_review_key,human evidence review outcome,"Use a concise human-reviewed outcome such as true, false, hold, or a short evidence reference.",Only mark true when the referenced evidence exists and has been reviewed by a human.,/evidence_review/monitoring_dry_run_recorded,否：生产监控 dry run 尚未记录；本地 smoke 不等于生产监控。,human-confirmed value copied from complete local preview; pending safety preflight and separate workbook import approval,human_value_present_unvalidated,False,False,False,False,False
QFOP-003,production_monitoring,operations_engineering,QFW-063,QF-063,monitoring_evidence_keys_to_review,production_monitoring_plan_approved,evidence_review_key,human evidence review outcome,"Use a concise human-reviewed outcome such as true, false, hold, or a short evidence reference.",Only mark true when the referenced evidence exists and has been reviewed by a human.,/evidence_review/production_monitoring_plan_approved,否：生产监控方案尚未批准。,human-confirmed value copied from complete local preview; pending safety preflight and separate workbook import approval,human_value_present_unvalidated,False,False,False,False,False
QFOP-003,production_monitoring,operations_engineering,QFW-064,QF-064,monitoring_evidence_keys_to_review,slo_dashboard_defined,evidence_review_key,human evidence review outcome,"Use a concise human-reviewed outcome such as true, false, hold, or a short evidence reference.",Only mark true when the referenced evidence exists and has been reviewed by a human.,/evidence_review/slo_dashboard_defined,否：SLO 仪表盘尚未定义。,human-confirmed value copied from complete local preview; pending safety preflight and separate workbook import approval,human_value_present_unvalidated,False,False,False,False,False
