field_id,group,required,where_to_fill,human_instruction
first_owner_input.assigned_human_owner,first_owner,True,support_contact_human_input_bridge_input.human_filled.local.json,填写负责推进 support_contact 的人名或内部角色。
first_owner_input.owner_contact_reference,first_owner,True,support_contact_human_input_bridge_input.human_filled.local.json,填写内部可追溯的负责人联系方式或工单引用，不要写敏感凭据。
first_owner_input.target_review_date,first_owner,True,support_contact_human_input_bridge_input.human_filled.local.json,填写目标审查日期。
first_owner_input.human_approval_reference,first_owner,True,support_contact_human_input_bridge_input.human_filled.local.json,填写人工批准来源，例如本地会议纪要或内部审批编号。
first_owner_input.owner_acknowledged_scope,first_owner,True,support_contact_human_input_bridge_input.human_filled.local.json,负责人确认只推进支持入口证据，不发布产品、不联系客户。
support_contact_decision_input.human_reviewer_name,decision_metadata,True,support_contact_decision_input.human_filled.local.json,填写实际审查人。
support_contact_decision_input.review_date,decision_metadata,True,support_contact_decision_input.human_filled.local.json,填写审查日期。
support_contact_decision_input.selected_support_contact_channel,decision_metadata,True,support_contact_decision_input.human_filled.local.json,填写被人工选定的支持渠道类型或内部引用。
support_contact_decision_input.decision_summary,decision_metadata,True,support_contact_decision_input.human_filled.local.json,用一句话说明为什么该支持入口可进入下一步本地验证。
support_contact_decision_input.evidence_review.customer_facing_support_contact_configured,evidence_review,True,support_contact_decision_input.human_filled.local.json,只有人工确认真实证据存在时才设为 true。
support_contact_decision_input.source_notes_by_key.customer_facing_support_contact_configured,source_notes,True,support_contact_decision_input.human_filled.local.json,填写人工可追溯来源说明；不要写密钥、密码或私人凭据。
support_contact_decision_input.evidence_review.support_contact_owner_named,evidence_review,True,support_contact_decision_input.human_filled.local.json,只有人工确认真实证据存在时才设为 true。
support_contact_decision_input.source_notes_by_key.support_contact_owner_named,source_notes,True,support_contact_decision_input.human_filled.local.json,填写人工可追溯来源说明；不要写密钥、密码或私人凭据。
support_contact_decision_input.evidence_review.abuse_handling_path_defined,evidence_review,True,support_contact_decision_input.human_filled.local.json,只有人工确认真实证据存在时才设为 true。
support_contact_decision_input.source_notes_by_key.abuse_handling_path_defined,source_notes,True,support_contact_decision_input.human_filled.local.json,填写人工可追溯来源说明；不要写密钥、密码或私人凭据。
support_contact_decision_input.evidence_review.customer_notice_route_defined,evidence_review,True,support_contact_decision_input.human_filled.local.json,只有人工确认真实证据存在时才设为 true。
support_contact_decision_input.source_notes_by_key.customer_notice_route_defined,source_notes,True,support_contact_decision_input.human_filled.local.json,填写人工可追溯来源说明；不要写密钥、密码或私人凭据。
support_contact_decision_input.evidence_review.support_contact_test_recorded,evidence_review,True,support_contact_decision_input.human_filled.local.json,只有人工确认真实证据存在时才设为 true。
support_contact_decision_input.source_notes_by_key.support_contact_test_recorded,source_notes,True,support_contact_decision_input.human_filled.local.json,填写人工可追溯来源说明；不要写密钥、密码或私人凭据。
support_contact_decision_input.candidate_contact_slots[minimum_one_complete],candidate_contact_slot,True,support_contact_decision_input.human_filled.local.json,至少补全一个候选支持入口槽位；只记录人工批准的公开/可公开信息。
