quick_fill_row_id,queue_item_id,workbook_row_id,blocker_id,owner_review_lane,input_group,input_key,input_kind,human_fill_prompt,human_value_to_enter,notes_for_human,target_workbook_csv,target_workbook_column,target_json_pointer,quick_fill_status,value_imported_to_workbook,value_transferred,template_written
QF-001,HIQ-001,WB-001,support_contact,support_operations,first_owner_input,assigned_human_owner,support_contact_bridge_field,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,张斌,owner review：用户确认负责人为张斌；仅用于本地支持入口审查；不代表正式上线。,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/first_owner_input/assigned_human_owner,human_filled_from_review_batch_template_pending_validator,False,False,False
QF-002,HIQ-002,WB-002,support_contact,support_operations,first_owner_input,owner_contact_reference,support_contact_bridge_field,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,contact reference：负责人邮箱已由本地人工记录保管；发布前单独确认。,contact boundary：模板不写入直接邮箱；不对外发布支持入口。,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/first_owner_input/owner_contact_reference,human_filled_from_review_batch_template_pending_validator,False,False,False
QF-003,HIQ-003,WB-003,support_contact,support_operations,first_owner_input,target_review_date,support_contact_bridge_field,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,2026-07-10,date review：用户填写 7-10；按当前年份规范化为 ISO 日期。,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/first_owner_input/target_review_date,human_filled_from_review_batch_template_pending_validator,False,False,False
QF-004,HIQ-004,WB-004,support_contact,support_operations,first_owner_input,owner_acknowledged_scope,support_contact_bridge_field,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,是：scope review 本人确认只进行支持入口审查；不代表产品正式上线。,approval scope：该确认仅用于本地证据输入；不授权联系客户。,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/first_owner_input/owner_acknowledged_scope,human_filled_from_review_batch_template_pending_validator,False,False,False
QF-005,HIQ-005,WB-005,support_contact,support_operations,first_owner_input,human_approval_reference,support_contact_bridge_field,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,approval reference：本轮 Codex 对话中用户确认全部按推荐确认；仅授权本地证据输入。,approval boundary：不授权发布；不授权客户联系；不授权正式运营声明。,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/first_owner_input/human_approval_reference,human_filled_from_review_batch_template_pending_validator,False,False,False
QF-006,HIQ-006,WB-006,support_contact,support_operations,support_contact_decision_metadata,human_reviewer_name,support_contact_bridge_field,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,张斌,reviewer record：用户确认由张斌执行本次人工审查。,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/support_contact_decision_input/human_reviewer_name,human_filled_from_review_batch_template_pending_validator,False,False,False
QF-007,HIQ-007,WB-007,support_contact,support_operations,support_contact_decision_metadata,review_date,support_contact_bridge_field,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,2026-07-09,date record：按当前本地日期记录审查日期。,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/support_contact_decision_input/review_date,human_filled_from_review_batch_template_pending_validator,False,False,False
QF-008,HIQ-008,WB-008,support_contact,support_operations,support_contact_decision_metadata,selected_support_contact_channel,support_contact_bridge_field,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,channel decision：暂定邮箱支持入口；发布前仍需单独人工确认。,status hold：当前仅记录候选支持入口；不对外开放。,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/support_contact_decision_input/selected_support_contact_channel,human_filled_from_review_batch_template_pending_validator,False,False,False
QF-009,HIQ-009,WB-009,support_contact,support_operations,support_contact_decision_metadata,decision_summary,support_contact_bridge_field,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,decision summary：暂定使用邮箱作为后续支持入口候选；当前只记录审查决策；不代表已对客户开放。,decision boundary：正式启用支持入口前需要单独人工确认。,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/support_contact_decision_input/decision_summary,human_filled_from_review_batch_template_pending_validator,False,False,False
QF-010,HIQ-010,WB-010,support_contact,support_operations,support_contact_evidence_review,abuse_handling_path_defined,support_contact_bridge_field,phase_b_product/commercial_readiness/support_evidence/support_contact_human_input_bridge/support_contact_bridge_human_handoff_checkpoint.md,否：status hold 滥用或异常请求处理路径尚未人工确认。,review note：用户回答为否；该项保留为后续支持流程 blocker；不关闭正式商用阻塞。,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/support_contact_decision_input/evidence_review/abuse_handling_path_defined,human_filled_from_review_batch_template_pending_validator,False,False,False
