owner_packet_id,blocker_id,owner_review_lane,worksheet_row_id,quick_fill_row_id,input_group,input_key,mapping_resolved,owner_value_present,owner_notes_present,source_value_present,would_merge,dry_run_status,raw_value_recorded,owner_value_merged_to_quick_fill,quick_fill_written,workbook_import_performed,validators_run_on_real_input,evidence_collection_authorized,execution_authorized
QFOP-001,formal_security_review,security_legal_privacy,QFW-030,QF-030,formal_security_review_keys_to_review,auth_and_tenant_boundary_reviewed,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-001,formal_security_review,security_legal_privacy,QFW-031,QF-031,formal_security_review_keys_to_review,dependency_review_completed,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-001,formal_security_review,security_legal_privacy,QFW-032,QF-032,formal_security_review_keys_to_review,formal_security_review_report,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-001,formal_security_review,security_legal_privacy,QFW-033,QF-033,formal_security_review_keys_to_review,private_core_non_exposure_review_completed,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-001,formal_security_review,security_legal_privacy,QFW-034,QF-034,formal_security_review_keys_to_review,public_shell_threat_model_reviewed,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-001,formal_security_review,security_legal_privacy,QFW-035,QF-035,formal_security_review_keys_to_review,review_findings_triaged,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-001,formal_security_review,security_legal_privacy,QFW-036,QF-036,formal_security_review_keys_to_review,storage_backup_and_restore_reviewed,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-001,formal_security_review,security_legal_privacy,QFW-037,QF-037,metadata_fields_to_fill,human_reviewer_name,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-001,formal_security_review,security_legal_privacy,QFW-038,QF-038,metadata_fields_to_fill,review_date,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-001,formal_security_review,security_legal_privacy,QFW-039,QF-039,metadata_fields_to_fill,security_review_owner,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-001,formal_security_review,security_legal_privacy,QFW-040,QF-040,metadata_fields_to_fill,report_reference,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-001,formal_security_review,security_legal_privacy,QFW-041,QF-041,metadata_fields_to_fill,decision_summary,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-002,pricing_page,commercial_finance_legal,QFW-016,QF-016,metadata_fields_to_fill,human_reviewer_name,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-002,pricing_page,commercial_finance_legal,QFW-017,QF-017,metadata_fields_to_fill,review_date,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-002,pricing_page,commercial_finance_legal,QFW-018,QF-018,metadata_fields_to_fill,commercial_owner,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-002,pricing_page,commercial_finance_legal,QFW-019,QF-019,metadata_fields_to_fill,product_owner,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-002,pricing_page,commercial_finance_legal,QFW-020,QF-020,metadata_fields_to_fill,accounting_owner,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-002,pricing_page,commercial_finance_legal,QFW-021,QF-021,metadata_fields_to_fill,legal_owner,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-002,pricing_page,commercial_finance_legal,QFW-022,QF-022,metadata_fields_to_fill,billing_owner,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-002,pricing_page,commercial_finance_legal,QFW-023,QF-023,metadata_fields_to_fill,review_record_reference,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-002,pricing_page,commercial_finance_legal,QFW-024,QF-024,metadata_fields_to_fill,decision_summary,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-002,pricing_page,commercial_finance_legal,QFW-025,QF-025,pricing_page_keys_to_review,human_approved_pricing_page_copy,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-002,pricing_page,commercial_finance_legal,QFW-026,QF-026,pricing_page_keys_to_review,approved_plan_and_usage_terms,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-002,pricing_page,commercial_finance_legal,QFW-027,QF-027,pricing_page_keys_to_review,legal_review_completed,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-002,pricing_page,commercial_finance_legal,QFW-028,QF-028,pricing_page_keys_to_review,production_readiness_non_claim_reviewed,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-002,pricing_page,commercial_finance_legal,QFW-029,QF-029,pricing_page_keys_to_review,pricing_page_publication_approval_recorded,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-003,production_monitoring,operations_engineering,QFW-055,QF-055,metadata_fields_to_fill,human_reviewer_name,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-003,production_monitoring,operations_engineering,QFW-056,QF-056,metadata_fields_to_fill,review_date,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-003,production_monitoring,operations_engineering,QFW-057,QF-057,metadata_fields_to_fill,monitoring_owner,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-003,production_monitoring,operations_engineering,QFW-058,QF-058,metadata_fields_to_fill,operations_reviewer_name,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-003,production_monitoring,operations_engineering,QFW-059,QF-059,metadata_fields_to_fill,decision_summary,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-003,production_monitoring,operations_engineering,QFW-060,QF-060,monitoring_evidence_keys_to_review,log_retention_reviewed,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-003,production_monitoring,operations_engineering,QFW-061,QF-061,monitoring_evidence_keys_to_review,metrics_coverage_approved,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-003,production_monitoring,operations_engineering,QFW-062,QF-062,monitoring_evidence_keys_to_review,monitoring_dry_run_recorded,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-003,production_monitoring,operations_engineering,QFW-063,QF-063,monitoring_evidence_keys_to_review,production_monitoring_plan_approved,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-003,production_monitoring,operations_engineering,QFW-064,QF-064,monitoring_evidence_keys_to_review,slo_dashboard_defined,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-004,production_restore_policy,data_operations,QFW-042,QF-042,metadata_fields_to_fill,human_reviewer_name,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-004,production_restore_policy,data_operations,QFW-043,QF-043,metadata_fields_to_fill,review_date,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-004,production_restore_policy,data_operations,QFW-044,QF-044,metadata_fields_to_fill,data_operations_owner,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-004,production_restore_policy,data_operations,QFW-045,QF-045,metadata_fields_to_fill,security_owner,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-004,production_restore_policy,data_operations,QFW-046,QF-046,metadata_fields_to_fill,privacy_legal_owner,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-004,production_restore_policy,data_operations,QFW-047,QF-047,metadata_fields_to_fill,incident_response_owner,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-004,production_restore_policy,data_operations,QFW-048,QF-048,metadata_fields_to_fill,decision_summary,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-004,production_restore_policy,data_operations,QFW-049,QF-049,policy_evidence_keys_to_review,backup_retention_policy_approved,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-004,production_restore_policy,data_operations,QFW-050,QF-050,policy_evidence_keys_to_review,credential_secret_exclusion_reviewed,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-004,production_restore_policy,data_operations,QFW-051,QF-051,policy_evidence_keys_to_review,customer_notification_boundary_approved,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-004,production_restore_policy,data_operations,QFW-052,QF-052,policy_evidence_keys_to_review,incident_response_handoff_approved,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-004,production_restore_policy,data_operations,QFW-053,QF-053,policy_evidence_keys_to_review,production_restore_policy_approved,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
