blocker_id,category,phase_id,status,owner_review_lane,required_evidence_item_count,local_public_shell_present_count,missing_production_evidence_count,external_dependency_required,engineering_implementation_required,human_approval_required,closure_allowed_by_dashboard,execution_allowed_by_dashboard,local_evidence_path
customer_support,support,phase_3_support_security_legal,open,support_operations,5,3,2,True,False,True,False,False,phase_b_product/commercial_readiness/support_evidence/support_evidence.local.json
customer_validated,validation,phase_5_customer_validation_and_launch_review,open,customer_validation,6,0,6,True,False,True,False,False,phase_b_product/commercial_readiness/customer_validation_evidence/customer_validation_evidence.local.json
data_processing_agreement,privacy_security,phase_3_support_security_legal,open,security_legal_privacy,6,0,6,True,False,True,False,False,phase_b_product/commercial_readiness/privacy_security_legal_evidence/privacy_security_legal_evidence.local.json
external_alert_delivery,operations,phase_2_data_and_operations_resilience,open,operations_engineering,6,0,6,True,True,True,False,False,phase_b_product/commercial_readiness/operations_evidence/operations_evidence.local.json
formal_security_review,privacy_security,phase_3_support_security_legal,open,security_legal_privacy,6,3,3,True,False,True,False,False,phase_b_product/commercial_readiness/privacy_security_legal_evidence/privacy_security_legal_evidence.local.json
invoice_process,billing,phase_4_commercial_packaging_and_billing,open,commercial_finance_legal,6,0,6,True,False,True,False,False,phase_b_product/commercial_readiness/billing_revenue_evidence/billing_revenue_evidence.local.json
oauth_oidc,auth,phase_1_identity_and_tenant_boundary,open,engineering_security,5,0,5,True,True,True,False,False,phase_b_product/commercial_readiness/auth_evidence/auth_evidence.local.json
on_call_rotation,operations,phase_2_data_and_operations_resilience,open,operations_engineering,3,0,3,True,False,True,False,False,phase_b_product/commercial_readiness/operations_evidence/operations_evidence.local.json
payment_provider,billing,phase_4_commercial_packaging_and_billing,open,commercial_finance_legal,6,1,5,True,False,True,False,False,phase_b_product/commercial_readiness/billing_revenue_evidence/billing_revenue_evidence.local.json
pilot_results,validation,phase_5_customer_validation_and_launch_review,open,customer_validation,6,1,5,True,False,True,False,False,phase_b_product/commercial_readiness/customer_validation_evidence/customer_validation_evidence.local.json
pricing_page,billing,phase_4_commercial_packaging_and_billing,open,commercial_finance_legal,5,1,4,True,False,True,False,False,phase_b_product/commercial_readiness/billing_revenue_evidence/billing_revenue_evidence.local.json
privacy_legal_review,privacy_security,phase_3_support_security_legal,open,security_legal_privacy,9,3,6,True,False,True,False,False,phase_b_product/commercial_readiness/privacy_security_legal_evidence/privacy_security_legal_evidence.local.json
production_identity_provider,auth,phase_1_identity_and_tenant_boundary,open,engineering_security,5,0,5,True,True,True,False,False,phase_b_product/commercial_readiness/auth_evidence/auth_evidence.local.json
production_monitoring,operations,phase_2_data_and_operations_resilience,open,operations_engineering,5,1,4,True,True,True,False,False,phase_b_product/commercial_readiness/operations_evidence/operations_evidence.local.json
production_restore_policy,data_ops,phase_2_data_and_operations_resilience,open,data_operations,6,1,5,False,True,True,False,False,phase_b_product/commercial_readiness/data_operations_evidence/production_data_operations_evidence.combined_profile.local.json
rbac,auth,phase_1_identity_and_tenant_boundary,open,engineering_security,5,2,3,False,True,True,False,False,phase_b_product/commercial_readiness/auth_evidence/auth_evidence.local.json
refund_policy,billing,phase_4_commercial_packaging_and_billing,open,commercial_finance_legal,5,0,5,True,False,True,False,False,phase_b_product/commercial_readiness/billing_revenue_evidence/billing_revenue_evidence.local.json
restore_tested,data_ops,phase_2_data_and_operations_resilience,open,data_operations,6,6,0,False,True,True,False,False,phase_b_product/commercial_readiness/data_operations_evidence/production_data_operations_evidence.combined_profile.local.json
sla,support,phase_3_support_security_legal,open,support_operations,6,0,6,True,False,True,False,False,phase_b_product/commercial_readiness/support_evidence/support_evidence.local.json
support_contact,support,phase_3_support_security_legal,open,support_operations,5,0,5,True,False,True,False,False,phase_b_product/commercial_readiness/support_evidence/support_evidence.local.json
tax_review,billing,phase_4_commercial_packaging_and_billing,open,commercial_finance_legal,5,0,5,True,False,True,False,False,phase_b_product/commercial_readiness/billing_revenue_evidence/billing_revenue_evidence.local.json
tenant_billing_isolation,billing,phase_4_commercial_packaging_and_billing,open,commercial_finance_legal,6,0,6,False,True,True,False,False,phase_b_product/commercial_readiness/billing_revenue_evidence/billing_revenue_evidence.local.json
tenant_storage_isolation,tenant,phase_1_identity_and_tenant_boundary,open,engineering_data_security,18,14,4,False,True,True,False,False,phase_b_product/commercial_readiness/tenant_storage_isolation_evidence/tenant_storage_isolation_evidence.local.json
vulnerability_management,privacy_security,phase_3_support_security_legal,open,security_legal_privacy,8,1,7,True,False,True,False,False,phase_b_product/commercial_readiness/privacy_security_legal_evidence/privacy_security_legal_evidence.local.json
