blocker_id,phase_id,category,status,depends_on_blockers,unblocks_blockers,owner_review_lane,external_dependency_required,engineering_implementation_required,execution_allowed_by_plan,closure_allowed_by_plan,requires_human_approval,requires_separate_execution_request,required_evidence
production_identity_provider,phase_1_identity_and_tenant_boundary,auth,open,,oauth_oidc;rbac,engineering_security,True,True,False,False,True,True,"Production identity-provider configuration, security review, and operator runbook."
oauth_oidc,phase_1_identity_and_tenant_boundary,auth,open,production_identity_provider,rbac,engineering_security,True,True,False,False,True,True,"OIDC issuer, client, callback, token validation, and logout behavior evidence."
rbac,phase_1_identity_and_tenant_boundary,auth,open,production_identity_provider;oauth_oidc,tenant_storage_isolation,engineering_security,False,True,False,False,True,True,"Role model, permission matrix, enforcement tests, and admin recovery process."
tenant_storage_isolation,phase_1_identity_and_tenant_boundary,tenant,open,rbac,tenant_billing_isolation,engineering_data_security,False,True,False,False,True,True,"Tenant-isolated storage design, migration proof, and cross-tenant isolation tests."
production_monitoring,phase_2_data_and_operations_resilience,operations,open,,external_alert_delivery;on_call_rotation;pilot_results,operations_engineering,True,True,False,False,True,True,"Production metrics, dashboard, retention, alert review, and incident linkage evidence."
external_alert_delivery,phase_2_data_and_operations_resilience,operations,open,production_monitoring,on_call_rotation,operations_engineering,True,True,False,False,True,True,"External alert destination, escalation route, delivery test, and failure handling evidence."
on_call_rotation,phase_2_data_and_operations_resilience,operations,open,production_monitoring;external_alert_delivery,,operations_engineering,True,False,False,False,True,True,"Named on-call process, escalation schedule, handoff rules, and coverage evidence."
sla,phase_3_support_security_legal,support,open,support_contact;customer_support,,support_operations,True,False,False,False,True,True,"Human-approved SLA terms, exclusions, support hours, and response target approval."
support_contact,phase_3_support_security_legal,support,open,,customer_support;pilot_results;sla,support_operations,True,False,False,False,True,True,"Customer-facing support intake contact, ownership, response procedure, and abuse handling."
customer_support,phase_3_support_security_legal,support,open,support_contact,sla,support_operations,True,False,False,False,True,True,"Staffed support process, triage workflow, customer communication template, and audit trail."
formal_security_review,phase_3_support_security_legal,privacy_security,open,,vulnerability_management,security_legal_privacy,True,False,False,False,True,True,"Completed security review report covering public shell, deployment, data, and access control."
privacy_legal_review,phase_3_support_security_legal,privacy_security,open,,data_processing_agreement;pilot_results,security_legal_privacy,True,False,False,False,True,True,"Completed legal privacy review for collected data, processors, notices, and retention."
data_processing_agreement,phase_3_support_security_legal,privacy_security,open,privacy_legal_review,pilot_results,security_legal_privacy,True,False,False,False,True,True,Approved DPA or equivalent customer data-processing agreement ready for use.
vulnerability_management,phase_3_support_security_legal,privacy_security,open,formal_security_review,,security_legal_privacy,True,False,False,False,True,True,"Vulnerability disclosure policy, triage process, remediation targets, and security contact."
pilot_results,phase_5_customer_validation_and_launch_review,validation,open,support_contact;privacy_legal_review;data_processing_agreement;production_monitoring,customer_validated,customer_validation,True,False,False,False,True,True,"Recorded pilot sessions, user feedback, failure notes, and permission to use evidence."
customer_validated,phase_5_customer_validation_and_launch_review,validation,open,pilot_results,,customer_validation,True,False,False,False,True,True,Real customer validation evidence reviewed and approved for use in product claims.
pricing_page,phase_4_commercial_packaging_and_billing,billing,open,,invoice_process;payment_provider,commercial_finance_legal,True,False,False,False,True,True,Human-approved public pricing or packaging page with current commercial terms.
payment_provider,phase_4_commercial_packaging_and_billing,billing,open,pricing_page;tax_review;refund_policy,tenant_billing_isolation,commercial_finance_legal,True,False,False,False,True,True,Configured payment provider in the intended environment with checkout disabled until approval.
invoice_process,phase_4_commercial_packaging_and_billing,billing,open,pricing_page;tax_review,,commercial_finance_legal,True,False,False,False,True,True,"Invoice workflow, contract handoff, bookkeeping process, and payment reconciliation evidence."
tax_review,phase_4_commercial_packaging_and_billing,billing,open,,invoice_process;payment_provider,commercial_finance_legal,True,False,False,False,True,True,"Tax review for target jurisdictions, invoice wording, and payment collection process."
refund_policy,phase_4_commercial_packaging_and_billing,billing,open,,payment_provider,commercial_finance_legal,True,False,False,False,True,True,Human-approved refund/cancellation policy connected to payment and support processes.
tenant_billing_isolation,phase_4_commercial_packaging_and_billing,billing,open,tenant_storage_isolation;payment_provider,,commercial_finance_legal,False,True,False,False,True,True,"Tenant-aware billing records, invoice partitioning, and payment-event isolation evidence."
restore_tested,phase_2_data_and_operations_resilience,data_ops,open,production_restore_policy,,data_operations,False,True,False,False,True,True,"Successful restore test with manifest, scope, non-live path proof, and operator review."
production_restore_policy,phase_2_data_and_operations_resilience,data_ops,open,,restore_tested,data_operations,False,True,False,False,True,True,Approved production restore policy with RPO/RTO targets and drill cadence.
